OrganisationNameLabel,OrganisationURI,EffectiveDate,PaymentDate,Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,ServiceCategoryURI,Supplier,NetAmount,IrrecoverableVAT,PurposeOfExpenditure,ProcurementClassification:ProclassLabel,ProcrementClassification:ProClassCode
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,19/10/2016,Homelessness,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,AG GATES,17.60,0.00,Rail fare - CT,Sundries,341100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,06/10/2016,Parks and Open Spaces,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,lakeland supplies,33.65,0.00,"m8 x 100mm thunderbolts, crowbar",Playground Equipment Maintenance,331100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,12/10/2016,Parks and Open Spaces,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,c t hayton,12.95,0.00,padlock,Playground Equipment Maintenance,331100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,19/10/2016,Parks and Open Spaces,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,screwfix,24.99,0.00,waterproof workboots,Playground Equipment Maintenance,331100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,04/10/2016,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,VOSA,500.00,0.00,Vehicle testing,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,04/10/2016,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,165.00,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,04/10/2016,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,2.50,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,18/10/2016,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,165.00,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,18/10/2016,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,2.50,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,18/10/2016,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,650.00,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,18/10/2016,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,2.50,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,27/10/2016,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,880.00,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,27/10/2016,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,5.00,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,19/10/2016,Kendal Depot,Transport,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,Don Ruffles Ltd,233.95,0.00,Office equipment,Sundries,341100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,12/10/2016,Kendal Depot,Transport,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,Pos Display Shop,21.98,0.00,Suggestion box,Sundries,341100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,05/10/2016,Offices,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Argos,9.99,0.00,Kettle,Corporate Services,111310
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,05/11/2016,Offices,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Argos,74.95,0.00,Floor Sweeper x6,Cleaning Materials,131000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,19/10/2016,Lake Windermere,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Kendal Calor Centre,106.38,0.00,Propane Gas,Gas,371100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,31/10/2016,Car Parks,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,Middletons Home Hardware,7.83,0.00,padlock,Hand Tools,101600
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,07/10/2016,Homelessness,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,EDF Energy,47.98,0.00,Gas supply for social letting property,Gas,371100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,20/10/2016,Kendal Town Hall,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Home Bargains,10.46,0.00,Wine glasses for KTH,Equipment & Utensils,111100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,31/10/2016,Kendal Town Hall,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Terralec,21.54,0.00,Lights for KTH ,Technical Equipment,181800
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,07/10/2016,Financial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Agora Publications,84.78,0.00,HR Advisor advert,Recruitment & Assessment,261300
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,20/10/2016,Democratic and Member Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,The Works,8.33,0.00,Diaries for Committee Services,Consumables,271100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,25/10/2016,Financial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,West Coast Trains,16.50,0.00,Train ticket Wigan to Morecambe RTN,Travel & Subsistence,261600
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,28/10/2016,Financial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Northern Rail,3.20,0.00,Train ticket Lancaster to Morecambe STD,Travel & Subsistence,261600
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,28/10/2016,Financial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,West Coast Trains,21.90,0.00,Train ticket carlisle to Lancaster RTD,Travel & Subsistence,261600
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,06/10/2016,Revenues and Benefits,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Virgin Trains,12.00,0.00,Lancaster Station Parking Ticket 06.10.16,Insurance,201821
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,10/10/2016,Revenues and Benefits,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Amazon.co.uk,47.88,0.00,2017 Year Planners & Stickers,Not Elsewhere Classified,349999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,13/10/2016,Revenues and Benefits,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Vodafone,8.33,1.67,Visiting Officers Mobile Sim,Telecommunications,271800
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,13/10/2016,Revenues and Benefits,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Burgundys,17.08,3.42,DHP Interview Discussion LW & GG,Food & Beverages,111200
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,04/10/2016,Business Support Community Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Parcel Force,22.74,0.00,Courier service,Couriers,301000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,05/10/2016,"Noise, Air and Water Pollution",Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Amazon,16.30,0.00,Reference Book,Testing & Inspection,181900
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,18/10/2016,Cemeteries Office,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,BII Business Ltd,150.00,0.00,BIIAB Level 2 award Training,Training & Conferences,261520
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,03/10/2016,Health and Safety,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,CIEH,358.00,0.00,Training - Managing Health & Safety in Leisure ,Training & Conferences,261510
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,07/10/2016,Lake Wardens,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,RS Components,85.83,0.00,Patrol Boat Parts,Parts,381500
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,11/10/2016,Community Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Trainlline,107.46,0.00,Train Tickets,Travel & Subsistence,261600
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,11/10/2016,Community Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Travelodge,283.00,0.00,Accomodation,Accommodation,261000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,11/10/2016,Community Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,UK Mediation,1795.00,0.00,Course,Training & Conferences,261520
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,12/10/2016,Car Parks,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,ARGOS,18.31,3.66,1xWall Clock and 1x micro USM Multi/stotrey,Consumables,271100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,25/10/2016,Lake Wardens,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,RYA,156.00,0.00,RYA accredited membership,Subscriptions,202100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,26/10/2016,Lake Wardens,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,McClures,51.96,0.00,Coffee Tea Sugar Ferry Nab,Consumables,271100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,27/10/2016,Car Parks,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,GLASDON,936.70,0.00,Manual Grit/Salt Spreader,Tools & Equipment,381800
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,06/10/2016,Development Implementation,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Picadilly Place Manchester,11.20,2.80,Event Parking,Travel & Subsistence,261600
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,07/10/2016,Development Implementation,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,"Britannia Hotel, Manchester",53.33,0.00,Accommodation for event,Travel & Subsistence,261600
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,24/10/2016,Financial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Amazon UK,12.49,0.00,Health and Safety Equipment,Products,221000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,26/10/2016,Financial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Amazon UK,7.19,0.00,Health and Safety Equipment,Products,221000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,26/10/2016,Economic Development,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Tesco Store,1.00,0.00,Supplies for Mintworks,Corporate Services,111310
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,10/10/2016,Town View Field Hostel,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Amazon,-79.00,0.00,Amazon Prime subscription refund,Subscriptions,202100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,11/10/2016,Town View Field Hostel,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Poundstretcher,58.04,0.00,"Duvets, bins",Not Elsewhere Classified,219999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,14/10/2016,Town View Field Hostel,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Amazon,33.38,0.00,visitor coffee biscuits,Not Elsewhere Classified,119999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,13/09/2016,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Transpenn express,34.00,0.00,Nort West Gazzetteer regional meeting,Hardware,271200
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,13/09/2016,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Amazon,2.27,0.00,Cable (Non Vat Amazon company),Consumables,271100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,03/10/2016,Housing Standards,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Hotel Travel,76.10,0.00,"Travel Lodge, Kings Cross, London; 24/10/16)",Accommodation,261000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,05/10/2016,Housing Standards,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Gates Travel,42.50,0.00,Train ticket (Oxenholme to Euston; 24/10/16),Travel & Subsistence,261600
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,25/10/2016,Housing Standards,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Job Vacancies Direct,19.99,0.00,PayPal - accounts@jobvacanciesdirect.com,Recruitment & Assessment,261300
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,06/10/2016,Legal Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Law Society,322.00,0.00,Practising Certificate NH,Subscriptions,202100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,06/10/2016,Legal Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Law Society,322.00,0.00,Practising Certificate AL,Subscriptions,202100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,11/10/2016,Financial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,CIPP,546.00,0.00,Payroll Course CR,Travel & Subsistence,261600
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,18/10/2016,Legal Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Sweet and Maxwell,52.04,10.41,JCT contract online,Subscriptions,202100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,26/10/2016,Legal Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Combined Court Carlisle,355.00,0.00,Claim for possession of property AB,Debt Collection & Recovery,201600
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,31/10/2016,Financial Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,AAT,143.00,0.00,AAT annual memebership GD,Subscriptions,202100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,07/09/2016,Customer Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Banner,123.60,0.00,Stationery,Sundries,341100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,27/09/2016,Customer Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Banner,8.00,0.00,Stationery,Sundries,341100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,03/10/2016,Customer Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Banner,-155.25,0.00,Stationery,Sundries,341100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,10/10/2016,Customer Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,M&S,-97.50,0.00,Uniform,Uniforms,141300
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,13/10/2016,Customer Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Office team,77.24,0.00,Stationery,Sundries,341100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,14/10/2016,Customer Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,M&S,97.50,0.00,Uniform,Uniforms,141300
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,17/10/2016,Customer Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Home Bargains,5.03,0.00,Stationery,Sundries,341100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,19/10/2016,Customer Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Banner,136.81,0.00,Stationery,Sundries,341100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,20/10/2016,Customer Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Banner,73.73,0.00,Stationery,Sundries,341100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,20/10/2016,Customer Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Banner,13.00,0.00,Stationery,Sundries,341100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,24/10/2016,Customer Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,M&S,-97.50,0.00,Uniform,Uniforms,141300
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,27/10/2016,Customer Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Gates Travel,20.50,0.00,Travel to court,Travel & Subsistence,261600
