Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Continence Products,Continence Service,PAUL HARTMANN LTD,13494390,69194.9
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Lab Equip Maint Contracts,Biochemistry,BECKMAN COULTER UK LTD,13513043,218246.04
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Locum Consultant,Personnel Management,HOLT DOCTORS LTD,13541544,39299.53
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Staff Uniforms & Clothing,Laundry,BERENDSEN UK LTD,13557562,38990.35
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Contr Other External,IM&T ISIS Contractual Items,CGI IT UK LTD,13558038,42000
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Contr Other External,IM&T ISIS Contractual Items,CGI IT UK LTD,13558044,117648
Department of Health,Isle Of Wight NHS Trust,31/05/2015,External Consultancy Fees,Project Management Office (PMO),BAKER TILLY RISK ADVISORY SERVICES LLP,13572443,25200
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Audit Fees: Statutory,Audit,ERNST & YOUNG LLP,13642229,27000
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Locum Consultant,Personnel Management,HOLT DOCTORS LTD,13656657,28233.07
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Phone Instal & Maint,Ambulance Control,CALL VISION TECHNOLOGIES LTD,13657410,26460
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Computer Software/License,Ambulance Control,ADVANCED HEALTH & CARE LTD,13707728,25678.08
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Provisions,Catering,3663,13709942,25872.16
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Lab Equip Maint Contracts,Biochemistry,BECKMAN COULTER UK LTD,13733063,38211.36
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Training Expenses,Health Trainers,COMMUNITY ACTION ISLE OF WIGHT,13733997,45804
Department of Health,Isle Of Wight NHS Trust,31/05/2015,X-Ray Equipment Purchase,Radiology General,NHS SUPPLY CHAIN,13750016,27477.83
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Equip Maint Contracts,Breast Screening,NHS SUPPLY CHAIN,13750998,45726.89
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Locum Consultant,Personnel Management,HOLT DOCTORS LTD,13784658,46103.76
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Travel & Subsistence,Ferry Ticket Sales,RED FUNNEL,13785719,39691.7
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Electricity,Utilities,EDF ENERGY 1 LTD,13814048,59502.5
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Electricity,Utilities,EDF ENERGY 1 LTD,13814071,51042.42
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Electricity,Utilities,EDF ENERGY 1 LTD,13814125,50954.04
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Electricity,Utilities,EDF ENERGY 1 LTD,13814184,59476.92
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Electricity,Utilities,EDF ENERGY 1 LTD,13814195,57744.56
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Gas,Utilities,CORONA ENERGY RETAIL 4 LTD,13814253,38377.1
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Current Investmnts - Cash,Balance Sheet,,SSC NLF INVESTMENT,15000000
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Non NHS Payables,Balance Sheet,,SSC PHONE CONTRACT,53980.13
Department of Health,Isle Of Wight NHS Trust,31/05/2015,Contr Other External,DOF Management Team,,NHS SLA,31509.29
Department of Health,Isle Of Wight NHS Trust,31/05/2015,CNST contributions,Trust Insurance,,SSC LA,321282.4
