Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Isle Of Wight CCG,31/10/2017,External Consultancy Fees,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,CRISANTE CONSULTING LTD,19068106,32141.4
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Accruals <1Yr-Non-NHS PeriodEndAccrual,BALANCE SHEET,SLY CONSULTING LTD,19068119,27300
Department of Health,NHS Isle Of Wight CCG,31/10/2017,NHS Payables <1Yr-Recharges In,BALANCE SHEET,ISLE OF WIGHT NHS TRUST,19087564,11184303
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Hcare Srv Rec NHS Trust-Contract Baseline,PLANNED CARE,ISLE OF WIGHT NHS TRUST,19087568,81739.25
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Accrued income <1Yr-NHS P End Accrual,BALANCE SHEET,SALISBURY NHS FOUNDATION TRUST,19102494,-34929
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PORTSMOUTH HOSPITALS NHS TRUST,19102509,64000
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Hcare Srv Rec Fdtn Trust-CQUIN,ACUTE COMMISSIONING,SOUTHAMPTON UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,19102513,5610.9
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SOUTHAMPTON UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,19102513,491581.1
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALISBURY NHS FOUNDATION TRUST,19102542,37333
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Clinical&Medical-Independent Sector,PLANNED CARE,SPIRE HEALTHCARE LTD,19102637,36011
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Clinical&Medical-Commercial Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CARE UK CLINICAL SERVICES LTD,19102688,98709.61
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,19137161,67607.25
