CPS outcomes by principal offence category lancashire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,381,68.4%,176,31.6%
C Sexual Offences,27,84.4%,5,15.6%
D Burglary,92,80.7%,22,19.3%
E Robbery,19,82.6%,4,17.4%
F Theft And Handling,394,91.4%,37,8.6%
G Fraud And Forgery,29,96.7%,1,3.3%
H Criminal Damage,151,83.0%,31,17.0%
I Drugs Offences,158,96.3%,6,3.7%
J Public Order Offences,288,90.6%,30,9.4%
K All Other Offences (excluding Motoring),123,86.6%,19,13.4%
L Motoring Offences,694,87.6%,98,12.4%
Admin Finalisations,0,0.0%,26,100.0%
TOTAL,"2,356",83.8%,455,16.2%
