"NHS Devon - Transactions Greater than £25,000 in February 2012",,,,,,,,

Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Purchase Invoice Number
Department of Health,DEVON PCT,29/02/2012,Commissioning Other Contr,Other Commissioning Costs,PLYMOUTH TEACHING PCT,10138721,"29,106.00",3195794
,,29/02/2012,FHS Drugs Presc Med Prac,Sundry Prescribing,DEVON DOCTORS LTD,10138755,"40,399.77",DOCI00546
,,29/02/2012,Healthcare Srv Rec PCTs,SCG Hosted,BRISTOL PCT,10138782,"5,114,634.00",5587264
,,29/02/2012,PMS Bal Exp incl baseline,GP in A&E - Exeter,DEVON HEALTH,10154188,"51,333.00",DVHI01282
,,29/02/2012,Healthcare Srv Rec PCTs,SOMERSET PARTNERSHIP,PLYMOUTH COMMUNITY HEALTHCARE CIC,10154191,"71,055.00",41120147
,,29/02/2012,PMS Bal Exp incl baseline,GP in A&E - Exeter,DEVON DOCTORS LTD,10154209,"51,333.00",DVHI01312
,,29/02/2012,Independent Sector,Plymouth PCT - Community Services,PLYMOUTH COMMUNITY HEALTHCARE CIC,10154260,"169,699.00",41120229
,,29/02/2012,Hcare Srv Rec NHS Trust,DEVON PARTNERSHIP TRUST,DEVON PARTNERSHIP NHS TRUST,10154305,"7,216,318.34",67033991
,,29/02/2012,Voluntary Sector,Hospice Services,HOSPISCARE,10154321,"96,922.00",779
,,29/02/2012,Voluntary Sector,Hospice Services,NORTH DEVON HOSPICE,10154323,"64,075.36",361
,,29/02/2012,Med & Surg Equip General,CONTRACTOR LED GDS/PDS,EXETER ORTHODONTIC PRACTICE,10154346,"41,840.00",10
,,29/02/2012,Hcare Srv Rec NHS Trust,SOMERSET PARTNERSHIP,SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,10164430,"38,325.00",21241
,,29/02/2012,Independent Sector,Mental Health Contracts,UNIVERSITY OF EXETER,10164456,"41,170.26",ARSB0099055
,,29/02/2012,Hlthcre-Foundation Trsts,S W AMBULANCE TRUST,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,10164490,"1,984,348.00",6275946
,,29/02/2012,Hcare Srv Rec NHS Trust,PLYMOUTH HOSPITALS TRUST,PLYMOUTH HOSPITALS NHS TRUST,10164501,"4,565,019.00",836463
,,29/02/2012,Hcare Srv Rec NHS Trust,PRISON HEALTHCARE,DEVON PARTNERSHIP NHS TRUST,10164504,"361,389.25",67033990
,,29/02/2012,Independent Sector,IS - OTHER PROVIDERS,EXETER MEDICAL LTD,10164520,"36,323.00",EMPCTJAN12
,,29/02/2012,Hcare Srv Rec Other NHS,NCA'S,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,10164529,"29,469.42",2000035209
,,29/02/2012,SrvcsRecd-FoundationTrust,INFORMATION TECHNOLOGY,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,10175691,"122,532.00",4015087
,,29/02/2012,SrvcsRecd-FoundationTrust,INFORMATION TECHNOLOGY,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,10175699,"61,265.00",4015127
,,29/02/2012,Independent Sector,Continuing NHS-funded Healthcare,ORDINARY LIVING LTD,10176153,"30,324.96",117898-08-FEB-2012
,,29/02/2012,Other Public Sector,Continuing Healthcare,DEVON COUNTY COUNCIL,10185847,"130,200.00",52834532
,,29/02/2012,Hlthcre-Foundation Trsts,TAUNTON + SOMERSET NHS,TAUNTON & SOMERSET NHS FOUNDATION TRUST,10185854,"266,840.00",59016954
