Minister of State ,,,,,
Alan Duncan MP,,,,,
,,,,,
Gifts given over £140 ,,,,,
,,,,,
,,,,,
,,,,,
Date gift given,To  ,Gift,Value (over £140) ,,
"ALAN DUNCAN MP, Minister of State",,,,,
Nil return,,,,,
,,,,,
,,,,,
Gifts received over £140 ,,,,,
,,,,,
,,,,,
Date gift received,From  ,Gift,Value  ,Outcome,
"ALAN DUNCAN MP, Minister of State",,,,,
Nil return,,,,,
,,,,,
Hospitality[1],,,,,
,,,,,
"ALAN DUNCAN MP, Minister of State",,,,,
Date ,Name of organisation ,Type of Hospitality received,,,
Nil return,,,,,
,,,,,
,,,,,
,,,,,
Overseas travel[2],,,,,
      ,,,,,
"ALAN DUNCAN MP, Minister of State",,,,,
Date(s) of trip,Destination  ,Purpose of trip,‘Scheduled’,"Number of officials accompanying Minister, where non-scheduled travel is used   ",
,,,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Chartered’ or ‘Eurostar’  ,,
10th – 12th June,UAE,Girl Summit event at Embassy and meetings with relevant Ministers,Scheduled,N/A,
18th – 20th June,Yemen,Meetings with President Hadi and relevant Ministers / NGOs,Scheduled,N/A,
22nd – 24th June ,Libya,Meetings with relevant Ministers / NGOs and visit to DFID’s Security and Justice Programme,Scheduled,N/A,
,,,,,
,,,,,
"Meetings with external organisations (including meetings with newspaper and other media proprietors, editors and senior executives)[3]",,,,,
,,,,,
Date of Meeting ,Name of External Organisation,Purpose of Meeting  ,,,
"ALAN DUNCAN MP, Minister of State",,,,,
May,Bank of England,To discuss Anguilla’s banks,,,
June,Office of the Quartet Representative,To discuss the situation in Gaza,,,
June ,Caribbean Development Bank,To discuss CDB operations,,,
,,,,,"Total cost including travel, and accommodation of Minister only"
,,,,,
,,,,,"£3,845.75"
,,,,,"£2,307.11"
,,,,,"£1,843.10"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"[1]Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined (* indicates if accompanied by spouse/partner or other family member or friend.)",,,,,
,,,,,
,,,,,
[2]* indicates if accompanied by spouse/partner or other family member or friend.,,,,,
,,,,,
"[3] Does not normally include meetings with Government bodies such as other Government Departments, members of the Royal Household, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.. Visits, attendance at seminars, conferences, receptions, media, interviews etc would not normally be classed as meetings.",,,,,
