Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,03/08/2015,Training Costs,HMRC,CAPITA BUSINESS SERVICES LTD,1900160141,"274,553.74",Employee Training,DL1 9HN,,,,
HMRC,HMRC,03/08/2015,Proprietry sys maint,Information Management Services,DWP,5100031674,"208,951.11",Charges for Live running testing support maintenance or changes to the child benefit computer system. ,CF14 3UW,,,,
HMRC,HMRC,03/08/2015,Hardware maintenance,Information Management Services,FUJITSU SERVICES LTD,5100031676,"584,707.46",Fujitsu Invoice charges for Tech Refresh for the Customs Handling Inward Export Freight systems,W1U 3BW,,,,
HMRC,HMRC,03/08/2015,Legal Service Sol's,Solicitors Office,HOWES PERCIVAL SOLICITORS,5100032655,"33,912.93",Costs incurred by Solicitors working on behalf of HMRC,NR3 1DD,,,,
HMRC,HMRC,03/08/2015,Legal Service Sol's,Solicitors Office,HOWES PERCIVAL SOLICITORS,5100032656,"86,623.13",Costs incurred by Solicitors working on behalf of HMRC,NR3 1DD,,,,
HMRC,HMRC,03/08/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100033226,52.72,Utility payment,WD17 1HN,,,,
HMRC,HMRC,03/08/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100033226,102.7,Utility payment,WD17 1HN,,,,
HMRC,HMRC,03/08/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100033226,199.79,Utility payment,WD17 1HN,,,,
HMRC,HMRC,03/08/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100033226,214.46,Utility payment,WD17 1HN,,,,
HMRC,HMRC,03/08/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100033226,276.75,Utility payment,WD17 1HN,,,,
HMRC,HMRC,03/08/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100033226,539.16,Utility payment,WD17 1HN,,,,
HMRC,HMRC,03/08/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100033226,"1,048.88",Utility payment,WD17 1HN,,,,
HMRC,HMRC,03/08/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100033226,"1,125.90",Utility payment,WD17 1HN,,,,
HMRC,HMRC,03/08/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100033226,"1,357.68",Utility payment,WD17 1HN,,,,
HMRC,HMRC,03/08/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100033226,"1,969.53",Utility payment,WD17 1HN,,,,
HMRC,HMRC,03/08/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100033226,"2,117.34",Utility payment,WD17 1HN,,,,
HMRC,HMRC,03/08/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100033226,"7,127.82",Utility payment,WD17 1HN,,,,
HMRC,HMRC,03/08/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100033226,"7,526.59",Utility payment,WD17 1HN,,,,
HMRC,HMRC,03/08/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100033226,"7,690.76",Utility payment,WD17 1HN,,,,
HMRC,HMRC,03/08/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100033226,"10,340.04",Utility payment,WD17 1HN,,,,
HMRC,HMRC,03/08/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100033226,"11,116.05",Utility payment,WD17 1HN,,,,
HMRC,HMRC,03/08/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100033226,"11,398.55",Utility payment,WD17 1HN,,,,
HMRC,HMRC,03/08/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100033226,"23,225.95",Utility payment,WD17 1HN,,,,
