Year,Author,Title,citation,Type,Collaborators,Main subject,Subject,Keywords,URL,Notes
,,,,,,,,,,
2012,Abubakar M; Arshed MJ; Zahur AB; Ali Q; BANYARD AC,Natural infection with peste des petits ruminants virus: a pre and post vaccinal assessment following an outbreak scenario.,Virus Research 167 (1) 43-47,Periodical article,"PARC Institute of Advance Studies in Agriculture (PIASA), National Agriculture Research Center, Park Road, Islamabad, Pakistan.
National Veterinary Laboratory, Park Road, Islamabad, Pakistan.
Animal Science Institute, National Agriculture Research Centre, Park Road, Islamabad, Pakistan.",VIROLOGY,GOATS,Virus,http://dx.doi.org/10.1016/j.virusres.2012.03.018,
2012,Agnello S; Chetta M; Vicari D; Mancuso R; Manno C; Puleio R; Console A; NICHOLAS RAJ; Loria GR,Severe outbreaks of polyarthritis in kids caused by Mycoplasma mycoides subspecies capri in Sicily.,Veterinary Record 170 (16) 416,Periodical article,"Istituto Zooprofilattico Sperimentale della Sicilia, 90129 Palermo, Italy.
Istituto Sperimentale Zootecnico per la Sicilia, 90136 Palermo, Italy.",BACTERIOLOGY,GENERAL,Mycoplasma,http://veterinaryrecord.bmj.com/content/170/16/416.2.full.pdf+html,
2012,Akesson CP; Press CM; Tranulis MA; JEFFREY M; Aleksandersen M; Landsverk T; Espenes A,Phenotypic characterization of cells participating in transport of prion protein aggregates across the intestinal mucosa of sheep.,Prion 6 (3) 261-275,Periodical article,"Department of Basic Sciences and Aquatic Medicine, Norwegian School of Veterinary Science, Oslo, Norway.",SPONGIFORM ENCEPHALOPATHIES,SHEEP,Spongiform encephalopathies,http://dx.doi.org/10.4161/pri.19215,
2012,Al Dahouk S; Hofer E; Tomaso H; Vergnaud G; Le Fleche P; Cloeckaert A; KOYLASS MS; WHATMORE AM; Nockler K; Scholz HC,Intraspecies biodiversity of the genetically homologous species Brucella microti.,Applied and Environmental Microbiology 78 (5) 1534-1543,Periodical article,"Federal Institute for Risk Assessment, Berlin, Germany 
RWTH Aachen University, Department of Internal Medicine III, Aachen, Germany 
Austrian Agency for Health and Food Safety, Modling, Austria 
dFriedrich Loeffler Institute, Institute of Bacterial Infections and Zoonoses, Jena, Germany 
Universite Paris Sud, Institut de Genetique et Microbiologie, UMR 8621, Orsay, France 
Centre National de la Recherche Scientifique (CNRS), Orsay, France 
Mission pour la Recherche et l'Innovation Scientifique (DGA/MRIS), Bagneux, France 
Centre d'Etudes du Bouchet, Division of Analytical Microbiology, Vert le Petit, France 
iInstitut National de la Recherche Agronomique (INRA), UR1282, Infectiologie Animale et Santé Publique (IASP), Nouzilly, France 
Bundeswehr Institute of Microbiology, Department of Bacteriology, Munich, Germany.",BACTERIOLOGY,WILDLIFE AND PESTS,Brucella,http://dx.doi.org/10.1128/aem.06351-11,
2012,ALEXANDER DJ; ALDOUS EW; FULLER CM,The long view: a selective review of 40 years of Newcastle disease research.,Avian Pathology 41 (4) 329-335,Periodical article,,VIROLOGY,POULTRY AND OTHER BIRDS,Newcastle disease,http://dx.doi.org/10.1080/03079457.2012.697991,
2012,Alleaume C; STRUGNELL B; Spooner R; SCHOCK A,Hydrops foetalis with pulmonary hypoplasia in Cheviot and Cheviot-Texel cross-lambs.,Veterinary Record 171 (25),Periodical article,"Pathology Unit, National Veterinary School of Alfort, 9 avenue du General de Gaulle, 94700 Maisons-Alfort, France.
Castle Veterinary Surgeons, Highway Cottage, Bowes Road, Barnard Castle, Co. Durham.",ANIMAL HUSBANDRY AND WELFARE,SHEEP,Animal welfare; Sheep,http://dx.doi.org/10.1136/vr.101198,
2012,Alvarez J; Bezos J; Juan L de; VORDERMEIER M; Rodriguez S; Fernandez-de-Mera IG; Mateos A; Dominguez L,"Diagnosis of tuberculosis in camelids: old problems, current solutions and future challenges.",Transboundary and Emerging Diseases 59 (1) 1-10,Periodical article,"Instituto de Investigacion en Recursos Cinegeticos IREC (CSIC-UCLM-JCCM), Ronda de Toledo s/n, Ciudad Real, Spain.
Centro VISAVET, Universidad Complutense de Madrid, Madrid, Spain.
Departmento de Sanidad Animal, Facultad de Veterinairia, Universidad Complutense de Madrid, Madrid, Spain.",BOVINE TUBERCULOSIS,CAMELIDS,Tuberculosis,,
2012,Ameni G; Cockle P; Lyashchenko K; VORDERMEIER M,T-Cell and antibody responses to mycobacterial antigens in tuberculin skin-test-positive Bos indicus and Bos taurus cattle in Ethiopia.,"Veterinary Medicine International 2012, Article ID 457872",Periodical article,"Aklilu Lemma Institute of Pathobiology, Addis Ababa University, P.O. Box 1176, Addis Ababa, Ethiopia.
Pfizer Vaccine Research, PGRD, La Jolla, San Diego, CA 92121, USA.
Chembio Diagnostic Systems, Inc., Research and Development Department, 3661 Horseblock Road, Medford, NY 11763, USA.",BOVINE TUBERCULOSIS,CATTLE AND RUMINANTS IN GENERAL,Bacteriology; Cattle; Mycobacterium bovis; Bovine tuberculosis; VP,http://dx.doi.org/10.1155/2012/457872,
2012,Ancelet S; Abellan JJ; DEL RIO VILAS VJ; BIRCH C; Richardson S,Bayesian shared spatial-component models to combine and borrow strength across sparse disease surveillance sources.,Biometrical Journal 54 (3) 385-404,Periodical article,"AgroParisTech/INRA UMR518, Department of Applied Mathematics and Informatics (MIA), France
Centre for Public Health Research (CSISP), Valencia, Spain
CIBER Epidemiologia y Salud Publica (CIBERESP), Spain
Department of Epidemiology and Public Health, Imperial College London, London, UK",MISCELLANEOUS,GENERAL,Surveillance,,
