Extending Agency,Donor Project Number,Project Title,Project Description,Nature of Submission,Benefitting Country Code,Benefitting Country Name,Input Sector code,Channel of Delivery Code,Type of Flow,Type of Finance,Type of Aid,Climate Change - Adaptation,Climate Change - Mitigation,FTC,Posting Date,Calendar Year,Amount (£),Budget (£),Amount untied (£)
3,A/01808,Global Skills for Employability,"Capacity building in skills development for ministries, agencies, employers and individuals",3,AF,Afghanistan,16020,12000,10,100,CO1,0,0,0,31/12/2011,2011,84475,84475,84475
3,A/01865,Global Connecting Classrooms,School linking programme enabling curriculum development and policy change with an international focus. ,3,AF,Afghanistan,11110,12000,10,100,CO1,0,0,0,31/12/2011,2011,788925,788925,788925
3,A/02241,SA Inspire - research & education (Sum),"Partnerships, collaboration, leadership development and policy dialogue to address global challenges in International Higher Education.",3,AF,Afghanistan,11110,12000,10,100,CO1,0,0,0,31/12/2011,2011,817720,817720,817720
3,A/02393,Creative and Cultural Economy,Skills training to support the development of sustainable creative and cultural organisations.  ,3,AF,Afghanistan,11430,20000,10,100,CO1,0,0,0,31/12/2011,2011,886421,886421,886421
3,A/02462,Global English Connect,"Online, digital and media resources for learners to improve their English language skills.  ",3,AF,Afghanistan,11230,52000,10,100,CO1,0,0,0,31/12/2011,2011,161296,161296,161296
3,A/02463,Global Engaging Teaching,Capacity building through training and development programmes for English language teachers. ,1,AF,Afghanistan,11130,51000,10,100,CO1,0,0,0,31/12/2011,2011,62257,62257,62257
3,A/02571,International Higher Education (GLO),"Partnerships, collaboration and policy dialogue to address global challenges in International Higher Education ",1,AF,Afghanistan,11110,12000,10,100,CO1,0,0,0,31/12/2011,2011,103543,103543,103543
3,A/01281,Wider Europe ARTS,Training and development that supports the growth of sustainable cultural organisations,3,AL,Albania,11430,20000,10,100,CO1,0,0,0,31/12/2011,2011,23311,23311,23311
3,A/01283,Wider Europe Governance,Capacity building through training and development programmes to support social inclusion of school students,3,AL,Albania,15150,51000,10,100,CO1,0,0,0,31/12/2011,2011,36222,36222,36222
3,A/02462,Global English Connect,"Online, digital and media resources for learners to improve their English language skills.  ",3,AL,Albania,11230,52000,10,100,CO1,0,0,0,31/12/2011,2011,164166,164166,164166
3,A/02463,Global Engaging Teaching,Capacity building through training and development programmes for English language teachers. ,3,AL,Albania,11130,51000,10,100,CO1,0,0,0,31/12/2011,2011,11424,11424,11424
3,A/01865,Global Connecting Classrooms,School linking programme enabling curriculum development and policy change with an international focus. ,3,DZ,Algeria,11110,12000,10,100,CO1,0,0,0,31/12/2011,2011,417680,417680,417680
3,A/01924,NENA LOC Governance (Summary),Vocational skills for young people to improve employability.,1,DZ,Algeria,16020,51000,10,100,CO1,0,0,0,31/12/2011,2011,1455,1455,1455
3,A/01925,NENA LOC Education (Summary),Vocational skills for young people to improve employability.,3,DZ,Algeria,16020,51000,10,100,CO1,0,0,0,31/12/2011,2011,101006,101006,101006
3,A/01926,NENA LOC English (Summary),"Capacity building in skills development for ministries, agencies, employers and individuals",3,DZ,Algeria,11430,12000,10,100,CO1,0,0,0,31/12/2011,2011,1705,1705,1705
3,A/02097,Global Active Citizens,Supporting community cohesion and global citizenship through social leadership training and social action projects,3,DZ,Algeria,15150,20000,10,100,CO1,0,0,0,31/12/2011,2011,2911,2911,2911
3,A/02462,Global English Connect,"Online, digital and media resources for learners to improve their English language skills.  ",3,DZ,Algeria,11230,52000,10,100,CO1,0,0,0,31/12/2011,2011,218269,218269,218269
3,A/02463,Global Engaging Teaching,Capacity building through training and development programmes for English language teachers. ,3,DZ,Algeria,11130,51000,10,100,CO1,0,0,0,31/12/2011,2011,75624,75624,75624
3,A/02464,Global English Interface,Provision of access to the latest research in ELT to develop educational policy in this area.,1,DZ,Algeria,11110,12000,10,100,CO1,0,0,0,31/12/2011,2011,205200,205200,205200
3,A/02872,Arab Partnership Initiative-API, Providing project management and leadership skills to young people and civil society organisations to support community based projects,1,DZ,Algeria,11430,20000,10,100,CO1,0,0,0,31/12/2011,2011,19177,19177,19177
3,A/02929,English for Development,Improving teaching of English in general education and for vocational training to increase employability of  school graduates,1,DZ,Algeria,11130,12000,10,100,CO1,0,0,0,31/12/2011,2011,13675,13675,13675
3,A/01865,Global Connecting Classrooms,School linking programme enabling curriculum development and policy change with an international focus. ,3,AR,Argentina,11110,12000,10,100,CO1,0,0,0,31/12/2011,2011,7020,7020,7020
