Department family,Entity,Date of payment,Expense area,Expense type,Supplier,"Transaction 
number",Amount in Sterling
Department of Health,Mersey Care NHS Trust,02/05/2013,Bes Contract,Mitie Contract Monthly Payment,Mitie Technical Facilities Management Ltd,498540,"43,888.61"
Department of Health,Mersey Care NHS Trust,02/05/2013,Bes Contract,Mitie Contract Monthly Payment,Mitie Technical Facilities Management Ltd,498568,"64,020.00"
Department of Health,Mersey Care NHS Trust,02/05/2013,Human Resources,It Support & Maint Contract,Specialist Computer Cent.Ltd,499571,"37,500.00"
Department of Health,Mersey Care NHS Trust,30/05/2013,Pcp Sth Sefton Neighbour Cntre,Building Works,Melwood Construction Ltd,18637,"87,459.64"
Department of Health,Mersey Care NHS Trust,23/05/2013,D.A.R.T,Fp 10'S,Nhs Business Services Authority,18685,"27,087.35"
Department of Health,Mersey Care NHS Trust,23/05/2013,Kevin White Unit,Fp 10'S,Nhs Business Services Authority,18685,5.32
Department of Health,Mersey Care NHS Trust,23/05/2013,Windsor Clinic,Fp 10'S,Nhs Business Services Authority,18685,163.93
Department of Health,Mersey Care NHS Trust,23/05/2013,Adult Drugs,Fp 10'S,Nhs Business Services Authority,18686,623.07
Department of Health,Mersey Care NHS Trust,23/05/2013,Brook Place,Fp 10'S,Nhs Business Services Authority,18686,"37,512.40"
Department of Health,Mersey Care NHS Trust,23/05/2013,Drr Green Lane,Fp 10'S,Nhs Business Services Authority,18686,"5,357.61"
Department of Health,Mersey Care NHS Trust,23/05/2013,Kevin White Unit,Fp 10'S,Nhs Business Services Authority,18686,2.58
Department of Health,Mersey Care NHS Trust,23/05/2013,Pharmacy (Ns),Fp 10'S,Nhs Business Services Authority,18686,"5,978.86"
Department of Health,Mersey Care NHS Trust,02/05/2013,Allied Services Management,Redundancy Payments,Nhs Pension Scheme,18687,"134,046.26"
Department of Health,Mersey Care NHS Trust,23/05/2013,Mh Management Nswl,Rental Of Car Parking Spaces,Aintree University Hospital Nhs F.T,18713,"78,750.00"
Department of Health,Mersey Care NHS Trust,23/05/2013,Aintree Junior Adult,Ct1 Core Training Yr1,St Helens & Knowsley Nhs Trust,18733,"300,000.00"
Department of Health,Mersey Care NHS Trust,09/05/2013,Rathbone Rehab Centre,Operating Lease,Symphony Housing Group,498326,"72,597.78"
Department of Health,Mersey Care NHS Trust,09/05/2013,Rathbone Rehab Centre,Operating Lease,Symphony Housing Group,498326,"58,078.21"
Department of Health,Mersey Care NHS Trust,02/05/2013,Hss - Security Entrance Design,Building Works,Melwood Construction Ltd,500472,"4,359.83"
Department of Health,Mersey Care NHS Trust,02/05/2013,Hss - Security Entrance Design,Building Works,Melwood Construction Ltd,500472,"49,811.07"
Department of Health,Mersey Care NHS Trust,09/05/2013,Cquin,Research & Innovation,Uclan Business Services Limited,501147,"36,700.00"
Department of Health,Mersey Care NHS Trust,23/05/2013,Mct Board Management,Consultancy Fees,Gpt Health Strategies,501160,"53,247.50"
Department of Health,Mersey Care NHS Trust,16/05/2013,Mct Board Management,Consultancy Fees,The Clayhanger Management Consultancy Ltd,501161,"50,073.00"
Department of Health,Mersey Care NHS Trust,16/05/2013,Bes Contract,Water Rates,United Utilities Water Limited,501759,"58,257.88"
Department of Health,Mersey Care NHS Trust,16/05/2013,Bal Sheet Control,Drugs,Novartis Pharmaceuticals Uk Ltd,501796,"37,082.50"
Department of Health,Mersey Care NHS Trust,16/05/2013,Energy,Electricity,Edf Energy 1 Limited,501867,"40,039.80"
Department of Health,Mersey Care NHS Trust,23/05/2013,Energy,Gas,Corona Energy,502743,"61,254.93"
Department of Health,Mersey Care NHS Trust,23/05/2013,Operating Leases,Telephone Maintenance (Damovo),Damovo Uk Limited,502914,"1,078.31"
Department of Health,Mersey Care NHS Trust,23/05/2013,Operating Leases,Telephone Maintenance (Damovo),Damovo Uk Limited,502914,"4,600.05"
Department of Health,Mersey Care NHS Trust,23/05/2013,Operating Leases,Telephone Maintenance (Damovo),Damovo Uk Limited,502914,"52,956.32"
Department of Health,Mersey Care NHS Trust,23/05/2013,Operating Leases,Telephone Maintenance (Damovo),Damovo Uk Limited,502914,"6,208.73"
Department of Health,Mersey Care NHS Trust,23/05/2013,Operating Leases,Telephone Maintenance (Damovo),Damovo Uk Limited,502914,"5,658.84"
Department of Health,Mersey Care NHS Trust,23/05/2013,Operating Leases,Telephone Maintenance (Damovo),Damovo Uk Limited,502914,766.2
Department of Health,Mersey Care NHS Trust,23/05/2013,Operating Leases,Telephone Maintenance (Damovo),Damovo Uk Limited,502914,"6,776.16"
Department of Health,Mersey Care NHS Trust,23/05/2013,Operating Leases,Telephone Maintenance (Damovo),Damovo Uk Limited,502914,939.81
Department of Health,Mersey Care NHS Trust,23/05/2013,Operating Leases,Telephone Maintenance (Damovo),Damovo Uk Limited,502914,"1,152.81"
Department of Health,Mersey Care NHS Trust,23/05/2013,Operating Leases,Telephone Maintenance (Damovo),Damovo Uk Limited,502914,"3,024.50"
Department of Health,Mersey Care NHS Trust,23/05/2013,Operating Leases,Telephone Maintenance (Damovo),Damovo Uk Limited,502914,"7,897.05"
Department of Health,Mersey Care NHS Trust,23/05/2013,Operating Leases,Telephone Maintenance (Damovo),Damovo Uk Limited,502914,"6,414.23"
Department of Health,Mersey Care NHS Trust,23/05/2013,Operating Leases,Telephone Maintenance (Damovo),Damovo Uk Limited,502914,"1,746.27"
Department of Health,Mersey Care NHS Trust,23/05/2013,Operating Leases,Telephone Maintenance (Damovo),Damovo Uk Limited,502914,"4,060.60"
Department of Health,Mersey Care NHS Trust,23/05/2013,Operating Leases,Telephone Maintenance (Damovo),Damovo Uk Limited,502914,"4,042.39"
Department of Health,Mersey Care NHS Trust,30/05/2013,Safe Cbu Management,Professional Fees,Imagine,503592,"44,104.17"
Department of Health,Mersey Care NHS Trust,30/05/2013,Safe Cbu Management,Professional Fees,Imagine,503593,"44,104.17"
Department of Health,Mersey Care NHS Trust,17/05/2013,Bal Sheet Control,Income Tax,Hmrc,1069850,"1,443,894.00"
Department of Health,Mersey Care NHS Trust,17/05/2013,Bal Sheet Control,Ni (Ee) Lesscont Out,Hmrc,1069850,"669,635.06"
Department of Health,Mersey Care NHS Trust,17/05/2013,Bal Sheet Control,Ni (Er),Hmrc,1069850,"793,639.75"
Department of Health,Mersey Care NHS Trust,17/05/2013,Bal Sheet Control,Superannuation (Ee),Nhs Pensions,1069850,"700,348.82"
Department of Health,Mersey Care NHS Trust,17/05/2013,Bal Sheet Control,Superannuation (Er),Nhs Pensions,1069850,"1,133,016.13"
Department of Health,Mersey Care NHS Trust,17/05/2013,Nmhis Balance Sheet Control,Income Tax,Hmrc,1069850,"92,969.40"
Department of Health,Mersey Care NHS Trust,17/05/2013,Nmhis Balance Sheet Control,Ni (Ee) Lesscont Out,Hmrc,1069850,"52,705.03"
Department of Health,Mersey Care NHS Trust,17/05/2013,Nmhis Balance Sheet Control,Ni (Er),Hmrc,1069850,"56,950.11"
