?BODY NAME,SERVICE LABEL PORTFOLIO,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER ID
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,07/09/2012,214918,3250,1ST ABILITY LIMITED,101702
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROFESSIONAL SERVICES,14/09/2012,215335,600,ACCEPT MANAGEMENT,101627
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,HARDWARE MAINTENANCE,14/09/2012,215099,1238.4,ACENSEO LTD,100621
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,EMPTY PAIL CLOSETS,28/09/2012,216101,622.92,ALPHEUS ENVIRONMENTAL LTD,100011
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,SEWAGE WORKS ROUTINE MAINTNCE,28/09/2012,216101,2053.82,ALPHEUS ENVIRONMENTAL LTD,100011
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,STALL CLEARANCE,14/09/2012,215145,9373.33,ANDREW GEORGE HARRISON LTD,100012
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,STALL CLEARANCE,14/09/2012,215146,9413.33,ANDREW GEORGE HARRISON LTD,100012
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,STALL CLEARANCE,13/09/2012,215340,19773.22,ANDREW GEORGE HARRISON LTD,100012
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/09/2012,216154,7292.43,APOLLO PROPERTY SERVICES GROUP LTD,100890
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,28/09/2012,216153,15408.46,APOLLO PROPERTY SERVICES GROUP LTD,100890
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,MERCHANDISE,21/09/2012,215689,460,APPLEWHITE GIFTS LTD,101711
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,CONSULTANTS,07/09/2012,214893,1426.3,ARDEN BUSINESS MANAGEMENT LTD,101698
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,AUDIT FEES (INTERNAL/EXTERNAL),14/09/2012,215365,3400,AUDIT COMMISSION,100025
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PARISH PRECEPTS,21/09/2012,215726,1500,AVERHAM KELHAM & STAYTHORPE PARISH COUNCIL,100026
