CPS outcomes by principal offence category nottinghamshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,216,73.2%,79,26.8%
C Sexual Offences,2,40.0%,3,60.0%
D Burglary,51,85.0%,9,15.0%
E Robbery,23,71.9%,9,28.1%
F Theft And Handling,248,93.9%,16,6.1%
G Fraud And Forgery,10,52.6%,9,47.4%
H Criminal Damage,73,81.1%,17,18.9%
I Drugs Offences,96,94.1%,6,5.9%
J Public Order Offences,98,82.4%,21,17.6%
K All Other Offences (excluding Motoring),68,81.9%,15,18.1%
L Motoring Offences,340,94.2%,21,5.8%
Admin Finalisations,0,0.0%,15,100.0%
TOTAL,"1,225",84.8%,220,15.2%
