Body,Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Expense Code,Extended Description,Service Code,Service Label,Service Division Label,Service Division Code
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/04/2017,156410,994,LAN 2 LAN LTD,LAN034,Information Technology Manager,IT Contracts & Maintenance,2062,FORTINET FORTI ANALYSER MAR16/SEPT17,INFTEC,Information Technology,00102,Information Technology
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/04/2017,156411,1860,IAN CANNON LTD,CAN004,Legal Services Manager,Building Maintenance,1000,REPAIR WALL AT SHAP CHURCH,LANDMA,Land Management,01007,Land Management
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/04/2017,156436,750,FLORENCE MADDEN ASSOCIATES,FLO004,Human Resources Manager,Training Expenses,0060,TRAINING,STADEV,Staff Development,00224,Staff Training DoF
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/04/2017,156460,500,KAREN MACDOUGALL MA DIP ARCH,MCD001,Commercial Services Manager,Other charges for services,2047,Easter workshop Project,MUSEUM,Museum,02089,Education programme
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/04/2017,156461,1214.07,ACS BUSINESS SUPPLIES LTD  *CCS*,ACS002,Information Technology Manager,Supplies general,2015,HP250 G5 X 3,COMMEM,Committee and Member Costs,01081,Member I T Costs
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/04/2017,156404,640.8,RH ENVIRONMENTAL LTD,RHE002,Environmental Services,Balance Sheet entry BS,6003,TRAINING COURSES YORK,HOLD A/C'S,Holding Accounts,09254,EHO Student Training Fund
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/04/2017,156430,6740,KIRKBY STEPHEN TOWN COUNCIL,KIR014,Technical Services Manager,Grants and contributions,2079,STREET CLEANING GRANT 17/18,STRCLE,Street Cleaning,02250,Street Cleaning Kirkby Stephen PC
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/04/2017,156431,2180,SHAP PARISH COUNCIL,SHA008,Technical Services Manager,Grants and contributions,2079,STREET CLEANING GRANT 17/18,STRCLE,Street Cleaning,02251,Street Cleaning Shap Parish Council
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/04/2017,156441,709.75,BRITISH GAS BUSINESS,BRI032,Technical Services Manager,Gas,1023,TOWN HALL FEB 17,ADMBLD,Administrative Buildings,00500,Town Hall
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/04/2017,156448,1895.94,VODAFONE BUSINESS SOLUTIONS,VOD002,Information Technology Manager,Mobile telephone,2057,PART PAYMENT 3 INVOICES,INFTEC,Information Technology,00102,Information Technology
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/04/2017,156458,2000,NEOPOST LIMITED,NEO001,Corporate Services Manager,Postages,2054,FRANKING REFILL,CENTRA,Central Expenses,00205,Postages Town Hall
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/04/2017,156549,680,Redacted Infromation,HOR012,Director of Finance,Grants and contributions,2079,PLFRG EDC16009 4TH PAY,FLOOD,Flood Dec 2015,09318,Flood Dec 2015
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/04/2017,156550,660,Redacted Infromation,HOR012,Director of Finance,Grants and contributions,2079,PLFRG EDC16009 5TH PAY,FLOOD,Flood Dec 2015,09318,Flood Dec 2015
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/04/2017,155374,3705.75,MLL TELECOM LTD,MLL001,Information Technology Manager,IT Contracts & Maintenance,2062,RENTAL JAN - MARCH 2017,INFTEC,Information Technology,00102,Information Technology
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/04/2017,156297,-1229,MLL TELECOM LTD,MLL001,Information Technology Manager,IT Contracts & Maintenance,2062,CREDIT FOR CONNECTION ISSUES,INFTEC,Information Technology,00102,Information Technology
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/04/2017,156400,591.5,ALSTON TOWN HALL TRUSTEES,ALS003,Technical Services Manager,Alston Info Centre Cleaning to Recharge,1062,CLEANING/MAINT SERVICE,COMDEV,Community Development & Engagement,02064,Alston Council Centre - Building
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,07/04/2017,156412,780,CUMBRIA COUNTY COUNCIL,CUM095,Financial Services Manager,Professional fees,2045,FRE102/1AS19 WORK TO 31.03.17,FINSER,Financial Services,00101,Financial Services
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,13/04/2017,156530,950,NORTHGATE PUBLIC SERVICES (UK) LTD,NOR042,Revenue/Benefits Manager,Software – maintenance,2067,PARIS CONSULTANCY,BENFIT,Benefits,01050,Housing Benefit Administration
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,13/04/2017,156532,1780,MEDIA FRIENDLY LTD,MED006,Human Resources Manager,Workforce Development Plan Activity,2229,MEDIA TRAINING HALF DAY X 2,STADEV,Staff Development,00222,Central Training Budget
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,13/04/2017,156542,818.62,CCS MEDIA *CCS*,CCS002,Information Technology Manager,IT Contracts & Maintenance,2062,2 X NOTEBOOKS,INFTEC,Information Technology,00102,Information Technology
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,13/04/2017,156552,568,CUMBRIA COUNTY COUNCIL,COU004,Environmental Services,Promotional activity,2084,REMOVE/FIT LIVERY TO VW VANS,CODOGS,Community Wardens,03044,Community  Warden
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,13/04/2017,156601,2856,ALCIUM SOFTWARE LIMITED,ALC002,Financial Services Manager,Balance brought forward BS,6000,EVOLUTIVE LICENCE 2017/18,INFTEC,Information Technology,10263,Payments in Adv - Gf
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,13/04/2017,156569,691.6,WALTON GOODLAND LTD,WAL008,Legal Services Manager,Land Management Contract,2126,REVALUATION NON CURRENT ASSETS 12/13,LANDMA,Land Management,01007,Land Management
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,13/04/2017,156573,2561.2,WALTON GOODLAND LTD,WAL008,Commercial Services Manager,Professional fees,2045,rate for surveyor march 17,EDEVPR,Economic Development and Promotion,02001,Economic Promotion
