CPS outcomes by principal offence category west_yorkshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,11,73.3%,4,26.7%
B Offences Against The Person,384,73.4%,139,26.6%
C Sexual Offences,33,75.0%,11,25.0%
D Burglary,97,75.8%,31,24.2%
E Robbery,50,90.9%,5,9.1%
F Theft And Handling,471,92.2%,40,7.8%
G Fraud And Forgery,41,73.2%,15,26.8%
H Criminal Damage,145,86.8%,22,13.2%
I Drugs Offences,210,91.7%,19,8.3%
J Public Order Offences,171,65.5%,90,34.5%
K All Other Offences (excluding Motoring),177,76.3%,55,23.7%
L Motoring Offences,935,91.9%,82,8.1%
Admin Finalisations,0,0.0%,34,100.0%
TOTAL,"2,725",83.3%,547,16.7%
