RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
1,Birthday Cake Cookie Dough Bites - due to incorrect allergen labelling.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16333/cl-trading-ltd-recalls-birthday-cake-cookie-dough-bites-because-of-incorrect-allergen-labelling,2017-07-05
2,8 Belgian White Chocolate Chunk All Butter Cookies - due to undeclared hazelnut.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16334/waitrose-recalls-its-8-belgian-white-chocolate-chunk-all-butter-cookies-because-of-undeclared-hazelnut,2017-07-06
3,Chocolate Mint Protein Bar - due to  undeclared peanuts and nuts and incorrect allergen labelling.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16339/clif-bar-recalls-its-clif-builders-chocolate-mint-protein-bar-because-of-undeclared-peanuts-and-nuts-and-incorrect-allergen-labelling,2017-07-07
4,Deli Peppered Ham & Egg Sandwiches - due to undeclared soya and sulphites.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16341/spar-is-recalling-its-daily-deli-peppered-ham-egg-sandwiches,2017-07-11
5,Tortilla chips - due to undeclared milk.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16349/pepsico-recalls-doritos-chilli-heatwave-undeclared-milk,2017-07-13
6,Fruit Teacakes - due to incorrect allergen labelling.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16352/booths-recalls-fruit-teacakes-allergen-milk,2017-07-14
7,Food business Operater recalls four of its products - due to undeclared mustard and gluten.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16380/poe-recalls-four-products,2017-07-25
8,Cooking Sauce - due to  undeclared egg.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16436/tesco-recalls-leek-and-bacon-cooking-sauce,2017-08-14
9,Three products - due to undeclared allergens. Allergy Alert issued in Northern Ireland only.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16439/lidl-ireland-recalls-three-vemondo-products,2017-08-16
10,Beef Sausages and Beef Pickled Briskets - due to undeclared allergens.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16465/frohwein-s-recalls-beef-sausages-and-beef-pickled-briskets-because-of-undeclared-allergens,2017-08-24
11,Fish Pie 800g - due to undeclared mustard.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16480/asda-recalls-classic-fish-pie-due-to-undeclared-mustard,2017-09-01
12,Milk Chocolate Raisins 150g - due to  undeclared peanuts.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16511/whitworths-ltd-recalls-its-milk-chocolate-raisins-150g-because-of-undeclared-peanut,2017-09-09
13,Cookie & Cream Biscuits - due to  undeclared milk.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16521/tesco-recalls-cookie-cream-biscuits,2017-09-12
14,Super Seeds Breakfast Apricot & Strawberry Bar - due to undeclared peanuts.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16545/9nine-brand-foods-ltd-recalls-its-super-seeds-breakfast-apricot-strawberry-bar-because-of-undeclared-peanuts,2017-09-19
15,Marshmallow beer - due to undeclared lactose.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16352/booths-recalls-fruit-teacakes-allergen-milk,2017-09-20
16,IPA - due to undeclared lactose.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16554/west-by-three-brewing-co-recalls-the-pilot-series-berry-white-ipa-because-lactose-is-not-declared-as-being-derived-from-milk,2017-09-21
17,Homemade Stuffing - due to undeclared milk (Northern Ireland only).,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16578/cloughbane-farm-recalls-homemade-stuffing-undeclared-milk-ni,2017-09-28
18, Punjabi Wadi - due to undeclared gluten and soya.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16583/p-b-food-ltd-recalls-heera-punjabi-wadi-because-of-undeclared-gluten-and-soya,2017-09-29
