Unique Reference Number,Date,Merchant Category Code,Location,Merchant Category Group,Amount,Supplier
FCOGPC1401000001,01/01/2014,Travel  ,Spain,Airlines,836.4,TAM WEB UK
FCOGPC1401000002,01/01/2014,Travel  ,United Kingdom,Airlines,1380.35,BRITISH AIRWAYS 
FCOGPC1401000003,01/01/2014,Travel  ,United Kingdom,Airlines,839.05,BRITISH AIRWAYS 
FCOGPC1401000004,02/01/2014,Travel  ,United Kingdom,Airlines,2261.55,BRITISH AIRWAYS 
FCOGPC1401000005,02/01/2014,Travel  ,United Kingdom,Airlines,1524.25,BRITISH AIRWAYS 
FCOGPC1401000006,02/01/2014,Travel  ,United Kingdom,Airlines,693.45,BRITISH AIRWAYS 
FCOGPC1401000007,02/01/2014,Travel  ,United Kingdom,Airlines,2228.55,ETIHADAIR   
FCOGPC1401000008,02/01/2014,Travel  ,United Kingdom,Airlines,549.45,VIR ATL     
FCOGPC1401000009,02/01/2014,Travel  ,United Kingdom,Airlines,807.85,VIR ATL
FCOGPC1401000010,02/01/2014,Travel  ,France,Airlines,2675.41,AIR FRANCE  
FCOGPC1401000011,02/01/2014,Travel  ,United Kingdom,Airlines,1838.41,LUFTHANSA  
FCOGPC1401000012,02/01/2014,Travel  ,Ireland,Airlines,604.85,DELTA AIR   
FCOGPC1401000013,02/01/2014,Travel  ,Ireland,Airlines,983.3,DELTA AIR   
FCOGPC1401000014,02/01/2014,Travel  ,United Kingdom,Airlines,604.05,VIR ATL     
FCOGPC1401000015,02/01/2014,Travel  ,United Kingdom,Airlines,1451.55,VIR ATL     
FCOGPC1401000016,02/01/2014,Travel  ,United Kingdom,Airlines,770.05,QATAR AIR 
FCOGPC1401000017,02/01/2014,Travel  ,United Kingdom,Airlines,-526.35,AIR-INDIA   
FCOGPC1401000018,03/01/2014,Travel  ,United Kingdom,Airlines,1001,EM AIR      
FCOGPC1401000019,03/01/2014,Travel  ,United Kingdom,Airlines,1001,EM AIR      
FCOGPC1401000020,03/01/2014,Travel  ,United Kingdom,Airlines,1001,EM AIR      
FCOGPC1401000021,03/01/2014,Travel  ,United Kingdom,Airlines,726.2,EM AIR      
FCOGPC1401000022,03/01/2014,Travel  ,United Kingdom,Airlines,1058.35,BRITISH AIRW
FCOGPC1401000023,06/01/2014,Travel  ,United Kingdom,Airlines,1339.8,SINGAPOREAIR
FCOGPC1401000024,06/01/2014,Travel  ,United Kingdom,Airlines,1067.75,ETHIOPIA    
FCOGPC1401000025,06/01/2014,Travel  ,United Kingdom,Airlines,1694.9,KENYA AIR   
FCOGPC1401000026,06/01/2014,Travel  ,United Kingdom,Airlines,1059.15,THY         
FCOGPC1401000027,06/01/2014,Travel  ,Spain,Airlines,617.6,TAM WEB UK
FCOGPC1401000028,06/01/2014,Travel  ,United Kingdom,Airlines,607.85,BRITISH AIRW
FCOGPC1401000029,06/01/2014,Travel  ,United Kingdom,Airlines,607.85,BRITISH AIRW
FCOGPC1401000030,06/01/2014,Travel  ,United Kingdom,Airlines,747.35,BRITISH AIRW
FCOGPC1401000031,06/01/2014,Travel  ,United Kingdom,Airlines,708.25,BRITISH AIRW
FCOGPC1401000032,06/01/2014,Travel  ,United Kingdom,Airlines,708.25,BRITISH AIRW
FCOGPC1401000033,06/01/2014,Travel  ,United Kingdom,Airlines,799.25,BRITISH AIRW
FCOGPC1401000034,06/01/2014,Travel  ,United Kingdom,Airlines,1194.75,BRITISH AIRW
FCOGPC1401000035,06/01/2014,Travel  ,United Kingdom,Airlines,3960.95,BRITISH AIRW
FCOGPC1401000036,06/01/2014,Travel  ,United Kingdom,Airlines,875.37,BRITISH AIRW
FCOGPC1401000037,06/01/2014,Travel  ,United Kingdom,Airlines,857.25,BRITISH AIRW
