Minister,Date,To,Gift,Value if over 140 pounds
Rt Hon William Hague Secretary of State for Foreign and Commonwealth Affairs,,,,None
Rt Hon Philip Hammond Secretary of State for Foreign and Commonwealth Affairs,,,,None
Rt Hon Hugh Robertson Minister of State,,,,None
Senior Minister of State Rt Hon Baroness Warsi,,,,None
Baroness Anelay,,,,None
Parliamentary Under-Secretary of State Mark Simmonds MP,,,,None
Parliamentary Under-Secretary of State James Duddridge MP,,,,None
Parliamentary Under-Secretary of State Tobias Ellwood MP,,,,None
Minister of State David Lidington MP,,,,None
Rt Hon Hugo Swire MP Minister of State,,,,None
