Department,Entity,Transaction Date,Supplier Name ,Amount ,Expense Type,Expense Area,Expenses  Description
DFID,DFID,40940,ROYAL SOCIETY FOR THE PROTECTION OF BIRDS,"£14,522",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Rose Town Foundation for The Built Environment Limited,"£18,000",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40940,THE ASHDEN AWARDS.,"£10,000",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,SHAPE,"£5,860",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,SAINT HELENA NATIONAL TRUST,"£9,905",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40946,The Energy and Resources Institute (TERI),"£73,110",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40946,The Energy and Resources Institute (TERI),"£8,582",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40947,THE ASIA FOUNDATION,"£17,554",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40947,ROYAL SOCIETY FOR THE PROTECTION OF BIRDS,"£13,445",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40946,ROYAL SOCIETY FOR THE PROTECTION OF BIRDS,"£8,501",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40947,BBC Media Action,"£368,217",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40948,Helvetas Nepal,"£492,622",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40948,national integrity action limited,"£374,408",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40952,International Crisis Group,"£33,333",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40953,SKILLSHARE INTERNATIONAL,"£43,319",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40952,MAF UK,"£60,000",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40955,Education Support Organization,"£103,043",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40952,VOLUNTARY SERVICE OVERSEAS,"£58,634",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,Shoklo Malaria Research Unit,"£41,257",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40954,Montserrat Reef Project,"£16,955",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40954,LIVERPOOL SCHOOL OF TROPICAL MEDICINE,"£79,553",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,THE REGIONAL LAW REVISION CENRE,"£83,288",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40956,BRAC,"£5,059,824",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40956,Centre for Social Markets,"£4,400",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40959,Sahayog Society for Participatory Rural Development,"£3,299",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40960,RURAL RECONSTRUCTION NEPAL,"£1,068,259",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40962,THE SAVE THE CHILDREN FUND,"£164,860",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40961,CARE NEPAL,"£1,655,000",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40961,ActionAid India,"£224,824",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40961,Oxfam (India) Trust,"£297,082",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40962,THE SAVE THE CHILDREN FUND,"£102,626",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40967,Manusher Jonno Foundation,"£8,000,000",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40967,Nepal Institute for Policy Studies,"£16,621",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,THE SAVE THE CHILDREN FUND,"£834,184",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,INTERNATIONAL RESCUE COMMITTEE UK,"£154,408",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40967,CHRISTIAN AID,"£127,490",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40968,Chinadialogue,"£16,182",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40946,ECGD ACCOUNT,"£91,405",Aid Programme - Aid and Trade Provision,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40945,Haroon Engineering Limited,£515,Building Plant - Air Conditioners,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40955,Harewelle International Limited.,"£649,636",Aid Programme - Challenge Fund payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Foreign & Commonwealth Office,"£1,094",UK Staff overseas - Flexi Travel Allowance,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Foreign & Commonwealth Office,"£1,939",Office Equipment - Purchases,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,Foreign & Commonwealth Office,"£3,477",Consultancy Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Supplier name withheld,£767,Contract & Agency Staff,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,NARINDER PAL SINGH,£587,Contract Catering Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,THE GOURMET FACTORY,"£1,688",Contract Catering Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40948,THE GOURMET FACTORY,"£1,850",Contract Catering Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,NARINDER PAL SINGH,£906,Contract Catering Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40948,The Food and Agriculture Organization Of The United Nations (GBP),"£11,779",Aid Programme - Core contributions,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40968,The Food and Agriculture Organization Of The United Nations (GBP),"£19,000",Aid Programme - Core contributions,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40946,Nepal Electricity Authority,£587,Electricity,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40955,BSES RAJDHANI POWER LIMITED,"£3,788",Electricity,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40959,Dhaka Electric Supply Company Ltd,£548,Electricity,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40968,Neptune Properties,£784,Electricity,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Foreign & Commonwealth Office,£542,Entertainment & Hospitality,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,Foreign & Commonwealth Office,"£1,164",Furniture & Fittings,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40945,New Madan Furnishers Pvt. Ltd.,"£1,334",Furniture & Fittings,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40959,Sharp Business Systems (I) Limited ,£503,Furniture & Fittings,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40961,MEHRA FURNITURES,£518,Furniture & Fittings,"Asia, Caribbean and Overseas Territories",
