Dep,Entity,Date, Expense Type, Expense Area,Supplier  ,Transaction Number, Amount, Invoice Description
DFID,DFID,02/01/2013,Telephone Usage & services ,East and Central Africa ,Ethio Telecom ,100082-101 ,"£1,865.93",
DFID,DFID,02/01/2013,Hotels - Accommodation only ,Western Asia and Stabilisation Division ,John Moffat MOD ,203336-102 ,£821.53,
DFID,DFID,02/01/2013,Technical and Advisory Services ,West and Southern Africa ,Mrs Lonnah Ndhlovu ,202214-101 ,"£3,253.11",
DFID,DFID,02/01/2013,Hotels - Accommodation only ,East and Central Africa ,Recipient name withheld ,101628-101 ,£610.00,
DFID,DFID,03/01/2013,Aid Programme - Core contributions ,Research and Evidence Division ,African Economic Research Consortium ,201712-105 ,"£625,000.00",
DFID,DFID,03/01/2013,Aid Programme - Joint programme contribution ,Western Asia and Stabilisation Division ,GTZ GmBH Eschborn ,203106-101 ,"£500,000.00",
DFID,DFID,03/01/2013,Aid Programme - Accountable Grant Payments ,Asia  Caribbean and Overseas Territories ,INTERNATIONAL RESCUE COMMITTEE UK ,203400-101 ,"£467,169.00",
DFID,DFID,03/01/2013,Aid Programme - Core contributions ,Policy Division ,Transparency International Berlin ,202274-102 ,"£259,160.00",
DFID,DFID,03/01/2013,Technical and Advisory Services ,East and Central Africa ,ATOS CONSULTING LIMITED ,113400-103 ,"£253,948.96",
DFID,DFID,03/01/2013,Aid Programme - Humanitarian Material Relief Assistance and Services ,Conflict Humanitarian and Security Division , UNHCR ,203785-101 ,"£246,880.00",
DFID,DFID,03/01/2013,Technical and Advisory Services ,International Finance Division ,PRICEWATERHOUSECOOPERS ,114178-101 ,"£131,993.26",
DFID,DFID,03/01/2013,Technical and Advisory Services ,East and Central Africa ,KPMG EAST AFRICA LTD ,201866-109 ,"£130,950.59",
DFID,DFID,03/01/2013,Technical and Advisory Services ,West and Southern Africa ,COFFEY INTERNATIONAL DEVELOPMENT LTD ,104190-103 ,"£118,410.97",
DFID,DFID,03/01/2013,Technical and Advisory Services ,West and Southern Africa ,COFFEY INTERNATIONAL DEVELOPMENT LTD ,104190-109 ,"£114,380.89",
DFID,DFID,03/01/2013,Technical and Advisory Services ,Policy Division ,KPMG Development Services ,114143-101 ,"£83,200.00",
DFID,DFID,03/01/2013,Technical and Advisory Services ,East and Central Africa ,RSM Tenon Limited ,200250-111 ,"£59,748.00",
