Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Number,Sum of Amount
Department of Health,Black Country Partnership NHS Foundation Trust,13/09/2013,PHOTOCOPYING - OTHER,Premises & fixed plant,RICOH UK LTD,40002142,-13830.85
Department of Health,Black Country Partnership NHS Foundation Trust,13/09/2013,NON NHS ACCRUALS SMBC RECHARGE,Accruals,SANDWELL MBC,50000087,436750.12
Department of Health,Black Country Partnership NHS Foundation Trust,20/09/2013,NON NHS ACCRUALS SMBC RECHARGE,Accruals,SANDWELL MBC,50000116,361453.52
Department of Health,Black Country Partnership NHS Foundation Trust,20/09/2013,NON NHS ACCRUALS SMBC RECHARGE,Accruals,SANDWELL MBC,50000112,331453.64
Department of Health,Black Country Partnership NHS Foundation Trust,13/09/2013,NON NHS ACCRUALS SMBC RECHARGE,Accruals,SANDWELL MBC,50000008,315568.16
Department of Health,Black Country Partnership NHS Foundation Trust,20/09/2013,CAPITAL CREDITORS,Other trade payables - capital,KIER CONSTRUCTION - CENTRAL,40002144,313662.65
Department of Health,Black Country Partnership NHS Foundation Trust,05/09/2013,RYHURST - MANAGEMENT,Premises & fixed plant,BLACK COUNTRY PPP HEALTH SERVICE,30012978,83946.62
Department of Health,Black Country Partnership NHS Foundation Trust,26/09/2013,CONTRACT SECURITY,Miscellaneous,REVELAN UK LIMITED,30014539,69531.11
Department of Health,Black Country Partnership NHS Foundation Trust,05/09/2013,WMAS-PATIENT TRANSPORT,Services from Other NHS Trusts,WEST MIDLANDS AMBULANCE SERVICE,10000324,69504.24
Department of Health,Black Country Partnership NHS Foundation Trust,13/09/2013,AP DRUGS,Supplies & Services-Clinical:,THE DUDLEY GROUP OF HOSPITALS,10000403,54698.34
Department of Health,Black Country Partnership NHS Foundation Trust,13/09/2013,DRUG & ALCOHOL,Supplies & Services-Clinical:,NHS BUSINESS SERVICES AUTHORITY,10000417,57491.25
Department of Health,Black Country Partnership NHS Foundation Trust,26/09/2013,ENG MAINT - EXT CONTRACTS,Premises & fixed plant,NORLAND MANAGED SERVICES LIMTED,30013802,40685.42
Department of Health,Black Country Partnership NHS Foundation Trust,26/09/2013,AP DRUGS,Supplies & Services-Clinical:,THE ROYAL WOLVERHAMPTON HOSPITAL,10000443,34112.37
Department of Health,Black Country Partnership NHS Foundation Trust,05/09/2013,Various,Supplies & Services-General,THE DUDLEY GROUP OF HOSPITALS,10000389,29391.86
Department of Health,Black Country Partnership NHS Foundation Trust,05/09/2013,Various,(blank),THE DUDLEY GROUP OF HOSPITALS,10000390,29391.86
Department of Health,Black Country Partnership NHS Foundation Trust,05/09/2013,Various,(blank),THE DUDLEY GROUP OF HOSPITALS,10000391,29391.86
Department of Health,Black Country Partnership NHS Foundation Trust,26/09/2013,Various,(blank),THE DUDLEY GROUP OF HOSPITALS,10000433,29391.86
