Table 1  Waste Collected,Jan-Mar 2010,Apr-Jun 2010,Jul-Sep 2010,Oct-Dec 2010,Jan-Mar 2011,Apr-Jun 2011,Jul-Sep 2011,Oct-Dec 2011,Jan-Mar 2012,Apr-Jun 2012,Jul-Sep 2012,Oct-Dec 2012,Jan-Mar 2013,Apr-Jun 2013,Jul-Sep 2013,Oct-Dec 2013,Jan-Mar 2014,Apr-Jun 2014,Jul-Sep 2014,Oct-Dec 2014
total collected,"5,129","6,065","5,894","5,043","5,382","5,873","5,786","5,129","5,092","5,794","5,992","5,077","4,757","5,857","5,793","5,157","5,132","6,151","5,914","5,169"
annual total collection,,,,"22,131","22,384","22,193","22,085","22,170","21,881","21,801","22,007","21,956","21,621","21,684","21,485","21,564","21,939","22,233","22,353","22,366"
of which sent for dry recycling,"1,418","1,430","1,434","1,275","1,482","1,406","1,405","1,325","1,451","1,423","1,433","1,346","1,398","1,455","1,450","1,372","1,473","1,468","1,475","1,383"
of which sent for organic recycling,463,"1,234","1,124",735,671,"1,287","1,223",798,589,"1,263","1,418",763,444,"1,296","1,278",830,601,"1,517","1,314",789
of which collected kerbside residual,"2,754","2,804","2,806","2,632","2,758","2,684","2,697","2,605","2,645","2,649","2,648","2,587","2,548","2,626","2,594","2,564","2,599","2,656","2,633","2,593"
of which collected CA residual,395,484,432,322,397,416,385,323,346,398,421,329,328,431,410,333,393,445,430,353
of which colected bulky and other residual,77,75,75,63,61,71,70,67,67,67,69,57,50,55,55,53,59,60,61,49
Waste from household kg per person,99,117,113,97,103,112,109,97,96,109,112,95,89,109,108,96,95,114,110,95
Table 2  Recycling,Jan-Mar 2010,Apr-Jun 2010,Jul-Sep 2010,Oct-Dec 2010,Jan-Mar 2011,Apr-Jun 2011,Jul-Sep 2011,Oct-Dec 2011,Jan-Mar 2012,Apr-Jun 2012,Jul-Sep 2012,Oct-Dec 2012,Jan-Mar 2013,Apr-Jun 2013,Jul-Sep 2013,Oct-Dec 2013,Jan-Mar 2014,Apr-Jun 2014,Jul-Sep 2014,Oct-Dec 2014
Recycling rate (based on sent recyling less rejects),36.70%,43.90%,43.40%,39.90%,40.00%,45.80%,45.40%,41.40%,40.00%,46.30%,47.60%,41.50%,38.70%,47.00%,47.10%,42.70%,40.40%,48.50%,47.20%,42.00%
Annual recycling rate,,,,41.20%,41.90%,42.40%,42.90%,43.30%,43.30%,43.50%,44.10%,44.10%,43.90%,44.00%,43.90%,44.20%,44.50%,44.90%,45.00%,44.80%
total collected waste,"5,129","6,065","5,894","5,043","5,382","5,873","5,786","5,129","5,092","5,794","5,992","5,077","4,757","5,857","5,793","5,157","5,132","6,151","5,914","5,169"
total sent for recycling less rejects,"1,881","2,663","2,558","2,010","2,153","2,693","2,627","2,123","2,039","2,686","2,851","2,108","1,842","2,751","2,728","2,203","2,074","2,985","2,790","2,172"
of which dry,"1,418","1,430","1,434","1,275","1,482","1,406","1,405","1,325","1,451","1,423","1,433","1,346","1,398","1,455","1,450","1,372","1,473","1,468","1,475","1,383"
of which separately collected food,25,27,30,36,44,39,42,46,54,55,59,63,66,65,68,74,76,72,72,72
of which other organics,438,"1,206","1,094",698,627,"1,248","1,180",752,535,"1,208","1,359",700,378,"1,231","1,210",756,525,"1,445","1,242",717
Table 3  Dry recycling,Jan-Mar 2010,Apr-Jun 2010,Jul-Sep 2010,Oct-Dec 2010,Jan-Mar 2011,Apr-Jun 2011,Jul-Sep 2011,Oct-Dec 2011,Jan-Mar 2012,Apr-Jun 2012,Jul-Sep 2012,Oct-Dec 2012,Jan-Mar 2013,Apr-Jun 2013,Jul-Sep 2013,Oct-Dec 2013,Jan-Mar 2014,Apr-Jun 2014,Jul-Sep 2014,Oct-Dec 2014
Dry recycling rate (excludes organic recycling from calculation),30.40%,29.60%,30.10%,29.60%,31.50%,30.60%,30.80%,30.60%,32.20%,31.40%,31.30%,31.20%,32.40%,31.90%,32.10%,31.70%,32.50%,31.70%,32.10%,31.60%
total collected dry (includes organic waste in the residual stream),"4,666","4,831","4,770","4,308","4,711","4,586","4,564","4,330","4,503","4,531","4,574","4,315","4,313","4,561","4,515","4,326","4,531","4,634","4,599","4,380"
