CPS outcomes by principal offence category ,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
42 Areas,11673,91.3%,1118,8.7%
P01-Avon&Somerset,352,93.9%,23,6.1%
P02-Bedfordshire,98,94.2%,6,5.8%
P03-Cambridgeshire,152,93.3%,11,6.7%
P04-Cheshire,201,94.4%,12,5.6%
P06-Cleveland,238,92.6%,19,7.4%
P07-Cumbria,93,86.9%,14,13.1%
P08-Derbyshire,185,94.4%,11,5.6%
P09-Devon&Cornwall,251,92.6%,20,7.4%
P10-Dorset,125,93.3%,9,6.7%
P11-Durham,138,89.0%,17,11.0%
P12-DyfedPowys,75,90.4%,8,9.6%
P13-Essex,373,94.9%,20,5.1%
P14-Gloucestershire,92,94.8%,5,5.2%
P15-GreaterManchester,673,92.7%,53,7.3%
P16-Gwent,153,94.4%,9,5.6%
P17-Hampshire,399,88.7%,51,11.3%
P18-Hertfordshire,193,89.4%,23,10.6%
P19-Humberside,282,93.7%,19,6.3%
P20-Kent,366,92.0%,32,8.0%
P21-Lancashire,431,91.9%,38,8.1%
P22-Leicestershire,137,89.0%,17,11.0%
P23-Lincolnshire,149,92.0%,13,8.0%
P24-Merseyside,289,88.4%,38,11.6%
P25-Metropolitan&City,1639,88.5%,212,11.5%
P26-Norfolk,171,89.5%,20,10.5%
P27-Northamptonshire,98,84.5%,18,15.5%
P28-Northumbria,545,94.5%,32,5.5%
P29-NorthWales,153,93.9%,10,6.1%
P30-NorthYorkshire,208,84.2%,39,15.8%
P31-Nottinghamshire,248,93.9%,16,6.1%
P32-SouthWales,333,90.7%,34,9.3%
P33-SouthYorkshire,324,93.6%,22,6.4%
P34-Staffordshire,224,93.3%,16,6.7%
P35-Suffolk,123,96.9%,4,3.1%
P36-Surrey,156,93.4%,11,6.6%
P37-Sussex,241,92.3%,20,7.7%
P38-ThamesValley,383,88.7%,49,11.3%
P39-Warwickshire,62,95.4%,3,4.6%
P40-WestMercia,180,94.2%,11,5.8%
P41-WestMidlands,507,93.0%,38,7.0%
P42-WestYorkshire,548,86.7%,84,13.3%
P43-Wiltshire,85,88.5%,11,11.5%
