Newcastle City Council Invoices over £250 paid in September 2013,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,27/09/2013,3663,6007675,Revenue,1KF07,Banqueting Suite,310.52 ,,,,,,,,,
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,18/09/2013,3663,5998745,Revenue,1KF07,Banqueting Suite,331.21 ,,,,,,,,,
Environment & Regeneration,E & R School Meals                     ,Supplies & Services,06/09/2013,3663,5992437,Revenue,1KF07,Banqueting Suite,293.94 ,,,,,,,,,
Environment & Regeneration,Cityworks Clean E/C        ,Supplies & Services,02/09/2013, BIN MASTERS LTD,5975994,Revenue,1KEG4,Blue Bin Recycling Scheme,900.00 ,,,,,,,,,
Environment & Regeneration,Highways                               ,Premises,23/09/2013, THOMPSONS OF PRUDHOE LTD,5937519,Revenue,1KEMC,Highways,"1,293.50 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Premises,25/09/2013, THOMPSONS OF PRUDHOE LTD,6007647,Revenue,1KEMC,Highways,"1,293.50 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Premises,02/09/2013, THOMPSONS OF PRUDHOE LTD,5933411,Revenue,1KEMC,Highways,581.16 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,13 FERGUSONS LANE,6006733,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,18 SEA VIEW VILLAS,6006678,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00 ",,,,,,,,,
Children's Services,Invoice,Supplies & Services,13/09/2013,1ST ADVANCE LTD,5999682,Revenue,1CM00,IT Management & Admin,"1,020.60 ",,,,,,,,,
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Rents,12/09/2013,A KIME ELECTRICAL,5998877,Revenue,1DE48,i8 - Lynwood NEC,368.00 ,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,11/09/2013,A PLANT ACROW,5998426,Revenue,3KIMD,Other Stores Stock Account,347.76 ,,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,25/09/2013,A SIGNIFICANT OTHER LTD,6007966,Revenue,1MC02,Ind Sector Placements,"8,600.00 ",,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,05/09/2013,A SIGNIFICANT OTHER LTD,5992311,Revenue,1MC02,Ind Sector Placements,"8,600.00 ",,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,25/09/2013,A WILDERNESS WAY,6007951,Revenue,1MC02,Ind Sector Placements,"8,296.00 ",,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,25/09/2013,A WILDERNESS WAY,6007952,Revenue,1MC02,Ind Sector Placements,"14,000.00 ",,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,05/09/2013,A WILDERNESS WAY,5992296,Revenue,1MC02,Ind Sector Placements,"14,000.00 ",,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,10/09/2013,A&J KEITH LTD,5996335,Revenue,1KBRM,Sub Contractors R & M,"53,094.88 ",,,,,,,,,
Children's Services,Invoice,Premises,23/09/2013,A1 INDUSTRIAL TRUCKS LTD,6005008,Revenue,1DR03,Grainger Market,337.00 ,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,30/09/2013,AAA CHEMICALS LTD,6010891,Revenue,3KES1,Fleetmaster Stores Account,476.00 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",10/09/2013,ABBEYFIELD CASTLE FARM,5995511,Revenue,1MG20,Ind Res Care Elderly,"-1,147.08 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,ABBEYFIELD CASTLE FARM,5995511,Revenue,1MG20,Ind Res Care Elderly,"3,488.00 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",10/09/2013,ABBEYFIELD THE GROVE,5995502,Revenue,1MG20,Ind Res Care Elderly,"-2,566.48 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,ABBEYFIELD THE GROVE,5995502,Revenue,1MG20,Ind Res Care Elderly,"5,232.00 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",10/09/2013,ABBEYMOOR,5995512,Revenue,1MG10,Ind Nursing Care Elderly,-573.08 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",10/09/2013,ABBEYMOOR,5995512,Revenue,1MM10,Ind Nursing Care MH,-315.20 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,ABBEYMOOR,5995512,Revenue,1MG10,Ind Nursing Care Elderly,"3,462.52 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,ABBEYMOOR,5995512,Revenue,1MM10,Ind Nursing Care MH,"2,010.56 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,ABBEYWELL COURT CARE HOMES,5995538,Revenue,1MG10,Ind Nursing Care Elderly,"2,300.00 ",,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,03/09/2013,ABEL ALARM COMPANY LTD,5990350,Revenue,1KVEM,Mechanical Stand Alone Works,480.00 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",10/09/2013,ABIGAIL HOUSE,5995513,Revenue,1MG20,Ind Res Care Elderly,"-8,832.70 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,ABIGAIL HOUSE,5995513,Revenue,1MG20,Ind Res Care Elderly,"27,935.58 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,20/09/2013,ABOUT TURN VETERANS SUPPORT SERVICE,6003952,Revenue,1MX10,Community Grants To Vol Orgs,"2,286.83 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",03/09/2013,ACCEPT CARE,5989539,Revenue,1MK54,Dom Care Own Tenancy LD,-290.96 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,ACCEPT CARE,5989539,Revenue,1MK50,Ind Supported Living LD,"1,817.20 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,ACCEPT CARE,5989539,Revenue,1MK54,Dom Care Own Tenancy LD,"4,906.44 ",,,,,,,,,
Children's Services,Invoice,Supplies & Services,26/09/2013,ACCESS INDEPENDENT,6008863,Revenue,1V123,Blue Badge Applications,"2,086.50 ",,,,,,,,,
Environment & Regeneration,NS: Strategy               ,Supplies & Services,06/09/2013,ACP,5991616,Revenue,1KSCD,External Vehicle Tracking,"4,720.00 ",,,,,,,,,
Environment & Regeneration,NS: Strategy               ,Supplies & Services,04/09/2013,ACP,5989357,Revenue,1KSCD,External Vehicle Tracking,865.83 ,,,,,,,,,
Children's Services,Invoice,Premises,23/09/2013,ACROL AIR CONDITIONING CO LTD,6005211,Revenue,1KKX1,Civic Centre Direct Costs,"2,888.40 ",,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,19/09/2013,ACROL AIR CONDITIONING CO LTD,6002537,Revenue,1E465,Willow Avenue Community C C P,679.27 ,,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,19/09/2013,ACTION BUILDING MAINTENANCE LTD,6002708,Revenue,1KARC,Rechargeables Central,880.19 ,,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,20/09/2013,ACTION FOR CHILDREN,6003948,Revenue,1MD72,Troubled Families Funding,"6,705.79 ",,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,25/09/2013,ACTION FOR CHILDREN,6007940,Revenue,1MC22,IND Sector Foster Carer Costs,"11,176.00 ",,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,05/09/2013,ACTION FOR CHILDREN,5992283,Revenue,1MC22,IND Sector Foster Carer Costs,"18,924.29 ",,,,,,,,,
Children's Services,Childrens Services Support       ,Third Party Payments,05/09/2013,ACTION FOR CHILDREN,5981072,Revenue,1MF12,Adoption Interagency,"1,194.00 ",,,,,,,,,
Adult and Culture,Adult Serv Sens Supp       ,Supplies & Services,17/09/2013,ACTION ON HEARING LOSS,6000382,Revenue,1MH70,Phy Disability-Sensory Support,416.46 ,,,,,,,,,
Adult and Culture,Adult Serv Sens Supp       ,Supplies & Services,17/09/2013,ACTION ON HEARING LOSS,6000383,Revenue,1MH70,Phy Disability-Sensory Support,420.18 ,,,,,,,,,
Adult and Culture,Adult Serv Sens Supp       ,Supplies & Services,23/09/2013,ACTION ON HEARING LOSS,6004990,Revenue,1MH70,Phy Disability-Sensory Support,314.92 ,,,,,,,,,
Environment & Regeneration,E&R-Highway&Traffic Management   ,Capital Expenditure,04/09/2013,AD ARCHAEOLOGY LTD,5971584,Capital,2DP02,Devt Capital CC,495.00 ,,,,,,,,,
Environment & Regeneration,Cityworks  Eldon           ,Supplies & Services,16/09/2013,AD MERCHANDISE LTD,6000589,Revenue,1KLH0,Sports Dev,525.00 ,,,,,,,,,
Environment & Regeneration,Cityworks  Eldon           ,Supplies & Services,16/09/2013,AD MERCHANDISE LTD,6000592,Revenue,1KLH0,Sports Dev,"1,428.00 ",,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,27/09/2013,AD MERCHANDISE LTD,5999743,Revenue,1KR01,R & M Trading,"1,053.50 ",,,,,,,,,
Children's Services,Schools Payment Agency                 ,Premises,20/09/2013,ADAM CLEMERSON TA MR PAINTBRUSH,6004382,Revenue,1E097,Bridgewater Centre,"2,370.00 ",,,,,,,,,
Children's Services,Invoice,Supplies & Services,26/09/2013,ADARE LTD,6008856,Revenue,1FL01,Electoral Registration Unit,670.73 ,,,,,,,,,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,26/09/2013,ADC ELECTRICAL CO LTD(F),6007649,Revenue,1KR8E,Build Surv Team,"1,154.93 ",,,,,,,,,
