Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",142,135.9,261,250.1,815,782.78,479,458.67,80,77.73,0,0,"1,777","1,705",13,13,10,10,49,49,0,0,72,72,"1,849","1,777","£5,979,765","£7,961","£61,783","£37,709","£1,209,753","£490,135","£7,787,106","£770,497",£0,"£770,497","£8,557,603",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",838,766.82,545,508.77,750,704.03,180,176.38,8,7.61,0,0,"2,321","2,164",29,29,0,0,23,23,0,0,52,52,"2,373","2,216","£5,368,715","£95,709","£1,322","£108,057","£1,134,289","£421,996","£7,130,088","£267,462",£0,"£267,462","£7,397,550",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",81,74.57,119,109.86,251,238.87,93,87.36,3,3,0,0,547,514,0,0,0,0,0,0,0,0,0,0,547,514,"£1,318,569","£16,913",£0,"£14,990","£276,766","£101,128","£1,728,366",£0,£0,£0,"£1,728,366",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",735,643.56,637,585.88,576,549.41,161,159.45,14,14,0,0,"2,123","1,952",183,183,56,56,0,0,0,0,239,239,"2,362","2,191","£4,526,791","£21,416","£9,500","£160,896","£924,788","£348,421","£5,991,812","£2,848,722","£368,547","£3,217,269","£9,209,081",
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",32,30.34,28,27.41,44,42.67,44,43.55,3,3,0,0,151,147,9,7.9,0,0,2,1.2,0,0,11,9.1,162,156,"£440,475","£10,983",£0,£0,"£96,566","£37,877","£585,901","£37,341",£0,"£37,341","£623,242",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Board does not employ any staff
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Committees do not employ any staff
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,404,390.85,404,391,9,9,0,0,8,8,0,0,17,17,421,408,"£1,177,627","£52,373",£0,£0,"£100,191","£130,884","£1,461,074","£22,055",£0,"£22,055","£1,483,129",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",10,9.81,24,23.81,21,19.43,10,10,5,4.5,0,0,70,68,2,2,1,0.4,0,0,0,0,3,2.4,73,70,"£181,459","£2,372",£0,£0,"£34,628","£14,969","£233,428","£13,536",£0,"£13,536","£246,964",
Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1650,1526.29,2490,2326.66,3116,2924.67,1927,1845.19,119,117.47,955,943.4,"10,257","9,684",174,168.63,70,66.79,156,156,268,254.78,668,646.2,"10,925","10,330","£28,909,262","£397,440","£5,608,680","£2,185,305","£4,092,450","£3,359,324","£44,552,462","£895,757","£1,785,419","£2,681,176","£47,233,638",
