DEPARTMENT FAMILY,ENTITY,DATE,EXPENSE,EXPENSE AREA,SUPPLIER,TRANSACTION NUMBER,AMOUNT,VAT REG,,,,,,
DEPARTMENT OF HEALTH,TRUST,13-May-11,DRUGS,PHARMACY,HEALTHCARE AT HOME LTD,349289,25025,0,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,04-May-11,COMPUTER HARDWARE PURCHASES,INFORMATION SERVICES,INSIGHT DIRECT (UK) LTD,342896,25675.2,0,,,,,,
DEPARTMENT OF HEALTH,DIVISION OF DIAGNOSTIC & THERAPEUTICS,06-May-11,BLOOD PRODUCTS,CLINICAL HAEMATOLOGY,BAYER PLC,346965,26880,0,,,,,,
DEPARTMENT OF HEALTH,TRUST,13-May-11,DRUGS,PHARMACY,ROCHE PRODUCTS LTD,349558,27242.28,0,,,,,,
DEPARTMENT OF HEALTH,TRUST,20-May-11,DRUGS,PHARMACY,ROCHE PRODUCTS LTD,351720,27574.74,0,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,04-May-11,COMPUTER HARDWARE PURCHASES,INFORMATION SERVICES,INSIGHT DIRECT (UK) LTD,342893,27814.8,0,,,,,,
DEPARTMENT OF HEALTH,DIVISION OF DIAGNOSTIC & THERAPEUTICS,06-May-11,BLOOD PRODUCTS,CLINICAL HAEMATOLOGY,ALLIANCE HEALTHCARE DISTRIBUTION LTD,346630,27840,0,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,27-May-11,POSTAGE AND CARRIAGE,OPERATIONAL MANAGEMENT,NEOPOST LTD,353123,28200,0,,,,,,
DEPARTMENT OF HEALTH,TRUST,13-May-11,DRUGS,PHARMACY,ROCHE PRODUCTS LTD,349563,28371.61,0,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,20-May-11,RATES,OPERATIONAL MANAGEMENT,PIERHEAD HOUSING ASSOCIATION,342359,28425.63,0,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,13-May-11,RENTS,OTHER FACILITIES SERVICES,VINCI PARK UK LTD,348309,30011.52,0,,,,,,
DEPARTMENT OF HEALTH,TRUST,27-May-11,MEDICAL STAFF RECHARGE,VARIOUS DIRECTORATES,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,352525,30221.24,0,,,,,,
DEPARTMENT OF HEALTH,SURGICAL DIVISION,13-May-11,PROSTHESIS,ANAESTHETICS / THEATRES,STRYKER UK LTD,341140,30343.68,0,,,,,,
DEPARTMENT OF HEALTH,MEDICAL DIVISION,13-May-11,FP10'S,CLINICAL GERONTOLOGY,NHS BUSINESS SERVICES AUTHORITY,348840,30.9,0,,,,,,
DEPARTMENT OF HEALTH,DIVISION OF DIAGNOSTIC & THERAPEUTICS,13-May-11,FP10'S,CLINICAL HAEMATOLOGY,NHS BUSINESS SERVICES AUTHORITY,348840,152.18,0,,,,,,
DEPARTMENT OF HEALTH,OVERHEAD DIVISION,13-May-11,FP10'S,DENTAL,NHS BUSINESS SERVICES AUTHORITY,348840,1741.32,0,,,,,,
