"Spend over £25,000 - Publication template",,,,,,,,,,,,
,,,,,,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,,,,
Department of Health,NHS Telford & Wrekin,19/05/2010,Income tax < 1 Year,Corporate,INLAND REVENUE,APRIL10 M1 PAYEE,302877.24,,,,,
Department of Health,NHS Telford & Wrekin,19/05/2010,Student Loans,Corporate,INLAND REVENUE,APRIL10 M1 PAYEE,2185,,,,,
Department of Health,NHS Telford & Wrekin,21/05/2010,Computer Emis Bureau,Commissioning,EMIS COMMUNICATIONS,IN33941-1,26052.42,,,,,
Department of Health,NHS Telford & Wrekin,14/05/2010,Purchase of Healthcare General And Acute,Commissioning,MID STAFFORDSHIRE NHS FOUNDATION TRUST,MAY10,64581,,,,,
Department of Health,NHS Telford & Wrekin,07/05/2010,Legal/Professional Fees,Corporate,MILLS & REEVE,BIRBIL/743016/V/1/1,77,,,,,
Department of Health,NHS Telford & Wrekin,07/05/2010,Legal/Professional Fees,Corporate,MILLS & REEVE,BIRBIL/743016/V/1/1,28012.1,,,,,
Department of Health,NHS Telford & Wrekin,07/05/2010,Provision of Financial System,Corporate,PATECH,200757,54583.75,,,,,
Department of Health,NHS Telford & Wrekin,14/05/2010,Purchase of Healthcare General And Acute,Commissioning,THE ROYAL WOLVERHAMPTON HOSPITAL NHS TRUST,MAY10,76961,,,,,
Department of Health,NHS Telford & Wrekin,27/05/2010,Revenue Grants,Commissioning,SEVERN HOSPICE LTD,27363,25000,,,,,
Department of Health,NHS Telford & Wrekin,21/05/2010,Revenue Grants,Commissioning,SEVERN HOSPICE LTD,27387,668498.04,,,,,
Department of Health,NHS Telford & Wrekin,07/05/2010,Provision of Pediatric Services,Provider Services,SHREWSBURY AND TELFORD HOSPITAL NHS TRUS,10040991,74450.75,,,,,
Department of Health,NHS Telford & Wrekin,14/05/2010,Purchase of Healthcare General And Acute,Commissioning,SHREWSBURY AND TELFORD HOSPITAL NHS TRUS,10041774,1443376,,,,,
Department of Health,NHS Telford & Wrekin,14/05/2010,Purchase of Healthcare General And Acute,Commissioning,SHREWSBURY AND TELFORD HOSPITAL NHS TRUS,MAY10,6791667,,,,,
Department of Health,NHS Telford & Wrekin,07/05/2010,Provision of Financial Services,Corporate,SHROPSHIRE COUNTY PCT,30004802,7443.4,
Department of Health,NHS Telford & Wrekin,07/05/2010,Provision of Financial Services,Corporate,SHROPSHIRE COUNTY PCT,30004802,29773.6,
Department of Health,NHS Telford & Wrekin,14/05/2010,Provision of Financial Services,Corporate,SHROPSHIRE COUNTY PCT,30004841,7443.4,
Department of Health,NHS Telford & Wrekin,14/05/2010,Provision of Financial Services,Corporate,SHROPSHIRE COUNTY PCT,30004841,29773.6,
Department of Health,NHS Telford & Wrekin,14/05/2010,Purchase of Healthcare Community Health Services,Commissioning,SHROPSHIRE COUNTY PCT,MAY10,186793,
Department of Health,NHS Telford & Wrekin,21/05/2010,Rent,Commissioning,TELFORD & WREKIN COUNCIL,LPI11398,44400,
Department of Health,NHS Telford & Wrekin,07/05/2010,Continuing Healthcare Community Health Services,Commissioning,TELFORD & WREKIN COUNCIL,SPI02056,483684.18,
Department of Health,NHS Telford & Wrekin,07/05/2010,Continuing Healthcare Other Contractual,Commissioning,TELFORD & WREKIN COUNCIL,SPI02056,120605.81,
Department of Health,NHS Telford & Wrekin,07/05/2010,Continuing Healthcare Learning Difficulties,Commissioning,TELFORD & WREKIN COUNCIL,SPI02056,359310.62,
Department of Health,NHS Telford & Wrekin,07/05/2010,Continuing Healthcare Mental Illness,Commissioning,TELFORD & WREKIN COUNCIL,SPI02056,86159.34,
Department of Health,NHS Telford & Wrekin,07/05/2010,Residential Long Stay Expenditure,Commissioning,TELFORD & WREKIN COUNCIL,SPI02056,1261.92,
Department of Health,NHS Telford & Wrekin,14/05/2010,Revenue Grants,Commissioning,TELFORD & WREKIN COUNCIL,SPI02946,77000,
Department of Health,NHS Telford & Wrekin,27/05/2010,Continuing Healthcare Community Health Services,Commissioning,TELFORD & WREKIN COUNCIL,SPI03728,376277.58,
Department of Health,NHS Telford & Wrekin,27/05/2010,Continuing Healthcare Other Contractual,Commissioning,TELFORD & WREKIN COUNCIL,SPI03728,152100.98,
Department of Health,NHS Telford & Wrekin,27/05/2010,Continuing Healthcare Learning Difficulties,Commissioning,TELFORD & WREKIN COUNCIL,SPI03728,304831.28,
Department of Health,NHS Telford & Wrekin,27/05/2010,Continuing Healthcare Mental Illness,Commissioning,TELFORD & WREKIN COUNCIL,SPI03728,76693.44,
Department of Health,NHS Telford & Wrekin,27/05/2010,Residential Long Stay Expenditure,Commissioning,TELFORD & WREKIN COUNCIL,SPI03728,1221.23,
