Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Community,2546,CCTV Transmission,07/03/2013,0000174513,2393.42,Revenue,Virgin Media Payments,09920
Rushmoor Borough Council,Community,2543,Aldershot Christmas Lights,21/03/2013,0000174769,650.00,Revenue,Chambers Southern Ltd,10517
Rushmoor Borough Council,Community,6518,Contract Costs,07/03/2013,0000174927,11845.00,Capital,Craemer Uk Ltd,11508
Rushmoor Borough Council,Community,2540,Operational Equipment,21/03/2013,0000174941,1485.00,Revenue,Hemming Group Ltd,00444
Rushmoor Borough Council,Community,2523,Aldershot Museum,07/03/2013,0000175181,19450.00,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Community,2523,Museum Curator,07/03/2013,0000175181,15550.00,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Democratic Services,1325,Photocopiers,07/03/2013,0000175273,775.28,Revenue,Ricoh,00676
Rushmoor Borough Council,Democratic Services,1325,Photocopiers,07/03/2013,0000175274,-614.79,Revenue,Ricoh,00676
Rushmoor Borough Council,Democratic Services,1304,Mayoral Charity Event,07/03/2013,0000175359,7091.80,Revenue,H H Clark (Caterers) Ltd,01393
Rushmoor Borough Council,Community,6542,Contract Costs,07/03/2013,0000175360,20391.75,Capital,J K  Build Ltd,01239
Rushmoor Borough Council,Customer Services,3814,Software Maintenance,21/03/2013,0000175387,13298.26,Revenue,Capita Ib Solutions,00031
Rushmoor Borough Council,Community,6518,Contract Costs,07/03/2013,0000175459,4662.00,Capital,Craemer Uk Ltd,11508
Rushmoor Borough Council,Strategy and Communiations,1409,Contribution Partnership Officer,14/03/2013,0000175471,2360.00,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Democratic Services,1323,Postages,07/03/2013,0000175497,1100.55,Revenue,Royal Mail,00821
Rushmoor Borough Council,Community,2547,Promotions,21/03/2013,0000175499,1000.00,Revenue,Paul Jay,12531
Rushmoor Borough Council,Control Accounts,9300,Conflict Resolution,14/03/2013,0000175501,10007.90,Control Accounts,Aik Saath,12530
Rushmoor Borough Council,Community,2553,Payment to Contractor,07/03/2013,0000175503,103602.81,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Clinical Waste,07/03/2013,0000175503,725.66,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2554,Payment to Contractor,07/03/2013,0000175503,63058.00,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2555,Payment to Contractor,07/03/2013,0000175504,13666.58,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2550,Grave Digging and Maintenance,07/03/2013,0000175505,3423.78,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2551,Routine Grounds Maintenance,07/03/2013,0000175506,1040.00,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Contract Variations Highways,07/03/2013,0000175507,2311.80,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Wheeled Bin Delivery/Assembly,21/03/2013,0000175508,711.44,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Bulky Waste Collection,21/03/2013,0000175508,1648.32,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Clinical Waste,21/03/2013,0000175508,888.37,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2554,Wheeled Bin Delivery/Assembly,21/03/2013,0000175508,973.74,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Democratic Services,1322,Operational Equipment,07/03/2013,0000175512,1500.00,Revenue,Ace Office Equipment,00069
Rushmoor Borough Council,Holding Accounts,9404,Service Improvement Fund,14/03/2013,0000175514,930.00,Holding Accounts,Spring Telecommunications,08672
Rushmoor Borough Council,Community,2517,Tree Maintenance,07/03/2013,0000175521,1248.00,Revenue,Cedardale,11645
Rushmoor Borough Council,Financial Services,3401,Temporary Staff,07/03/2013,0000175528,907.06,Revenue,Reed,11780
Rushmoor Borough Council,Financial Services,3401,Temporary Staff,07/03/2013,0000175529,1525.51,Revenue,Reed,11780
Rushmoor Borough Council,Community,2510,Temporary Staff,07/03/2013,0000175539,518.40,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Community,6567,Contract Costs,07/03/2013,0000175540,1818.92,Capital,Sse Contracting,02830
Rushmoor Borough Council,Environmental Health and Housing,2238,NPAS Fees,07/03/2013,0000175547,2496.00,Revenue,Patrol,05572
Rushmoor Borough Council,Community,6538,Contract Costs,07/03/2013,0000175548,51250.00,Capital,The Great Outdoor Gym Company,12439
Rushmoor Borough Council,Planning,2612,Professional Subscriptions,07/03/2013,0000175550,1879.67,Revenue,Labc,00018
Rushmoor Borough Council,Customer Services,3811,Contract Staff,21/03/2013,0000175555,987.50,Revenue,Morgan Hunt Uk Ltd,08445
Rushmoor Borough Council,Democratic Services,1322,General Repairs and Maintenance,07/03/2013,0000175564,4709.41,Revenue,Phs Group Plc,03869
Rushmoor Borough Council,Democratic Services,1322,Canteen Subsidy,07/03/2013,0000175567,3365.24,Revenue,Baxterstorey,01207
Rushmoor Borough Council,Director of Community and Environment Services,6100,Contract Costs,14/03/2013,0000175584,6351.20,Capital,Broxap Ltd,03859
Rushmoor Borough Council,Community,2508,Direct Grants,14/03/2013,0000175589,20100.00,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Environmental Health and Housing,2238,Cinergic,14/03/2013,0000175591,15777.17,Revenue,Wps United Kingdom Ltd,06532
Rushmoor Borough Council,Environmental Health and Housing,6400,Loan Scheme Fund,07/03/2013,0000175593,10000.00,Capital,Parity Trust,10182
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,07/03/2013,0000175602,1750.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Democratic Services,1312,Contract Staff,07/03/2013,0000175606,1320.00,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1206,Commission,14/03/2013,0000175621,1800.00,Revenue,Hollis Hockley Llp,10669
Rushmoor Borough Council,Community,2517,Playground Apparatus,07/03/2013,0000175624,1200.00,Revenue,Groundwork & Leisure Services Ltd,12538
Rushmoor Borough Council,Community,2518,Payment to Artistes,14/03/2013,0000175626,5647.52,Revenue,Warren Productions Ltd,03463
Rushmoor Borough Council,Community,2518,Refreshment Purchases,07/03/2013,0000175627,736.47,Revenue,Tchibo Coffee International Ltd,05547
Rushmoor Borough Council,Democratic Services,1323,Postages,07/03/2013,0000175636,3800.00,Revenue,Neopost Limited,11588
Rushmoor Borough Council,Democratic Services,1325,Photocopiers,14/03/2013,0000175637,897.93,Revenue,Datasharp Independent Solutions,00281
Rushmoor Borough Council,Community,2517,Tree Survey Works,07/03/2013,0000175638,1140.00,Revenue,Sapling Arboriculture Limited,09448
Rushmoor Borough Council,Community,2517,Tree Maintenance,07/03/2013,0000175640,720.00,Revenue,Alderwood Tree Services,01218
Rushmoor Borough Council,Democratic Services,1322,Co-Location Costs,14/03/2013,0000175641,770.35,Revenue,Uk Transform Ltd,11773
Rushmoor Borough Council,Information Technology,7309,Contract Costs,14/03/2013,0000175641,1314.20,Capital,Uk Transform Ltd,11773
Rushmoor Borough Council,Holding Accounts,9404,Service Improvement Fund,14/03/2013,0000175641,2486.40,Holding Accounts,Uk Transform Ltd,11773
Rushmoor Borough Council,Financial Services,3401,Stationery,07/03/2013,0000175651,788.00,Revenue,Smith & Ouzman Ltd,00893
Rushmoor Borough Council,Community,6505,Contract Costs,27/03/2013,0000175654,1887.00,Capital,Hullabaloo Communications Ltd,12514
Rushmoor Borough Council,Community,2502,Fencing and Repairs,07/03/2013,0000175655,1060.30,Revenue,W H Wesson Fencing Ltd,07143
Rushmoor Borough Council,Community,2517,Skate Park Maintenance,14/03/2013,0000175657,2040.00,Revenue,Fearless Ramps Ltd,03066
Rushmoor Borough Council,Community,2517,Skate Park Maintenance,14/03/2013,0000175658,5400.00,Revenue,Fearless Ramps Ltd,03066
Rushmoor Borough Council,Community,2517,Skate Park Maintenance,14/03/2013,0000175659,1610.00,Revenue,Fearless Ramps Ltd,03066
Rushmoor Borough Council,Information Technology,3304,Partnership Support,14/03/2013,0000175662,714.00,Revenue,Service Desk Institute,08980
Rushmoor Borough Council,Information Technology,7309,Contract Costs,14/03/2013,0000175665,2960.00,Capital,Cornucopia It Resourcing Ltd,11553
Rushmoor Borough Council,Control Accounts,9330,Big Lottery Grant Expenditure,21/03/2013,0000175669,1357.00,Control Accounts,Innovation With Substance,11529
Rushmoor Borough Council,Control Accounts,9330,Big Lottery Grant Expenditure,14/03/2013,0000175670,662.50,Control Accounts,Innovation With Substance,11529
Rushmoor Borough Council,Community,2517,Playground Apparatus,14/03/2013,0000175671,1248.00,Revenue,Smp (Playgrounds) Ltd,04499
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,14/03/2013,0000175678,1750.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Planning,2610,Local Plans/Publications,14/03/2013,0000175688,550.00,Revenue,I.W.Payne And Partners,10796
Rushmoor Borough Council,Strategy and Communiations,1413,Economic Development Promotions,14/03/2013,0000175690,5000.00,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Legal,1202,Counsels Fees,14/03/2013,0000175697,2596.50,Revenue,Veale Wasbrough,07980
Rushmoor Borough Council,Community,2550,Grave Digging and Maintenance,14/03/2013,0000175699,2811.04,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Legal,1208,Routine Grounds Maintenance,14/03/2013,0000175701,2529.49,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Legal,1208,Grounds Maintenance Variance,14/03/2013,0000175701,843.28,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Democratic Services,1322,Routine Grounds Maintenance,14/03/2013,0000175701,1139.49,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2537,Grounds Maintenance Base,14/03/2013,0000175701,659.58,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2540,Amenity Base,14/03/2013,0000175701,24303.82,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2540,Amenity Variations,14/03/2013,0000175701,1922.93,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2550,Grounds Maintenance Base,14/03/2013,0000175701,14701.65,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2550,Grounds Variations,14/03/2013,0000175701,564.15,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2551,Grounds Maintenance Base,14/03/2013,0000175701,9007.12,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Prospect Estate Base,14/03/2013,0000175701,2434.00,Revenue,Veolia Environmental Services,09062
