CPS outcomes by principal offence category Essex October 2010,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,2,100.00%,0,0.00%
B Offences Against The Person,256,81.80%,57,18.20%
C Sexual Offences,16,76.20%,5,23.80%
D Burglary,29,85.30%,5,14.70%
E Robbery,15,83.30%,3,16.70%
F Theft And Handling,354,94.10%,22,5.90%
G Fraud And Forgery,40,95.20%,2,4.80%
H Criminal Damage,98,89.10%,12,10.90%
I Drugs Offences,113,94.20%,7,5.80%
J Public Order Offences,182,87.90%,25,12.10%
K All Other Offences (excluding Motoring),78,82.10%,17,17.90%
L Motoring Offences,708,94.40%,42,5.60%
Admin Finalisations,0,0.00%,20,100.00%
TOTAL,"1,891",89.70%,217,10.30%
