Data is Unweighted,,,Q8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,How satisfied are you with each of the following?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do the following statements apply to you and your job?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This sheet contains questions relating to: job satisfaction,,,a) The recognition I get for good work,,,,,,b) The support I get from my immediate manager,,,,,,c) The freedom I have to choose my own method of working,,,,,,d) The support I get from my work colleagues,,,,,,e) The amount of responsibility I am given,,,,,,f) The opportunities I have to use my skills,,,,,,g) The extent to which my organisation values my work,,,,,,h) My level of pay,,,,,,a) I am satisfied with the quality of care I give to patients / service users,,,,,,,b) I feel that my role makes a difference to patients / service users,,,,,,,c) I am able to deliver the patient care I aspire to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,%,,%,%,%,%,%,%,,%,%,%,%,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALL TRUSTS,--,7,18,26,40,9,"100,375",5,11,19,43,23,"100,417",3,8,23,49,17,"100,236",1,5,15,55,24,"100,413",2,7,17,57,17,"100,384",3,9,17,54,16,"100,318",10,20,30,33,8,"100,220",11,25,25,34,5,"100,193",2,6,7,38,34,14,"100,174",1,2,7,41,41,8,"100,196",3,11,12,32,23,19,"99,915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALL ACUTE TRUSTS,--,7,19,26,40,8,"63,568",5,12,19,43,21,"63,593",3,8,25,48,16,"63,472",1,5,16,55,22,"63,618",2,7,17,58,16,"63,594",3,9,17,55,16,"63,541",9,20,30,33,8,"63,482",12,25,25,33,4,"63,460",2,6,7,39,34,12,"63,438",1,1,7,42,41,7,"63,441",3,10,12,32,23,19,"63,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ACUTE (SPECIALIST) TRUSTS,--,6,17,25,42,10,"6,673",5,10,18,44,23,"6,674",3,7,23,49,19,"6,664",2,5,16,55,23,"6,679",2,6,17,58,17,"6,678",3,9,17,55,17,"6,667",8,18,28,37,10,"6,667",11,24,25,35,5,"6,671",1,4,6,38,37,13,"6,681",1,1,7,41,43,8,"6,665",2,8,11,32,25,21,"6,649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS,Alder Hey Children's NHS Foundation Trust,Q31,9,21,31,32,7,383,7,12,21,46,14,383,3,8,29,50,11,384,2,5,17,55,21,382,1,8,17,59,14,384,3,10,17,59,11,384,13,25,29,28,5,383,13,25,24,33,5,384,2,6,7,37,34,14,383,0,1,9,39,43,8,383,3,11,14,30,22,20,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ3,Birmingham Children's Hospital NHS Foundation Trust,Q34,7,18,23,44,8,364,5,12,17,43,22,364,3,7,26,48,15,363,2,5,13,59,21,365,3,8,15,58,16,364,3,9,16,56,16,365,10,20,28,33,8,363,9,22,23,40,6,365,1,6,7,33,38,15,365,1,1,7,39,44,9,364,3,10,13,29,25,21,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLU,Birmingham Women's NHS Foundation Trust,Q34,7,22,25,37,9,397,3,12,18,45,21,397,2,7,21,54,17,399,2,6,18,56,18,397,2,6,19,61,13,398,2,10,18,57,13,398,6,23,28,35,8,397,10,26,25,35,5,399,1,7,7,37,29,20,398,0,1,6,45,35,13,399,2,10,13,30,19,26,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP4,Great Ormond Street Hospital for Children NHS Foundation Trust,Q36,5,16,20,46,14,351,6,9,14,46,25,353,3,7,18,50,23,353,2,5,12,56,25,353,1,6,13,57,23,353,3,9,13,52,24,352,6,14,26,42,13,352,9,25,24,35,6,349,2,5,5,39,38,11,352,1,3,7,37,47,5,351,3,11,6,36,25,19,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBQ,Liverpool Heart and Chest NHS Foundation Trust,Q31,7,15,24,42,12,382,2,9,17,43,29,382,2,7,23,48,21,380,2,6,12,52,27,379,2,5,16,55,22,381,2,7,16,54,21,380,8,14,28,37,13,382,10,25,25,34,7,381,1,3,5,34,47,10,382,0,1,4,35,53,6,382,2,8,7,32,36,16,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REP,Liverpool Women's NHS Foundation Trust,Q31,11,25,26,32,6,396,7,13,22,43,16,395,5,10,32,40,13,395,2,4,15,58,21,395,4,8,21,53,14,397,4,11,16,54,15,396,16,26,27,24,6,396,15,27,25,30,3,395,3,8,10,45,28,8,396,1,3,9,46,37,5,396,6,13,18,33,18,12,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP6,Moorfields Eye Hospital NHS Foundation Trust,Q36,7,11,26,42,14,308,5,8,18,46,24,308,3,2,22,54,19,306,2,6,16,57,19,305,3,7,17,56,17,307,3,7,19,55,16,307,7,12,27,41,12,307,16,21,24,34,6,306,1,1,5,35,41,17,308,1,1,6,35,45,11,307,2,2,8,34,33,22,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGM,Papworth Hospital NHS Foundation Trust,Q35,5,14,26,48,8,406,3,10,18,47,21,406,4,7,26,47,16,404,0,4,17,58,21,406,0,7,17,59,16,405,2,9,15,58,15,407,5,13,26,45,10,403,7,25,27,35,6,406,0,4,7,36,40,13,406,0,1,7,42,41,8,407,1,7,10,32,26,23,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPC,Queen Victoria Hospital NHS Foundation Trust,Q37,4,14,25,43,13,360,3,11,19,42,26,359,1,5,22,49,23,362,2,5,15,52,26,361,1,6,15,58,20,360,1,7,18,54,20,361,4,14,29,39,13,361,14,26,25,30,4,359,2,2,5,38,43,10,362,1,1,5,41,44,7,359,3,6,8,36,30,18,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT3,Royal Brompton and Harefield NHS Foundation Trust,Q36,6,16,22,46,10,355,6,9,17,45,23,354,3,7,19,49,22,352,2,7,17,54,21,355,2,6,11,61,20,355,3,7,16,56,19,351,7,12,27,41,12,353,12,22,28,34,3,353,1,2,2,38,44,13,351,1,2,4,39,46,9,351,1,5,8,32,31,22,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
