Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,91,88.3,242,235.4,771,749.6,516,503,78,75.2,0,0,"1,698","1,652",2,2,2,2,38,38,4,4,46,46,"1,744","1,698","œ4,205,491.63","œ102,039","-œ14,626.00","œ11,003.39","œ857,715.20","œ371,463.45","œ5,533,086.33","œ204,247.00","œ6,141.00","œ210,388.00","œ5,743,474.33",
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,230,207.5,132,120.6,103,99.7,320,267.8,7,7,0,0,792,703,8,7,0,0,0,0,0,0,8,7,800,710,"œ2,147,964.96",œ709.74,œ0.00,"œ7,272.25","œ429,407.50","œ198,274.29","œ2,783,628.74","œ28,505.98",,"œ28,505.98","œ2,812,134.72",
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,7,7,12,12,21,21,3,3,1,1,0,0,44,44,2,2,0,0,0,0,2,2,4,4,48,48,"œ123,600.31",œ201.75,œ0.00,"œ6,497.43","œ21,958.56","œ11,203.41","œ163,461.46","œ4,039.50","œ8,175.00","œ12,214.50","œ175,675.96",
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,123,116.22,211,205.88,270,264.86,38,37.8,51,50.88,196,191.52,889,867,6,6,0,0,5,5,0,0,11,11,900,878,"œ3,075,620.85","œ107,192.01",œ0.00,"œ4,645.07","œ611,937.12","œ301,603.84","œ4,100,998.89","œ33,803.00",œ0.00,"œ33,803.00","œ4,134,801.89",
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0,0,0,0,0,0,0,0,0,47,46.3,47,46,3,3,0,0,0,0,0,0,3,3,50,49,"œ168,060.83",œ510.79,œ0.00,œ0.00,"œ29,711.67","œ16,361.03","œ214,644.32","œ8,798.12",œ0.00,"œ8,798.12","œ223,442.44",
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,2.4,1,1,18,17,0,0,1,1,0,0,23,21,0,0,0,0,0,0,0,0,0,0,23,21,"œ64,305.00",œ0.00,œ0.00,œ0.00,"œ5,909.00","œ6,812.00","œ77,026.00",œ0.00,œ0.00,œ0.00,"œ77,026.00",
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,29,28.046,45,43.655,13,12.736,2,2,1,1,0,0,90,87,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,0,0,0,0,90,87,"œ232,340.00","œ4,755.00",œ0.00,œ0.00,"œ50,567.00","œ19,279.00","œ306,941.00",œ0.00,œ0.00,œ0.00,"œ306,941.00",
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,6,5.41,7,6.47,7,6.7,2,2,3,3,9,1.5,34,25,0,0,0,0,0,0,1,0.8,1,0.8,35,26,"œ119,186.08","œ4,635.00",œ0.00,œ0.00,"œ9,032.14","œ12,563.26","œ145,416.48",œ0.00,"œ6,334.00","œ6,334.00","œ151,750.48",
