£25K Expenditure M4,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dept Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Invoice Num,Amount Paid,Invoice,Recalimable VAT
CA - PREPAYMENTS,CA - SOFP,17-Jul-15,DRUGS,CA - PREPAYMENTS NON PFI,AAH PHARMACEUTICALS LTD,APRIL 2015 PIA,"277,399.72","277,399.72",
CA - PREPAYMENTS,CA - SOFP,17-Jul-15,DRUGS,CA - PREPAYMENTS NON PFI,AAH PHARMACEUTICALS LTD,Jun-15,"125,000.00","125,000.00",
THEATRES,ELECTIVE SERVICES,17-Jul-15,MED SURG EQPT HIRE,HARTSHEAD THEATRES,B BRAUN MEDICAL LTD,391248342,"37,501.50","31,251.25","6,250.25"
THEATRES,ELECTIVE SERVICES,29-Jul-15,MED SURG EQPT HIRE,HARTSHEAD THEATRES,B BRAUN MEDICAL LTD,391295551,"37,501.50","31,251.25","6,250.25"
THEATRES,ELECTIVE SERVICES,29-Jul-15,MED SURG EQPT HIRE,HARTSHEAD THEATRES,B BRAUN MEDICAL LTD,391341753,"38,548.69","32,123.91","38,548.69"
FACILITIES,ESTATES & FACILITIES,01-Jul-15,EXTERNAL CONTRACTS : LAUNDRY,HOTEL SERVICES,BERENDSEN UK LIMITED,SN002119380,"46,573.56","38,811.30","7,762.26"
INFORMATION,CORPORATE,20-Jul-15,NON HEALTHCARE SERVICES FROM OTHER NHS BODIES,INFORMATION,CARE QUALITY COMMISSION,41925730,"78,208.00","78,208.00",
NCA - PREPAYMENTS,NCA - SOFP,29-Jul-15,PFI LIFECYCLE COSTS PROVISION > ONE YEAR,NCA - PREPAYMENTS PFI,CONSORT HEALTHCARE (TAMESIDE) PLC,510178,741.57,,
NCA - PREPAYMENTS,NCA - SOFP,29-Jul-15,PFI LIFECYCLE COSTS PROVISION > ONE YEAR,NCA - PREPAYMENTS PFI,CONSORT HEALTHCARE (TAMESIDE) PLC,,"56,275.75",,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,OTHER DEBTORS < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,542.36,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,OTHER DEBTORS < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,"197,571.20",,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,0.35,,
NCL - OTHER FINANCIAL LIABILITIES,NCL - SOFP,29-Jul-15,OBLIGATIONS UNDER PFI/LIFT > ONE YEAR,NCL - PFI LEASES,CONSORT HEALTHCARE (TAMESIDE) PLC,,"103,953.11",,
NURSING,CORPORATE,29-Jul-15,CONTRACT : OTHER EXTERNAL,NURSING,CONSORT HEALTHCARE (TAMESIDE) PLC,,11.15,,
RADIOGRAPHY,EMERGENCY SERVICES,29-Jul-15,CONTRACT : OTHER EXTERNAL,RADIOGRAPHY,CONSORT HEALTHCARE (TAMESIDE) PLC,,10.3,,
RADIOGRAPHY,EMERGENCY SERVICES,29-Jul-15,CONTRACT : OTHER EXTERNAL,RADIOGRAPHY,CONSORT HEALTHCARE (TAMESIDE) PLC,,18.46,,
PHARMACY,EMERGENCY SERVICES,29-Jul-15,CONTRACT : OTHER EXTERNAL,PHARMACY,CONSORT HEALTHCARE (TAMESIDE) PLC,,10.47,,
PAEDIATRICS,ELECTIVE SERVICES,29-Jul-15,CONTRACT : OTHER EXTERNAL,PAEDIATRIC SERVICES,CONSORT HEALTHCARE (TAMESIDE) PLC,,3.82,,
SURGERY,ELECTIVE SERVICES,29-Jul-15,CONTRACT : OTHER EXTERNAL,GENERAL SURGERY - WARDS,CONSORT HEALTHCARE (TAMESIDE) PLC,,60.84,,
SURGERY,ELECTIVE SERVICES,29-Jul-15,CONTRACT : OTHER EXTERNAL,ELECTIVE - OUTPATIENTS,CONSORT HEALTHCARE (TAMESIDE) PLC,,2.08,,
THEATRES,ELECTIVE SERVICES,29-Jul-15,CONTRACT : OTHER EXTERNAL,HARTSHEAD THEATRES,CONSORT HEALTHCARE (TAMESIDE) PLC,,4.34,,
THEATRES,ELECTIVE SERVICES,29-Jul-15,CONTRACT : OTHER EXTERNAL,DSEU,CONSORT HEALTHCARE (TAMESIDE) PLC,,2.68,,
THEATRES,ELECTIVE SERVICES,29-Jul-15,CONTRACT : OTHER EXTERNAL,DSEU,CONSORT HEALTHCARE (TAMESIDE) PLC,,34.71,,
INFORMATION,CORPORATE,29-Jul-15,CONTRACT : OTHER EXTERNAL,IT,CONSORT HEALTHCARE (TAMESIDE) PLC,,3.1,,
FACILITIES,ESTATES & FACILITIES,29-Jul-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,CONSORT HEALTHCARE (TAMESIDE) PLC,,1.74,,
FACILITIES,ESTATES & FACILITIES,29-Jul-15,CONTRACT : OTHER EXTERNAL,HOTEL SERVICES,CONSORT HEALTHCARE (TAMESIDE) PLC,,1.8,,
PFI & HIT,PFI,29-Jul-15,PFI CONTINGENT RENT NHSFT,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,,"65,144.10",,
PFI & HIT,PFI,29-Jul-15,INTEREST EXPENSE ON PFI FINANCE LEASE NHSFT,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,,"201,518.82",,
PFI & HIT,PFI,29-Jul-15,GAS,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,,"7,281.95",,
PFI & HIT,PFI,29-Jul-15,ELECTRICITY,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,,"26,066.04",,
PFI & HIT,PFI,29-Jul-15,CONTRACT : OTHER EXTERNAL,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,,"273,588.20",,
PFI & HIT,PFI,29-Jul-15,CONTRACT : OTHER EXTERNAL,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,,140.58,,
PFI & HIT,PFI,29-Jul-15,CONTRACT : OTHER EXTERNAL,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,,63.26,,
PFI & HIT,PFI,29-Jul-15,CONTRACT : OTHER EXTERNAL,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,,-9.48,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,0.36,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,0.54,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,3.69,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,-1.9,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,"39,514.24",,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,"54,717.65",,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,"40,303.76",,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,"13,028.82",,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,"11,255.15",,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,"20,790.62",,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,108.47,,
CA - OTHER RECEIVABLES,CA - SOFP,29-Jul-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,,148.31,,
