Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,28/02/2015,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SH1001215,"£40,107.12",CHC VARIOUS 01/01/15 - 31/01/15,
Department of Health,03F,28/02/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010004417,"£2,242,182.20",MENTAL HEALTH BASELINE BLOCK CONTRACT 2014/15 FEBUARY 2015,
Department of Health,03F,28/02/2015,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010004418,"£90,032.50",BLOCK CONTRACT 2014/15 FEBRUARY 2015,
Department of Health,03F,28/02/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,HUMBER NHS FOUNDATION TRUST,1010004420,"£463,250.32",THERAPY SERVICES BLOCK CONTRACT FEBRUARY 2015,
Department of Health,03F,28/02/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010004437,"£182,666.67",BLOCK CONTRACT 2014/15 APRIL 14 - JAN 15,
Department of Health,03F,28/02/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210014111,"£14,094,283.00",14/15 BLOCK CONTRACT FEBRUARY 2015,
Department of Health,03F,28/02/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LEEDS TEACHING HOSPITALS NHS TRUST,1410008629,"£80,046.00",MONTHLY INVOICE FEBUARY 2015,
Department of Health,03F,28/02/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810007798,"£789,996.72",A&E BLOCK CONTRACT FEBRUARY 2015,
Department of Health,03F,28/02/2015,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810007870,"£53,990.00",111 CONTRACT FEB 2015,
Department of Health,03F,28/02/2015,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810007898,"£118,422.33",PTS CONTRACT FEB 2015,
Department of Health,03F,28/02/2015,Charges from CSU,FINANCE,NHS YORKSHIRE AND HUMBER CS,7312400657,"£236,587.00",COMMISSIONING SUPPORT SLA FEBRUARY 2015,
Department of Health,03F,28/02/2015,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS YORKSHIRE AND HUMBER CS,7312400659,"£47,988.00",SLA PROGRAMME FEBUARY 2015,
Department of Health,03F,28/02/2015,Charges from CSU,PROGRAMME PROJECTS,NHS YORKSHIRE AND HUMBER CS,7312400666,"£52,233.00",GP IT SLA FEBRUARY 2015,
Department of Health,03F,28/02/2015,Hcare Srv Rec NHS Trust-Prior Year,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,9501,"-£25,214.00",CREDIT NOTE IN RESPECT OF A&E CQUINS Q4 13/14,
Department of Health,03F,28/02/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03F010215PFHUL,"£419,093.00",PERIOD OF SERVICE FEBUARY 2015 SPIRE HULL HOSPITAL,
Department of Health,03F,28/02/2015,Clinical&Medical-Othe Public Sector,CARERS,HULL CITY COUNCIL,1000204782,"£33,421.67",CARERS SUPPORT SERVICE AS PROVIDED CHCP FEBRUARY 2015,
Department of Health,03F,28/02/2015,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,1081HC12,"£31,230.62",PROVISION OF INTERPRETING SERVICES JANUARY,
Department of Health,03F,28/02/2015,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,1207HC13,"£37,684.80",PROVISION OF INTERPRETING SERVICES FEBRUARY,
Department of Health,03F,28/02/2015,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,1443,"£75,781.05",JANUARY CARE FEES,
Department of Health,03F,28/02/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800091134,"£128,302.13",EQUIPMENT PURCHASES 27/12/14 -  23/01/15,
Department of Health,03F,28/02/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800091138,"£67,141.45",EQUIPMENT COSTS JAN 15,
Department of Health,03F,28/02/2015,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,EAST RIDING OF YORKSHIRE COUNCIL,34823642,"£246,515.10",CHC RECHARGES 25/08/14 - 19/10/14,
Department of Health,03F,28/02/2015,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410003979,"£38,842.38",INVOICE TO CANCEL CREDIT 457 AS RAISED FOR INCORRECT AMOUNT,
Department of Health,03F,28/02/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410006007,"£63,335.00",CONTRACTUAL INCOME CQUIN QTR 1 14/15,
Department of Health,03F,28/02/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410006387,"£47,766.00",FEBRUARY CONTRACTUAL INCOME RECURRENT VARIATION 3 TO 6,
Department of Health,03F,28/02/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410006388,"£1,945,636.00",FEBRUARY CONTRACTUAL INCOME RECURRENT STANDARD CONTRACT,
Department of Health,03F,28/02/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410006391,"£46,608.00",FEBRUARY CONTRACTUAL INCOME NON RECURRENT STANDARD CONTRACT,
Department of Health,03F,28/02/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410006392,"£46,124.00",FEBRUARY CONTRACTUAL INCOME COMMUNITY PAEDIATRICS,
Department of Health,03F,28/02/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410006562,"£32,712.46",RENT AND SERVICE CHARGES FOR QTR 3 14/15 WESTBOURNE HC,
