Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Environmental Health and Housing,2211,Software Maintenance,07/04/2016,0000198886,1020.00,Revenue,Idox Software Ltd,00661
Rushmoor Borough Council,Information Technology,7500,Cash Receipting Upgrade,28/04/2016,0000199009,2000.00,Capital,Bottomline Technologies,05191
Rushmoor Borough Council,Community,2507,General Repairs and Maintenance,14/04/2016,0000199385,1078.70,Revenue,Crowthorne Heating Co Ltd,10551
Rushmoor Borough Council,Democratic Services,1327,Postages,14/04/2016,0000199455,10169.83,Revenue,Royal Mail,00821
Rushmoor Borough Council,Community,2537,Lighting Repairs,07/04/2016,0000199479,334.00,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Legal,1210,Contract Staff,07/04/2016,0000199504,683.76,Revenue,Hays,02287
Rushmoor Borough Council,Community,2518,Refreshment Purchases,07/04/2016,0000199505,317.54,Revenue,Bentons,12526
Rushmoor Borough Council,Customer Services,3811,Software Maintenance,21/04/2016,0000199515,2500.00,Revenue,Northgate Public Services (Uk) Ltd,09422
Rushmoor Borough Council,Community,2518,Refreshment Purchases,07/04/2016,0000199521,544.26,Revenue,Tchibo Coffee International Ltd,05547
Rushmoor Borough Council,Community,2506,General Repairs and Maintenance,14/04/2016,0000199549,315.00,Revenue,Sse Enterprise Contracting,02830
Rushmoor Borough Council,Legal,1208,Security Alarm,14/04/2016,0000199554,4180.00,Revenue,Secure Site (Uk) Ltd,14068
Rushmoor Borough Council,Legal,1202,Temporary Staff,07/04/2016,0000199562,1284.29,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1210,Contract Staff,07/04/2016,0000199582,486.00,Revenue,Hays,02287
Rushmoor Borough Council,Information Technology,7500,IT Server Virtualisation Work,07/04/2016,0000199584,400.00,Capital,Austin Fraser,09925
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,07/04/2016,0000199584,400.00,Holding Accounts,Austin Fraser,09925
Rushmoor Borough Council,Democratic Services,1310,Conferences and Seminars,07/04/2016,0000199589,800.00,Revenue,Idea,14070
Rushmoor Borough Council,Legal,1208,Building Maintenance,07/04/2016,0000199590,1650.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Legal,1202,Counsels Fees,07/04/2016,0000199591,825.00,Revenue,Mr Scott Stemp,13867
Rushmoor Borough Council,Legal,1212,Electricity,07/04/2016,0000199592,650.16,Revenue,British Gas Trading Ltd,01703
Rushmoor Borough Council,Community,2517,Electricity,07/04/2016,0000199592,1170.38,Revenue,British Gas Trading Ltd,01703
Rushmoor Borough Council,Community,2518,Electricity,07/04/2016,0000199592,2575.92,Revenue,British Gas Trading Ltd,01703
Rushmoor Borough Council,Community,2537,Electricity,07/04/2016,0000199592,648.01,Revenue,British Gas Trading Ltd,01703
Rushmoor Borough Council,Community,2551,Electricity,07/04/2016,0000199592,904.85,Revenue,British Gas Trading Ltd,01703
Rushmoor Borough Council,Information Technology,3307,Mobile Phones,07/04/2016,0000199595,521.68,Revenue,Vodafone Limited,08864
Rushmoor Borough Council,Community,2537,Road Markings,21/04/2016,0000199597,575.00,Revenue,Bellstan Ltd,04489
Rushmoor Borough Council,Community,6573,Contract Costs,21/04/2016,0000199622,2602.10,Capital,Wyg Environment Planning Transport Ltd,11470
Rushmoor Borough Council,Community,2538,Temporary Staff,07/04/2016,0000199626,340.20,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Democratic Services,1327,Postages,07/04/2016,0000199629,1610.63,Revenue,Royal Mail,00821
Rushmoor Borough Council,Community,2537,Lift Maintenance,07/04/2016,0000199633,745.74,Revenue,Temple Lifts Limited,12997
Rushmoor Borough Council,Financial Services,3401,Conferences and Seminars,07/04/2016,0000199639,300.00,Revenue,Lavat Consultancy Ltd,08576
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,07/04/2016,0000199642,1415.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Environmental Health and Housing,6242,Contract Costs,21/04/2016,0000199644,2900.00,Capital,P A Gibbs Ltd,01246
Rushmoor Borough Council,Legal,1210,Asbestos Monitoring,07/04/2016,0000199645,450.00,Revenue,Amstech Inspections And Testing Ltd,13343
Rushmoor Borough Council,Legal,1210,Asbestos Monitoring,07/04/2016,0000199646,280.00,Revenue,Amstech Inspections And Testing Ltd,13343
Rushmoor Borough Council,Legal,1210,Asbestos Monitoring,07/04/2016,0000199647,280.00,Revenue,Amstech Inspections And Testing Ltd,13343
Rushmoor Borough Council,Community,2556,Specialist Cleaning,07/04/2016,0000199649,605.00,Revenue,Community Clean,10817
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,07/04/2016,0000199650,2245.67,Revenue,Airport Lodge,10121
Rushmoor Borough Council,Planning,2604,Publicity and Advertising,07/04/2016,0000199654,301.90,Revenue,Hampshire Media Ltd,12446
Rushmoor Borough Council,Community,2560,General Repairs and Maintenance,07/04/2016,0000199657,12000.00,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Legal,1208,Security Alarm,07/04/2016,0000199659,552.36,Revenue,Orbis Protect Ltd,06771
Rushmoor Borough Council,Democratic Services,1313,LGA SE Employers Levy,21/04/2016,0000199660,4697.53,Revenue,South East Employers,00906
Rushmoor Borough Council,Information Technology,3300,External Support For Systems,07/04/2016,0000199663,500.00,Revenue,Northgate Public Services (Uk) Ltd,09422
Rushmoor Borough Council,Democratic Services,1327,Security Services,07/04/2016,0000199670,546.98,Revenue,Contract Security Services Ltd,00014
Rushmoor Borough Council,Community,2537,Security Services,14/04/2016,0000199671,2228.52,Revenue,Contract Security Services Ltd,00014
Rushmoor Borough Council,Community,6573,Contract Costs,07/04/2016,0000199672,1570.00,Capital,Road Data Services Ltd,14071
Rushmoor Borough Council,Financial Services,3401,Temporary Staff,07/04/2016,0000199673,2010.00,Revenue,Michael Page International Recruitment,12354
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,07/04/2016,0000199674,881.77,Revenue,Adt Fire And Security Plc,03782
Rushmoor Borough Council,Democratic Services,1303,Operational Equipment,14/04/2016,0000199678,400.00,Revenue,Twofold Limited,13140
Rushmoor Borough Council,Planning,2608,Temporary Staff,07/04/2016,0000199683,1844.50,Revenue,The Oyster Partnership Limited,13970
Rushmoor Borough Council,Customer Services,3805,External Printing,14/04/2016,0000199685,15176.76,Revenue,Cgl,14045
Rushmoor Borough Council,Information Technology,3306,Photocopiers,07/04/2016,0000199686,1059.58,Revenue,Konica Minolta Business Solutions(Uk)Ltd,09612
Rushmoor Borough Council,Customer Services,3811,External Audit Fee,21/04/2016,0000199688,2055.00,Revenue,Ernst And Young Llp,01838
Rushmoor Borough Council,Democratic Services,1304,Hire of Transport,14/04/2016,0000199690,274.00,Revenue,Exclusive Cars (Guildford) Ltd,00353
