Table 6 - Total Identifiable Expenditure on Services by Country and Region 2006-07 to 2010-11,,,,,
,,,,,
,"2006-07
outturn ","2007-08
outturn ","2008-09
outturn ","2009-10
outturn ","2010-11
outturn "
,£m ,£m ,£m ,£m ,£m 
North East , 274 , 208 , 251 , 275 , 265 
North West , 496 , 429 , 506 , 516 , 462 
Yorkshire and the Humber , 531 , 407 , 506 , 588 , 534 
East Midlands , 609 , 426 , 564 , 624 , 631 
West Midlands , 484 , 372 , 461 , 485 , 455 
East , 706 , 598 , 756 , 938 , 866 
London , 136 , 128 , 142 , 139 , 109 
South East , 638 , 567 , 959 , 705 , 598 
South West , 848 , 662 , 876 , 869 , 796 
Total England ," 4,722 "," 3,797 "," 5,021 "," 5,139 "," 4,716 "
Scotland , 2 , 2 , 2 , 2 , 8 
Wales , 1 , 1 , 1 , 1 , 5 
Northern Ireland , - , - , - , - , - 
UK identifiable expenditure ," 4,725 "," 3,800 "," 5,024 "," 5,142 "," 4,729 "
Outside UK , 2 , 4 , 5 , 3 , 6 
Total identifiable expenditure ," 4,727 "," 3,804 "," 5,029 "," 5,145 "," 4,735 "
Non-identifiable expenditure , - , 2 , 2 , 3 , 4 
Total expenditure on services ," 4,727 "," 3,806 "," 5,031 "," 5,148 "," 4,739 "
