CPS outcomes by principal offence category bedfordshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,79,72.5%,30,27.5%
C Sexual Offences,11,78.6%,3,21.4%
D Burglary,26,92.9%,2,7.1%
E Robbery,16,84.2%,3,15.8%
F Theft And Handling,136,93.8%,9,6.2%
G Fraud And Forgery,15,100.0%,0,0.0%
H Criminal Damage,25,69.4%,11,30.6%
I Drugs Offences,35,97.2%,1,2.8%
J Public Order Offences,41,91.1%,4,8.9%
K All Other Offences (excluding Motoring),53,84.1%,10,15.9%
L Motoring Offences,289,95.1%,15,4.9%
Admin Finalisations,0,0.0%,10,100.0%
TOTAL,726,88.1%,98,11.9%
