Department Family ,Entity, Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Distribution Line Number
DCMS,ODA,01-Jul-2011,Designers,BMX Construction,EliteTrax Inc,58678,65634.00,1
DCMS,ODA,01-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,EliteTrax Inc,58678,13126.80,2
DCMS,ODA,01-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,EliteTrax Inc,58678,-13126.80,3
DCMS,ODA,01-Jul-2011,Tier 1 Contractors,TU WC- Thames Water,Thames Water Utilities Ltd,59185,62353.52,1
DCMS,ODA,04-Jul-2011,Project Manager,Lea Valley Bi-directional Signalling Platform Extensions,Network Rail Infrastructure,55472,242000.00,1
DCMS,ODA,04-Jul-2011,Consultants,F10 Bridge,Ove Arup & Partners Limited,57581,26301.77,1
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,57581,5260.35,2
DCMS,ODA,04-Jul-2011,Delivery Partner Performance Payments,Delivery Partner Performance Payments,CLM Delivery Partner Ltd,58058,56025.00,1
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,58058,11205.00,2
DCMS,ODA,04-Jul-2011,Delivery Partner Performance Payments,Delivery Partner Performance Payments,CLM Delivery Partner Ltd,58059,51716.00,1
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,58059,10343.20,2
DCMS,ODA,04-Jul-2011,Delivery Partner Performance Payments,Delivery Partner Performance Payments,CLM Delivery Partner Ltd,58184,63642.00,1
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,58184,12728.40,2
DCMS,ODA,04-Jul-2011,Delivery Partner Performance Payments,Delivery Partner Performance Payments,CLM Delivery Partner Ltd,58185,215483.00,1
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,58185,43096.60,2
DCMS,ODA,04-Jul-2011,Delivery Partner Performance Payments,Delivery Partner Performance Payments,CLM Delivery Partner Ltd,58186,323224.00,1
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,58186,64644.80,2
DCMS,ODA,04-Jul-2011,Taxation Advice,Finance,Grant Thornton UK LLP,58282,35862.35,1
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Grant Thornton UK LLP,58282,7172.47,2
DCMS,ODA,04-Jul-2011,Project administration,Eton College & DLT Costs,Dorney Lake Services Ltd,58389,77084.00,1
DCMS,ODA,04-Jul-2011,Designers,Inside Out Phase 2,UP Project Ltd,58412,47500.00,1
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,UP Project Ltd,58412,9500.00,2
DCMS,ODA,04-Jul-2011,Consultants,South Park Project Supervisor - Atkins,Atkins Limited,58453,36951.18,1
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atkins Limited,58453,7390.24,2
DCMS,ODA,04-Jul-2011,Consultants,"Work In Connection With ArcelorMittal ""Orbit"" - LDA Hargreaves",LDA Design Consulting LLP,58454,38143.51,1
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,LDA Design Consulting LLP,58454,7628.70,2
DCMS,ODA,04-Jul-2011,Consultants,Olympic Village Sales and Marketing,Ernst & Young LLP,58468,22402.00,1
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ernst & Young LLP,58468,4480.40,2
DCMS,ODA,04-Jul-2011,Consultants,Risk & Audit,Ernst & Young LLP,58473,62451.00,1
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ernst & Young LLP,58473,12490.20,2
DCMS,ODA,04-Jul-2011,Delivery partner - Transport,Cycling & Walking Capex,Sustrans,58572,152000.00,1
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Sustrans,58572,30400.00,2
DCMS,ODA,04-Jul-2011,Framework consultancy,Commercial Close-out Costs,Turner & Townsend Ltd,58612,25678.87,1
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Turner & Townsend Ltd,58612,5135.77,2
DCMS,ODA,04-Jul-2011,Legal - Other,ODA Sales and Marketing Costs,Berwin Leighton Paisner LLP,58635,80.00,1
DCMS,ODA,04-Jul-2011,Legal - Other,ODA Sales and Marketing Costs,Berwin Leighton Paisner LLP,58635,265171.37,2
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Berwin Leighton Paisner LLP,58635,53034.27,4
DCMS,ODA,04-Jul-2011,Other Professional Fees,Travel Demand Management,M&C SAATCHI (UK) Limited,58681,25695.00,1
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,M&C SAATCHI (UK) Limited,58681,5139.00,2
DCMS,ODA,04-Jul-2011,Grant Payable,Europa Gymnastics,London Borough of Bexley,58755,313043.25,1
DCMS,ODA,04-Jul-2011,Tier 1 Contractors,IB BSC -  E&HCT,E and HCT Ltd,58900,231635.00,1
DCMS,ODA,04-Jul-2011,Tier 1 Contractors,IB BSC -  E&HCT,E and HCT Ltd,58900,12457.00,2
DCMS,ODA,04-Jul-2011,Site security,Water Polo Guarding,G4S Security Services (UK) Limited,58903,14661.46,1
DCMS,ODA,04-Jul-2011,Site security,Security Transfers,G4S Security Services (UK) Limited,58903,14489.65,2
DCMS,ODA,04-Jul-2011,Site security,Guarding - G4S,G4S Security Services (UK) Limited,58903,1847599.00,3
DCMS,ODA,04-Jul-2011,Site security,Village Access Control Costs,G4S Security Services (UK) Limited,58903,25250.21,4
DCMS,ODA,04-Jul-2011,Site security,Non-Potable Network - Construction,G4S Security Services (UK) Limited,58903,6686.33,5
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,G4S Security Services (UK) Limited,58903,381737.39,6
DCMS,ODA,04-Jul-2011,Site security,Water Polo Guarding,G4S Security Services (UK) Limited,58903,-14661.46,7
DCMS,ODA,04-Jul-2011,Site security,Water Polo Guarding,G4S Security Services (UK) Limited,58903,14661.17,8
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,G4S Security Services (UK) Limited,58903,-0.06,9
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,G4S Security Services (UK) Limited,58903,0.06,10
DCMS,ODA,04-Jul-2011,Site security,Water Polo Guarding,G4S Security Services (UK) Limited,58903,0.58,11
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,G4S Security Services (UK) Limited,58903,0.12,12
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,G4S Security Services (UK) Limited,58903,-0.12,13
DCMS,ODA,04-Jul-2011,Site security,Water Polo Guarding,G4S Security Services (UK) Limited,58903,-0.58,14
DCMS,ODA,04-Jul-2011,Site security,Water Polo Guarding,G4S Security Services (UK) Limited,58903,0.58,15
DCMS,ODA,04-Jul-2011,Site security,Hostile Vehicle Mitigation for Games (HVM),Tata Steel UK Rail Consultancy Ltd,58904,108000.27,1
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Tata Steel UK Rail Consultancy Ltd,58904,21600.05,2
DCMS,ODA,04-Jul-2011,Other Professional Fees,Staffing and General Management Opex,Steer Davies & Gleave Limited,59071,24990.00,1
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Steer Davies & Gleave Limited,59071,4998.03,2
DCMS,ODA,04-Jul-2011,Construction contractor,BAM Nuttall Prelims North Park,BAM Nuttall Ltd,59117,2801641.00,1
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,BAM Nuttall Ltd,59117,560328.20,2
DCMS,ODA,04-Jul-2011,Grant Payable,Games Time Training Venues,Old Loughtonians Hockey Club,59187,28130.00,1
DCMS,ODA,04-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Old Loughtonians Hockey Club,59187,5626.00,2
DCMS,ODA,05-Jul-2011,Construction contractor,Handball,Buckingham Group Contracting Ltd,59235,83559.55,1
DCMS,ODA,05-Jul-2011,Construction contractor,Handball,Buckingham Group Contracting Ltd,59235,265565.00,2
DCMS,ODA,05-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Buckingham Group Contracting Ltd,59235,69824.91,3
DCMS,ODA,07-Jul-2011,Tier 1 Contractors,LDA Costs,BAM Nuttall Ltd,59236,489474.00,1
DCMS,ODA,07-Jul-2011,Tier 1 Contractors,LDA Costs,BAM Nuttall Ltd,59236,3233506.00,2
DCMS,ODA,07-Jul-2011,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,BAM Nuttall Ltd,59236,744596.00,3
DCMS,ODA,11-Jul-2011,Construction contractor,RAB Construction,John Sisk & Son (Holdings) Ltd,2141,-1175118.60,1
