 ,Entity, Transaction Date, Expense Type, Expense Area, Supplier Name,Transaction Number, Amount, Invoice Description
DFID,DFID,01/03/2014,Furniture & Fittings ,East and Central Africa ,Recipient name withheld ,101628-101 ,"£4,900.00",
DFID,DFID,01/03/2014,Hotels - Accommodation only ,East and Central Africa ,Recipient name withheld ,202594-101 ,£873.00,
DFID,DFID,01/03/2014,Hotels - Accommodation only ,East and Central Africa ,Recipient name withheld ,202594-101 ,"£1,774.43",
DFID,DFID,02/03/2014,Air fares ,Western Asia and Stabilisation Division ,Recipient name withheld ,101601-110 ,"£1,447.39",
DFID,DFID,02/03/2014,Travel - Subsistence ,Asia  Caribbean and Overseas Territories ,Recipient name withheld ,101603-101 ,£923.00,
DFID,DFID,02/03/2014,Hotels - Accommodation only ,Middle East & North Africa Division (MENAD) ,Recipient name withheld ,201705-101 ,£777.00,
DFID,DFID,02/03/2014,Hotels - Accommodation only ,East and Central Africa ,Recipient name withheld ,202594-101 ,£680.00,
DFID,DFID,02/03/2014,Hotels - Accommodation only ,East and Central Africa ,Recipient name withheld ,202594-101 ,"£1,845.70",
DFID,DFID,02/03/2014,Hotels - Accommodation only ,Asia  Caribbean and Overseas Territories ,Recipient name withheld ,204468-102 ,£842.70,
DFID,DFID,03/03/2014,Contract & Agency Staff ,International Finance Division ,Hays Specialist Recruitment Ltd ,100120-101 ,"£1,925.52",
DFID,DFID,03/03/2014,Training Providers/Facilitation Services ,Internal Audit ,BHBi CONSULTANCY LTD ,100121-101 ,£929.00,
DFID,DFID,03/03/2014,Data Network - land lines ,Business Solutions Division Level ,BT BACS PAYMENTS ,200002-130 ,"£8,758.86",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Policy Division ,KPMG Development Services ,100045-101 ,"£10,486.68",
DFID,DFID,03/03/2014,Training - Course Fees ,Human Resources ,HM REVENUE AND CUSTOMS,100269-155 ,"£5,000.00",
DFID,DFID,03/03/2014,Training - Course Fees ,Human Resources ,HM REVENUE AND CUSTOMS,100269-155 ,"£5,000.00",
DFID,DFID,03/03/2014,Air fares ,Research and Evidence Division ,Recipient name withheld ,202348-104 ,£980.66,
DFID,DFID,03/03/2014,Storage & Distribution costs ,West and Southern Africa ,Conote Services Ltd ,101622-105 ,£838.79,
DFID,DFID,03/03/2014,Storage & Distribution costs ,West and Southern Africa ,Conote Services Ltd ,101622-105 ,£838.79,
DFID,DFID,03/03/2014,Storage & Distribution costs ,West and Southern Africa ,Conote Services Ltd ,101622-105 ,£838.79,
DFID,DFID,03/03/2014,Storage & Distribution costs ,West and Southern Africa ,Conote Services Ltd ,101622-105 ,£838.79,
DFID,DFID,03/03/2014,Storage & Distribution costs ,West and Southern Africa ,PICKFORDS LTD ,101622-106 ,"£4,441.25",
DFID,DFID,03/03/2014,Generators & spares ,West and Southern Africa ,Abrahim A H Daklalah ($) ,101629-101 ,£597.01,
DFID,DFID,03/03/2014,Generators & spares ,West and Southern Africa ,Abrahim A H Daklalah ($) ,101629-101 ,£597.01,
DFID,DFID,03/03/2014,Generators & spares ,West and Southern Africa ,Abrahim A H Daklalah ($) ,101629-101 ,£597.01,
DFID,DFID,03/03/2014,Generators & spares ,West and Southern Africa ,Abrahim A H Daklalah ($) ,101629-101 ,£597.01,
DFID,DFID,03/03/2014,Secure Staff Accommodation ,West and Southern Africa ,Supplier Name withheld ,101610-101 ,"£10,607.12",
DFID,DFID,03/03/2014,Storage & Distribution costs ,East and Central Africa ,PICKFORDS LTD ,101634-101 ,"£3,474.58",
DFID,DFID,03/03/2014,Electricity ,East and Central Africa ,BRITISH HIGH COMMISSION KLA ,101635-101 ,£963.67,
DFID,DFID,03/03/2014,Hotels - Accommodation only ,Asia  Caribbean and Overseas Territories ,Ascott The Residence Limited ,101603-101 ,£579.23,
DFID,DFID,03/03/2014,Hotels - Accommodation only ,Asia  Caribbean and Overseas Territories ,Recipient name withheld ,101621-108 ,£614.04,
DFID,DFID,03/03/2014,Conferences  Seminars & Meeting/Event Resource ,Western Asia and Stabilisation Division ,BRITISH CLUB ISLAMABAD ,101624-101 ,"£1,156.00",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,SPECTRA  GROUP UK LTD ,203944-102 ,£720.00,
DFID,DFID,03/03/2014,Data Network - land lines ,Western Asia and Stabilisation Division ,FCO SERVICES ,203944-102 ,"£7,708.73",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Crown Agents. ,203944-101 ,"£9,820.80",
DFID,DFID,03/03/2014,Hotels - Accommodation only ,East and Central Africa ,Recipient name withheld ,202594-101 ,"£1,702.00",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,East and Central Africa ,OXFORD POLICY MANAGEMENT ,201512-103 ,"£12,077.96",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Crown Agents. ,113961-108 ,"£1,542.37",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Crown Agents. ,113961-108 ,"£3,838.67",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Crown Agents. ,113961-109 ,"£6,296.00",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,East and Central Africa ,COFFEY INTERNATIONAL DEVELOPMENT LTD ,202596-109 ,"£10,474.44",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,East and Central Africa ,LTS International Ltd. ,201866-106 ,"£11,035.00",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,East and Central Africa ,DAI Europe ,202596-105 ,"£97,842.70",
DFID,DFID,03/03/2014,Aid Programme - Accountable Grant Payments ,East and Central Africa ,CEDO VIP ,202943-101 ,"£25,356.71",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,East and Central Africa ,DELOITTE (UGANDA) LIMITED ,200787-107 ,"£69,582.24",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,East and Central Africa ,HEALTH PARTNERS INTERNATIONAL ,200250-115 ,"£354,920.00",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,COFFEY INTERNATIONAL DEVELOPMENT LTD ,203824-101 ,"£24,846.63",
DFID,DFID,03/03/2014,Aid Programme - Accountable Grant Payments ,West and Southern Africa ,FINMARK ,203317-105 ,"£75,000.00",
DFID,DFID,03/03/2014,Aid Programme - Accountable Grant Payments ,West and Southern Africa ,Clinton Health Access Initiative ,203543-104 ,"£267,531.93",
DFID,DFID,03/03/2014,Aid Programme - Accountable Grant Payments ,West and Southern Africa ,Clinton Health Access Initiative ,203543-104 ,"£585,120.24",
DFID,DFID,03/03/2014,DFID Purchased Relief Supplies ,West and Southern Africa ,Crown Agents. ,202640-102 ,"£33,251.06",
DFID,DFID,03/03/2014,Aid Programme - Other Financial Aid to Government ,West and Southern Africa ,Ministry of Finance  Ghana Health Sector Support Programme ,203536-108 ,"£1,000,000.00",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,COFFEY INTERNATIONAL DEVELOPMENT LTD ,104190-103 ,"£166,221.18",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,ADAM SMITH INTERNATIONAL  LTD ,104190-102 ,"£541,308.23",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,COFFEY INTERNATIONAL DEVELOPMENT LTD ,203585-102 ,"£23,741.57",
DFID,DFID,03/03/2014,Aid Programme - Accountable Grant Payments ,West and Southern Africa ,Street Child of Sierra Leone ,202857-103 ,"£128,056.00",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,Professor ASM Maksud Kamal ,202660-101 ,"£2,118.76",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,ERNST &  YOUNG PRIVATE LTD ,200599-101 ,"£11,878.90",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,ERNST &  YOUNG PRIVATE LTD ,200599-101 ,"£16,645.24",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,ERNST &  YOUNG PRIVATE LTD ,200599-101 ,"£80,787.00",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,INFRASTRUCTURE PROFESSIONALS ENTERPRISE ,114040-101 ,"£140,405.06",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Crown Agents. ,202368-103 ,"£4,370.40",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,COFFEY INTERNATIONAL DEVELOPMENT LTD ,202495-101 ,"£49,360.16",
DFID,DFID,03/03/2014,Aid Programme - Accountable Grant Payments ,Western Asia and Stabilisation Division ,International Foundation for Electoral Systems (IFES) ,203039-101 ,"£458,598.00",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,Crown Agents. ,202393-103 ,"£141,787.56",
DFID,DFID,03/03/2014,Aid Programme - Trust Funds contributions ,International Finance Division ,IBRD HSBC T ,204311-101 ,"£5,000,000.00",
DFID,DFID,03/03/2014,Aid Programme - Pooled/Basket funding ,Research and Evidence Division ,WELLCOME TRUST ,114075-103 ,"£73,711.20",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Policy Division ,KPMG Development Services ,114143-101 ,"£51,412.27",
DFID,DFID,03/03/2014,Aid Programme - Accountable Grant Payments ,Policy Division ,KPMG DEVELOPMENT SERVICE ,114143-101 ,"£125,110.95",
DFID,DFID,03/03/2014,Aid Programme - Challenge Fund payments ,Policy Division ,Triple Line Crown Agents JV. ,201242-101 ,"£35,804.25",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Policy Division ,Triple Line Crown Agents JV. ,201242-101 ,"£50,424.72",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Conflict Humanitarian and Security Division ,Rachel Goldwyn Consulting ,203760-101 ,"£9,150.00",
