CPS outcomes by principal offence category metropolitan_and_city,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,30,85.7%,5,14.3%
B Offences Against The Person,"1,204",70.7%,499,29.3%
C Sexual Offences,125,70.6%,52,29.4%
D Burglary,314,81.8%,70,18.2%
E Robbery,331,76.8%,100,23.2%
F Theft And Handling,"1,396",89.6%,162,10.4%
G Fraud And Forgery,232,84.7%,42,15.3%
H Criminal Damage,290,83.6%,57,16.4%
I Drugs Offences,"1,069",94.3%,65,5.7%
J Public Order Offences,633,77.7%,182,22.3%
K All Other Offences (excluding Motoring),595,81.4%,136,18.6%
L Motoring Offences,"3,436",92.4%,281,7.6%
Admin Finalisations,0,0.0%,251,100.0%
TOTAL,"9,655",83.5%,"1,902",16.5%
