Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,Derbyshire Comm. Health Services NHS Trust,16/05/2011,AUC Additions,BALANCE SHEET,PARSONS CONTRACTING CHESTERFIELD LTD,8481033,34058.95
Department of Health,Derbyshire Comm. Health Services NHS Trust,09/05/2011,AUC Additions,BALANCE SHEET,PRIDE BUILDING LTD,8435375,50119.52
Department of Health,Derbyshire Comm. Health Services NHS Trust,23/05/2011,Computer Software/License,Senior Management & Admin,SOFTCAT,8547543,27131.54
Department of Health,Derbyshire Comm. Health Services NHS Trust,05/05/2011,Contractual Clinical Srv,RADIOLOGY REPORTING,GLOBAL CLINIC,8435361,39802
Department of Health,Derbyshire Comm. Health Services NHS Trust,05/05/2011,Contractual Clinical Srv,RADIOLOGY REPORTING,GLOBAL CLINIC,8435362,33166
Department of Health,Derbyshire Comm. Health Services NHS Trust,23/05/2011,Contractual Clinical Srv,RADIOLOGY REPORTING,GLOBAL CLINIC,8519381,32938
Department of Health,Derbyshire Comm. Health Services NHS Trust,26/05/2011,Contractual Clinical Srv,RADIOLOGY REPORTING,GLOBAL CLINIC,8527773,43806
Department of Health,Derbyshire Comm. Health Services NHS Trust,16/05/2011,Data Lines,Senior Management & Admin,BT INTRA CONNECT SERVICES,8481053,41460
Department of Health,Derbyshire Comm. Health Services NHS Trust,05/05/2011,Fleet Vehicle Leases,NTH DERBYS COMMUNITY PTS,LEX AUTOLEASE LTD,8344181,20866.08
Department of Health,Derbyshire Comm. Health Services NHS Trust,26/05/2011,Furniture & Fittings,IC - STONELOW,SOUTH YORKSHIRE HOUSING ASSOCIATION LTD,8566605,7832
Department of Health,Derbyshire Comm. Health Services NHS Trust,05/05/2011,Independent Sector,DHU PROV OF ENS & NNS SERVS,DERBYSHIRE HEALTH UNITED LTD,8443790,91330.67
Department of Health,Derbyshire Comm. Health Services NHS Trust,16/05/2011,Legal / Prof Fees,DCHS PROV DEVELOP MGMT,CAPSTICKS SOLICITORS,8398635,33429.43
Department of Health,Derbyshire Comm. Health Services NHS Trust,13/05/2011,Med & Surg Maint Contract,LOUGH SURGICAL UNIT,NHS SUPPLY CHAIN,8429604,25985.6
Department of Health,Derbyshire Comm. Health Services NHS Trust,03/05/2011,NHS payables - Current,BALANCE SHEET,NHS SUPPLY CHAIN,8418156,51507.76
Department of Health,Derbyshire Comm. Health Services NHS Trust,13/05/2011,NHS payables - Current,BALANCE SHEET,NHS SUPPLY CHAIN,8443829,37814.79
Department of Health,Derbyshire Comm. Health Services NHS Trust,13/05/2011,NHS payables - Current,BALANCE SHEET,NHS SUPPLY CHAIN,8443830,28455.78
Department of Health,Derbyshire Comm. Health Services NHS Trust,13/05/2011,NHS payables - Current,BALANCE SHEET,NHS SUPPLY CHAIN,8443831,52443.98
Department of Health,Derbyshire Comm. Health Services NHS Trust,13/05/2011,NHS payables - Current,BALANCE SHEET,NHS SUPPLY CHAIN,8481094,26470.48
