"DFID – Joy Hutcheon, DG, Country Programmes",,,,,,,,,,
Business Expenses: April – June 2013,,,,,,,,,,
,,,,,,,,,,
DATES,DESTINATION,,PURPOSE,TRAVEL,,,,,OTHER (Including Hospitality Given),Total Cost £
,,,,,,,,,,
,,,,,,,,,,
,,,,Air,Rail,Taxi / Car,Accommodation / Meals,,,
16-19 April 2013,Ghana,,To visit staff in country office and DFID-funded programmes,1988,34,,20.64,,195,2237.64
29-Apr-13,East Kilbride,,To visit staff and attend meeting at our Scotland HQ,108,268.5,14,,,,390.5
15-May-13,London,,To provide refreshments for senior level suppliers meeting,,,,,,10.4,10.4
22-23 May 2013,East Kilbride,To visit staff and attend meeting at our Scotland HQ,,185.1,5.7,15,79,,,284.8
29 May – 2 June 2013,Tokyo,To represent UK AT international development summit ,,3406.95,20,58.68,368.82,1.5,,3855.95
9 – 12 June 2013,Zambia,To visit staff in country office and DFID-funded programmes,,1410.35,,,5.2,48,,1463.55
21-Jun-13,Brighton,To attend executive Management Committee away day,,,28.8,,,,,28.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
HOSPITALITY RECORD April – June 2013,,,,,,,,,,
,,,,,,,,,,
"Joy Hutcheon, Acting DG Country Programmes",,,,,,,,,,
Date,Organisation Name,Type of Hospitality Received,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SUBSEQUENT,,,,,,,,,,
"DFID – Richard Calvert, DG Finance & Corporate Performance ",,,,,,,,,,
Business Expenses: April – June 2013,,,,,,,,,,
DATES,DESTINATION,PURPOSE,TRAVEL,,,,OTHER (Including Hospitality Given),,Total Cost £,
,,,,,,,,,,
,,,Air,Rail,Taxi / Car,Accommodation / Meals,,,,
15-16 April 2013,East Kilbride,To visit staff and attend meeting at our Scotland HQ,43,159.4,50.5,14.46,,,267.36,
28-30 April 2013,East Kilbride,To visit staff and attend meeting at our Scotland HQ,52.27,194.1,50.5,107.85,,,404.72,
6-7 May 2013,"Helsinki, Finland",To attend Nordic Plus meeting,377,27.9,3.8,160.93,,,569.63,
12-14 May 2013,East Kilbride,To visit staff and attend meeting at our Scotland HQ,52,194.1,50.5,114.25,,,410.85,
3-7 June 2013,India,To visit staff and visit DFID-funded programmes,1501,59,4,10.79,,4.2,1578.99,
21-25 June 2013,East Kilbride,To visit staff and attend meeting at our Scotland HQ,100,32.4,73.5,156.95,,,,
,,,,,,,,,362.85,
Total,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
HOSPITALITY RECORD October – April – June 2013,,,,,,,,,,
,,,,,,,,,,
"Richard Calvert, DG Finance & Corporate Performance",,,,,,,,,,
Date,Organisation Name,Type of Hospitality Received,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"DFID – Michael Anderson, DG Policy and Global Programmes",,,,,,,,,,
Business Expenses: April – June 2013,,,,,,,,,,
DATES,DESTINATION,PURPOSE,TRAVEL,,,,OTHER (Including Hospitality Given),Total Cost £,,
,,,,,,,,,,
,,,Air,Rail,Taxi / Car,Accommodation / Meals,,,,
8-9 April 2013,Oxford,To attend G8 Sherpa meetings ,,,,110,11.5,121.5,,
10-29 April 2013,"Washington, Seattle, New York",To attend meetings with multilateral partners and High Level Panel ,2595,245,147.86,2104.17,,5091.83,,
29-Apr-13,East Kilbride,To attend senior level meetings,263,,,73.43,,336.43,,
11-15 May 2013,New York,To attend High Level Panel discussions,1923,,78.5,942.05,,2943.55,,
TOTAL,,,,,,,,,,
,,,,,,,,,,
HOSPITALITY RECORD April – June 2013,,,,,,,,,,
,,,,,,,,,,
"Michael Anderson, DG Policy and Global Programmes",,,,,,,,,,
Date,Organisation Name,Type of Hospitality Received,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"DFID – Mark Bowman, DG, Humanitarian, Security, Conflict and International Finance",,,,,,,,,,
Business Expenses: April – June 2013,,,,,,,,,,
,,,,,,,,,,
DATES,DESTINATION,PURPOSE,TRAVEL,,,,OTHER (Including Hospitality Given),Total Cost £,,
,,,,,,,,,,
,,,,,,,,,,
,,,Air,Rail,Taxi / Car,Accommodation / Meals,,,,
18-22 April 2013,"Washington, USA",To attend WB spring meetings,2765,20,102.66,477.26,,3364.92,,
29-Apr-13,East Kilbride,To attend senior level staff meetings ,321,20,51.5,0,,392.5,,
7 – 11 May 2013,Lebanon and Istanbul,To assess impact of Syria crisis in Lebanon/ Attend EBRD annual meeting,850.75,0,80,626,,1556.75,,
20-21 May 2013,Paris,To attend World Bank Forum,0,275.34,26.56,136.21,,438.11,,
4-6 June 2013,Jordan,To assess impact of Syrian crisis in Jordan,1455,20,30,,,1505,,
19-Jun-13,Sutton,To attend team away day ,0,5.7,,,,5.7,,
21-Jun-13,Brighton,To attend Executive Management Committee away day,0,21.9,,,,21.9,,
Total,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
HOSPITALITY RECORD April – June 2013,,,,,,,,,,
,,,,,,,,,,
"Mark Bowman, DG Humanitarian, Security and Conflict",,,,,,,,,,
Date,Organisation Name,Type of Hospitality Received,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"DFID – Vivienne Cox, Non-Executive Director",,,,,,,,,,
Business Expenses: April – June 2013,,,,,,,,,,
DATES,DESTINATION,PURPOSE,TRAVEL,,,,OTHER (Including Hospitality Given),Total Cost £,,
,,,,,,,,,,
,,,Air,Rail,Taxi / Car,Accommodation / Meals,,,,
,,,,,,,,,,
,,,,,,,,,,
HOSPITALITY RECORD April – June 2013,,,,,,,,,,
,,,,,,,,,,
"Vivienne Cox, Non-Executive Director",,,,,,,,,,
Date,Organisation Name,Type of Hospitality Received,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"DFID – Richard Keys, Non-Executive Director",,,,,,,,,,
Business Expenses: April – June 2013,,,,,,,,,,
DATES,DESTINATION,PURPOSE,TRAVEL,,,,OTHER (Including Hospitality Given),Total Cost £,,
,,,,,,,,,,
,,,Air,Rail,Taxi / Car,Accommodation / Meals,,,,
15-May-13,London,To chair departmental Audit Committee meeting,,38.7,,,,38.7,,
23-May-13,London,To attend Executive Management Committee meeting,,38.7,,,,38.7,,
10-Jun-13,London,To chair departmental Audit Committee meeting,,38.7,,,,38.7,,
24-Jun-13,London,To attend Executive Management Committee meeting,,38.7,,,,38.7,,
Total,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
HOSPITALITY RECORD April – June 2013,,,,,,,,,,
,,,,,,,,,,
"Richard Keys, Non-Executive Director",,,,,,,,,,
Date,Organisation Name,Type of Hospitality Received,,,,,,,,
