A3131,,,,,,,,,,Expenditure Over Threshold
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RUN AT 03/01/2014 15:23:29,,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,2089755,"-29,466.82",,HT000005576,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,2089757,"70,772.97",,HT000005577,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Independent Sector,URGENT CARE,ASSURA LEA VALLEY LLP,1993158,"60,115.50",,812Z346,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,1903282,"69,605.10",,8403063,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARNET & CHASE FARM HOSPITALS NHS TRUST,1975125,"2,031,891.00",,I0062804,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Non Contract,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,1974306,"33,511.06",,41416438,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Non Contract,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,1974486,"29,073.73",,41417001,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1993149,"28,162.00",,61243,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,1974771,"25,034.00",,I0130799,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,1974964,"47,305.48",,21613,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,1974974,"57,733.18",,21611,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,BOURN HALL CLINIC,1974540,"522,706.67",,14635,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,2089765,"-56,190.03",,HT000005583,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,2089766,"86,443.33",,HT000005584,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1928586,"805,992.15",,70010148,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2095144,"49,426.44",,80137367,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,2022211,"64,931.00",,8014001815,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,2022218,"-39,000.00",,13091113425,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CLINICENTA (HERTFORDSHIRE) LTD,2094840,"1,244,803.83",,OP43,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CLINICENTA (HERTFORDSHIRE) LTD,2094870,"-325,551.22",,OP46,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CLINICENTA (HERTFORDSHIRE) LTD,2094881,"684,486.71",,OP49,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CLINICENTA (HERTFORDSHIRE) LTD,2094887,"141,705.96",,OP48,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CLINICENTA (HERTFORDSHIRE) LTD,2095020,"-370,439.54",,OP51,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CLINICENTA LTD,2108344,"46,409.28",,200541,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,CLINICENTA LTD,2108345,"62,445.96",,200548,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Voluntary Sector,COUNSELLING SERVICES,COUNSELLING FOUNDATION (THE),2107329,"29,000.00",,FNH30111302,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,2089775,"28,732.52",,HT000005590,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,2089775,635.85,,HT000005590,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,C&M-GMS LES Alcohol,LOCAL ENHANCED SERVICES,CRI,1888548,"33,000.00",,16219,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1960500,"14,890,068.00",,4099769,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1960509,"79,797.00",,4099786,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,1960302,"-153,973.00",,819773,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,1960464,"1,298,125.00",,821971,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust,PROGRAMME PROJECTS,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,1975031,"33,917.00",,822372,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS TRUST,1974718,"74,512.58",,XO109085,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,1974693,"127,208.00",,3126069,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,1928517,"2,423,201.00",,28007390,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Hcare Srv Rec NHS Trust-Contract Cost per Case,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,1974638,"27,711.99",,28007256,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,HERTFORDSHIRE COUNTY COUNCIL,1888575,"331,000.00",,1801462735,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,HERTFORDSHIRE COUNTY COUNCIL,1888575,"858,000.00",,1801462735,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2013,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - ADULTS,HERTFORDSHIRE COUNTY COUNCIL,1888575,"4,272,000.00",,1801462735,
