Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type, , 
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/09/2015,Taxi Services UK - UKTI (BIS) Devolved Admin,Defence and Security Organisation - Regional Directorates,"Personal Expense, Name Witheld",111661,11.00,,,EMPLOYEE,,,Administration, ,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111662,4.60,,,EMPLOYEE,,,Administration, ,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/09/2015,Other Travel - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111662,8.45,,,EMPLOYEE,,,Administration, ,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Operations Directorate,"Personal Expense, Name Witheld",111662,15.00,,,EMPLOYEE,,,Administration, ,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/09/2015,Subsistence UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111664,1.89,,,EMPLOYEE,,,Administration, ,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/09/2015,Subsistence UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111664,4.69,,,EMPLOYEE,,,Administration, ,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/09/2015,Taxi Services UK - Default,Trade Group - Energy & Transport,"Personal Expense, Name Witheld",111664,55.00,,,EMPLOYEE,,,Administration, ,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",111665,5.00,,,EMPLOYEE,,,Administration, ,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/09/2015,Subsistence UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",111665,15.00,,,EMPLOYEE,,,Administration, ,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,01/09/2015,Rail Travel UK - UKTI (BIS) Devolved Admin,Trade Group - Service Delivery,"Personal Expense, Name Witheld",111665,17.30,,,EMPLOYEE,,,Administration,,
