Title,Place,Date,Edition,Author,Publisher
The 25th Division in France and Flanders,"[S.l.],",2012,,"KINCAID-SMITH, M",Andrews UK
3 Commando: Brigade: Helmand assault,"Ebury Press,",2010,,"SOUTHBY-TAILYOUR, EWEN",
The 9/11 wars,"Allen Lane,",2012,,"BURKE, JASON",Penguin
Adapt : why success always starts with failure,"Little Brown,",2011,,"HARFORD, TIM",
"Additional protocol to the Convention on the transfer of sentenced persons: Strasbourg, 18 December 1997",London,2010,,,TSO
"Admiralty tide tables. Vol. 1, United Kingdom and Ireland, including European Channel ports. Latest issue received 2014.",Taunton,2013,,,Hydrographic Office
"Admiralty tide tables. Vol. 2, Europe (excluding United Kingdom and Ireland), Mediterranean Sea and Atlantic Ocean. Latest issue received 2014.",Taunton,2013,,,Hydrographic Office
"Afgantsy : the Russians in Afghanistan, 1979-89","Profile Books,",2011,,"BRAITHWAITE, RODRIC",
"The Afghan papers: committing Britain to war in Helmand, 2005-06","RUSI,",2011,,"CLARKE, MICHAEL",
Afghanistan: a cultural and political history,"Princeton U.P,",2012,,"BARFIELD, THOMAS",Princeton UP
"Afghanistan in the balance : counterinsurgency, comprehensive approach, and political order","McGill-Queen's U.P.,",2012,,"Ehrhart, Hans-Georg
Pentland, Charles
GAREIS, SVEN BERNHARD",
Afghanistan to 2015 and beyond,"IISS,",2011,,"REDMAN, NICHOLAS
DODGE, TOBY",
After the Arab Spring : how Islamists hijacked the Middle East revolts,"Palgrave Macmillan,",2012,,"BRADLEY, JOHN R",
After the Sheikhs : the coming collapse of the Gulf monarchies,"C Hurst ,",2012,,"Davidson, Christopher M",
"Agreement between government of United Kingdom of Great Britain and Northern Ireland and government of Republic of Uzbekistan on procedures for implementing transit through territory of Republic of Uzbekistan of motorised armoured vehicles (without weapons) transported out of Islamic Republic Afghanistan in connection with participation of United Kingdom of Great Britain and Northern Ireland in efforts to ensure the security, stabilisation and reconstruction of the Islamic Republic of Afghanistan",London,2013,,,TSO
Agreement between the government of the United Kingdom of Great Britain and Norther Ireland and the Government of the French Republic concerning the mutual protection of classified information..,London,2012,,,TSO
"Agreement between the government of the United Kingdom of Great Britain and Northern Ireland and Saint Christopher (Saint Kitts) and Nevis for the Exchange of Information relating to Tax Matters, London, 18 January 2010",London,2011,,,TSO
Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Governmen of Republic of Korea concerning the Readmission of Persons,London,2012,,,TSO
"Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Governmen of the Republic of Equador concerning Air Services, Quito, 4 Jan 2007",London,2012,,,TSO
"Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Granada concerning Air Services, St George's, Grenada, 3 Feb 2011.",London,2012,,,TSO
"Agreement between the government of the United Kingdom of Great Britain and Northern Ireland and the government of Macao Special Administrative Region of the People's Republic of China concerning air services: London, 19 January 2004",London,2010,,,TSO
"Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Saint Christopher (Saint Kitts) and Nevis concerning Air Services, Basseterre, 8 Dec [The Agreement entered into forces on 8 Dec 2009 ]",London,2010,,,TSO
"Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of Saint Lucia concerning Air Services, London, 13 April 2010 [The Agreement entered into force on 13 April 2010]",London,2010,,,TSO
"Agreement between the government of the United Kingdom of Great Britain and Northern Ireland and the government of the Commonwealth of Dominica on the exchange of information with respect to taxes and tax matters: London, 31 March 2012",London,2012,,,TSO
