No.,Surname of Candidate,Other names of Candidate,Full Description (as given in the nomination paper),Deemed Elected,Stage 1 - 1st Preference,Stage 2 - Exclusion ORR,Stage 2 - Total,Stage 3 - Transfer BLOOMFIELD,Stage 3 - Total,Stage 4 - Exclusion BRENNAN,Stage 4 - Total,Stage 5 - Exclusion MCCORD,Stage 5 - Total,Stage 6 - Exclusion MCCALL,Stage 6 - Total,Stage 7 - Exclusion TURTLE,Stage 7 - Total,Stage 8 - Exclusion LOVE,Stage 8 - Total,Stage 9 - Exclusion MCGEOUGH,Stage 9 - Total,Stage 10 - Transfer MARTIN,Stage 10 - Total
1,BLOOMFIELD,Brian,UUP,Elected - Stage 1,1026.00,0.00,1026.00,-80.00,946.00,0.00,946.00,0.00,946.00,0.00,946.00,0.00,946.00,0.00,946.00,0.00,946.00,0.00,946.00
2,BRENNAN,Matt,PUP,Excluded - Stage 3,203.00,0.00,203.00,5.44,208.44,-208.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,CARSON,Scott,DUP,Elected - Stage 9,684.00,1.00,685.00,18.24,703.24,46.08,749.32,7.24,756.56,74.48,831.04,2.16,833.20,105.84,939.04,7.00,946.04,0.00,946.04
4,CRAIG,Yvonne,DUP,Excluded - Stage 10,526.00,1.00,527.00,8.80,535.80,18.48,554.28,4.08,558.36,38.72,597.08,1.08,598.16,65.88,664.04,5.00,669.04,0.29,669.33
5,LOVE,Alan,UKIP,Excluded - Stage 7,339.00,2.00,341.00,4.72,345.72,32.40,378.12,2.24,380.36,119.68,500.04,11.08,511.12,-511.12,0.00,0.00,0.00,0.00,0.00
6,MARTIN,Stephen,Alliance,Elected - Stage 7,711.00,9.00,720.00,9.28,729.28,2.40,731.68,23.32,755.00,5.72,760.72,208.00,968.72,0.00,968.72,0.00,968.72,-22.72,946.00
7,MCCALL,Johnny,TUV,Excluded - Stage 5,300.00,1.00,301.00,9.44,310.44,38.04,348.48,5.08,353.56,-353.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,MCCARTHY,Johnny,NI21,Elected - Stage 10,329.00,11.00,340.00,3.68,343.68,5.08,348.76,167.88,516.64,7.72,524.36,63.16,587.52,69.04,656.56,182.00,838.56,20.88,859.44
9,MCCORD,Colin,NI21,Excluded - Stage 4,237.00,4.00,241.00,2.16,243.16,0.00,243.16,-243.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,MCGEOUGH,Jacqui,Sinn Fein,Excluded - Stage 8,493.00,0.00,493.00,0.00,493.00,0.00,493.00,5.00,498.00,0.00,498.00,129.00,627.00,3.08,630.08,-630.08,0.00,0.00,0.00
11,ORR,Jonny,Independent,Excluded - Stage 1,33.00,-33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,PALMER,Jenny,DUP,Elected - Stage 10,534.00,0.00,534.00,7.36,541.36,13.40,554.76,2.08,556.84,42.28,599.12,6.16,605.28,65.48,670.76,1.00,671.76,0.87,672.63
13,TOLERTON,Margaret,DUP,Elected - Stage 10,735.00,0.00,735.00,8.00,743.00,36.16,779.16,6.08,785.24,37.96,823.20,5.00,828.20,58.40,886.60,3.08,889.68,0.29,889.97
14,TURTLE,Nicola,SDLP,Excluded - Stage 6,466.00,3.00,469.00,1.20,470.20,0.08,470.28,13.00,483.28,1.08,484.36,-484.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Non transferable,,,,,,1.00,1.00,1.68,2.68,16.32,19.00,7.16,26.16,25.92,52.08,58.72,110.80,143.40,254.20,432.00,686.20,0.39,686.59
Totals,,,,,6616.00,,6616.00,,6616.00,,6616.00,,6616.00,,6616.00,,6616.00,,6616.00,,6616.00,,6616.00
