"Publication of Spend over £25,000.00 between 01/04/2012 and 30/04/2012",,,,,,,

Department Family,Entity,Paid Date,Expense Type,Expense Area,Supplier,Trans No,Amount
Wolverhampton City PCT,Wolverhampton City PCT,03/04/2012,IT SLA,RWHT SLAs,Rl4 T : Royal Wolverhampton Hospita,10188755,"37,201.08"
Wolverhampton City PCT,Wolverhampton City PCT,05/04/2012,Patient in Your Pocket,Capital Spend IMT (SC),Dell Computer Corporation,10188760,"49,536.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/04/2012,Rent - General Premises,The Phoenix Centre,W-Ton  City  &  Walsall Lift  Accom.,10188822,"35,360.85"
Wolverhampton City PCT,Wolverhampton City PCT,05/04/2012,Rent - General Premises,The Gem Centre,W-Ton  City  &  Walsall Lift  Accom.,10188826,"95,116.23"
Wolverhampton City PCT,Wolverhampton City PCT,05/04/2012,6070168380,Mental Health,Cheadle Royal Hospital,10189027,"20,350.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/04/2012,6070168380,Mental Health,Cheadle Royal Hospital,10189027,"5,650.00"
Wolverhampton City PCT,Wolverhampton City PCT,03/04/2012,Recharge - Grants,Service Improvement Allocation,Rje T : University Hospital Of Nort,10189117,"35,946.00"
Wolverhampton City PCT,Wolverhampton City PCT,03/04/2012,Recharge - Grants,Service Improvement Allocation,Rje T : University Hospital Of Nort,10189118,"36,446.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/04/2012,Nuffield,Healthcare Block Contracts,Wolverhampton Nuffield Hospital,10189198,"139,138.00"
Wolverhampton City PCT,Wolverhampton City PCT,03/04/2012,Medical Agency Consultant,Palliative Care,Rl4 T : Royal Wolverhampton Hospita,10189261,"43,614.00"
Wolverhampton City PCT,Wolverhampton City PCT,19/04/2012,Professional Fees,Planning Grid 1,Wolverhampton City Council,10189290,"40,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/04/2012,Computer Hardware - Purchases,IMT - Development (Incl CfH),Barcode Technologies,10189345,"30,959.28"
Wolverhampton City PCT,Wolverhampton City PCT,05/04/2012,606 278 0188,Continuing Care,Wolverhampton City Council,10189360,"25,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/04/2012,Recharge - Grants,Talking Therapies,Wolverhampton City Council,10189361,"45,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,03/04/2012,Recharge - Grants,Stroke Network,5M3 P : Walsall Pct,10189431,"39,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,03/04/2012,Recharge - Grants,Stroke Network,5Pe P : Dudley Pct,10189432,"73,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,03/04/2012,Recharge - Grants,Stroke Network,5M3 P : Walsall Pct,10189434,"34,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,03/04/2012,Virement Project,Prescribing,Rl4 T : Royal Wolverhampton Hospita,10189435,"28,898.54"
Wolverhampton City PCT,Wolverhampton City PCT,13/04/2012,Virement Project,Prescribing,Rl4 T : Royal Wolverhampton Hospita,10189436,"30,143.18"
Wolverhampton City PCT,Wolverhampton City PCT,13/04/2012,Virement Project,Prescribing,Rl4 T : Royal Wolverhampton Hospita,10189438,"30,709.61"
Wolverhampton City PCT,Wolverhampton City PCT,03/04/2012,Virement Project,Prescribing,Rl4 T : Royal Wolverhampton Hospita,10189440,"29,917.11"
Wolverhampton City PCT,Wolverhampton City PCT,03/04/2012,Virement Project,Prescribing,Rl4 T : Royal Wolverhampton Hospita,10189442,"29,917.11"
Wolverhampton City PCT,Wolverhampton City PCT,03/04/2012,Virement Project,Prescribing,Rl4 T : Royal Wolverhampton Hospita,10189444,"29,917.11"
Wolverhampton City PCT,Wolverhampton City PCT,13/04/2012,Residual Suspense,Prescribing,5Pk P : South Staffordshire Pct,10189446,"82,296.00"
Wolverhampton City PCT,Wolverhampton City PCT,13/04/2012,Residual Suspense,Prescribing,Rl4 T : Royal Wolverhampton Hospita,10189451,"30,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,13/04/2012,Reserve,RWHT Block Contracts,Rl4 T : Royal Wolverhampton Hospita,10189547,"25,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,05/04/2012,Free Nursing Care,Free Nursing Care Payments,Wolverhampton City Council,10189809,"120,202.54"
Wolverhampton City PCT,Wolverhampton City PCT,05/04/2012,Advertising - Other,Dental - Unallocated,Outdoor Advertising Uk Ltd,10189816,"51,091.20"
Wolverhampton City PCT,Wolverhampton City PCT,05/04/2012,Patient in Your Pocket,Capital Spend IMT (SC),Cristie Data Products Ltd,10189850,"34,862.40"
Wolverhampton City PCT,Wolverhampton City PCT,26/04/2012,Non NHS Statutory Sector,IVF,St Jude'S Hospital,10189881,"97,950.00"
Wolverhampton City PCT,Wolverhampton City PCT,03/04/2012,Purchase of Healthcare - NHS,RWHT Block Contracts,Rl4 T : Royal Wolverhampton Hospita,10189962,"25,450.00"
Wolverhampton City PCT,Wolverhampton City PCT,03/04/2012,Computer Hardware - Purchases,IMT - Development (Incl CfH),Rl4 T : Royal Wolverhampton Hospita,10189963,"59,195.74"
Wolverhampton City PCT,Wolverhampton City PCT,03/04/2012,TAJ FT - Black Country Partner,Healthcare - Foundation,Taj Ft : Black Country Partnership,10189971,"53,000.00"
Wolverhampton City PCT,Wolverhampton City PCT,03/04/2012,Sex Health - Chlamydia,Public Health non core costs,5M3 P : Walsall Pct,10189982,"30,372.00"
