Dept family,Entity,Date Paid,Expense Type,Expense Area,Supplier,Trans no.,Amount exc VAT
Communities and Local Government,Homes and Communities Agency,01/04/2010,CAPITAL GRANTS TO RSLS,EAST MIDLANDS,EAST MIDLANDS HOUSING ASSOCIATION LTD,40452,1500
Communities and Local Government,Homes and Communities Agency,01/04/2010,CAPITAL GRANTS TO RSLS,EAST MIDLANDS,STRATA HOMES LIMITED,40457,23992
Communities and Local Government,Homes and Communities Agency,01/04/2010,CAPITAL GRANTS TO RSLS,LONDON,BARRATT DEVELOPMENTS PLC,40456,25043
Communities and Local Government,Homes and Communities Agency,01/04/2010,CAPITAL GRANTS TO RSLS,LONDON,BARRATT DEVELOPMENTS PLC,40455,28574
Communities and Local Government,Homes and Communities Agency,01/04/2010,CAPITAL GRANTS TO RSLS,LONDON,GEORGE WIMPEY MAJOR PROJECTS,40453,25187
Communities and Local Government,Homes and Communities Agency,01/04/2010,CAPITAL GRANTS TO RSLS,LONDON,LONDON AND QUADRANT HOUSING TRUST,40449,1500
Communities and Local Government,Homes and Communities Agency,01/04/2010,CAPITAL GRANTS TO RSLS,LONDON,LONDON AND QUADRANT HOUSING TRUST,40450,1500
Communities and Local Government,Homes and Communities Agency,01/04/2010,CAPITAL GRANTS TO RSLS,LONDON,METROPOLITAN HOUSING TRUST LIMITED,40448,1500
Communities and Local Government,Homes and Communities Agency,01/04/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,BARRATT DEVELOPMENTS PLC,40454,26249
Communities and Local Government,Homes and Communities Agency,01/04/2010,CAPITAL GRANTS TO RSLS,YORKSHIRE & THE HUMBER,YORKSHIRE HOUSING LIMITED,40451,1500
Communities and Local Government,Homes and Communities Agency,06/04/2010,GROUNDS MAINTENANCE GENERAL,LONDON,BTCV,286755,-9699
Communities and Local Government,Homes and Communities Agency,06/04/2010,GROUNDS MAINTENANCE GENERAL,LONDON,BTCV,286756,-9588
Communities and Local Government,Homes and Communities Agency,06/04/2010,EQUITY,YORKSHIRE & THE HUMBER,GATEWAY PLAZA LTD - HCA ACCOUNT,286747,1044172.5
Communities and Local Government,Homes and Communities Agency,07/04/2010,SECURITY,LONDON,RELIANCE SECURITY SERVICES LTD,286808,-550
Communities and Local Government,Homes and Communities Agency,07/04/2010,BUILDINGS-VACANT RATES,LONDON,GREENWICH COUNCIL,286815,-6790.91
Communities and Local Government,Homes and Communities Agency,07/04/2010,BUILDINGS-VACANT RATES,LONDON,GREENWICH COUNCIL,286821,-6245.21
Communities and Local Government,Homes and Communities Agency,07/04/2010,BUILDINGS-VACANT RATES,LONDON,GREENWICH COUNCIL,286814,-5229.61
Communities and Local Government,Homes and Communities Agency,07/04/2010,BUILDINGS-VACANT RATES,LONDON,GREENWICH COUNCIL,286816,-5074.98
Communities and Local Government,Homes and Communities Agency,07/04/2010,BUILDINGS-VACANT RATES,LONDON,GREENWICH COUNCIL,286820,-4956.76
Communities and Local Government,Homes and Communities Agency,07/04/2010,BUILDINGS-VACANT RATES,LONDON,GREENWICH COUNCIL,286811,-4877.94
Communities and Local Government,Homes and Communities Agency,07/04/2010,BUILDINGS-VACANT RATES,LONDON,GREENWICH COUNCIL,286819,-4332.24
Communities and Local Government,Homes and Communities Agency,07/04/2010,BUILDINGS-VACANT RATES,LONDON,GREENWICH COUNCIL,286822,-3815.89
Communities and Local Government,Homes and Communities Agency,07/04/2010,BUILDINGS-VACANT RATES,LONDON,GREENWICH COUNCIL,286818,-2967.68
Communities and Local Government,Homes and Communities Agency,07/04/2010,REV GRNTS TO LOCAL AUTHORITIES,PLACE MAKING,LUTON BOROUGH COUNCIL,2057,57116
Communities and Local Government,Homes and Communities Agency,07/04/2010,CAP GRNTS TO LOCAL AUTHORITIES,PLACE MAKING,NORFOLK COUNTY COUNCIL,2060,565268
Communities and Local Government,Homes and Communities Agency,07/04/2010,CAP GRNTS TO LOCAL AUTHORITIES,PLACE MAKING,LINCOLNSHIRE COUNTY COUNCIL,2059,106122
