Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,PHARMACY PILGRIM,DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"26,768.41",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,MINOR CLINICAL EQUIPMENT,MEDICINE LINCOLN,MEDTRONIC LTD,"29,016.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,MINOR CLINICAL EQUIPMENT,MEDICINE LINCOLN,ST.JUDE MEDICAL UK LTD,"103,140.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"31,233.12",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,PROPERTY LEASE,SITE ESTATES & FACILITIES LOUTH,NHS PROPERTY SERVICES LTD,"320,500.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,SW SUPPORT,DIAGNOSTICS,ACCENTURE UK LTD,"76,884.23",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,PROPERTY LEASE,SITE ESTATES & FACILITIES LOUTH,NHS PROPERTY SERVICES LTD,"106,833.33",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"280,396.15",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"157,522.87",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,FUEL - STEAM,SITE ESTATES & FACILITIES LINCOLN,DALKIA UTILITIES SERVICES PLC,"158,396.48",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,PROPERTY LEASE,CORPORATE ESTATES & FACILITIES,NHS PROPERTY SERVICES LTD,"106,833.30",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,LLOYDS PHARM DISPENSING COSTS,DIAGNOSTICS,LLOYDS PHARMACY,"389,151.11",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,COMPUTER HARDWARE,CAPITAL PROGRAM,INTRINSIC TECHNOLOGY,"75,553.98",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"219,401.89",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,COMPUTER HARDWARE,CAPITAL PROGRAM,DELL COMPUTER CORPORATION,"25,612.02",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,FUEL - STEAM,SITE ESTATES & FACILITIES LINCOLN,DALKIA UTILITIES SERVICES PLC,"50,478.71",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,FUEL - STEAM,SITE ESTATES & FACILITIES LINCOLN,DALKIA UTILITIES SERVICES PLC,"165,579.11",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,LLOYDS PHARM DISPENSING COSTS,DIAGNOSTICS,LLOYDS PHARMACY,"363,444.92",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,BLOOD PRODUCTS,BLOOD & PATHLINKS,NHS BLOOD AND TRANSPLANT,"114,142.82",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,BLOOD PRODUCTS,BLOOD & PATHLINKS,NHS BLOOD AND TRANSPLANT,"79,884.09",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,MEDICAL LOCUMS,FINANCE,RIVERSIDE PROFESSIONALS LLP,"286,192.63",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,RENTS,CORPORATE ESTATES & FACILITIES,PROGRESS CARE HOUSING ASSOCIATION LTD,"93,464.27",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,CPAP MACHINES,BOSTONIAN,THE SNORING DISORDERS CENTRE LTD,"48,234.45",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,EXTERNAL CONTRACTS,FINANCE,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"93,362.81",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/03/2014,MEDICAL LOCUMS,FINANCE,NL MANAGED SERVICES LTD,"45,625.94",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,PHARMACY PILGRIM,DIAGNOSTICS,ROCHE PRODUCTS LTD,"29,337.60",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,PHARMACY PILGRIM,DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"26,718.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,SW SUPPORT,DIAGNOSTICS,ACCENTURE UK LTD,"76,884.23",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"41,911.20",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,PHARMACY,DIAGNOSTICS,CELGENE LIMITED,"52,416.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,OIL,SITE ESTATES & FACILITIES GRANTHAM,CORONA ENERGY,"36,487.60",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,EXTERNAL CONTRACTS,EXTERNAL CONTRACTS PAN TRUST,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"267,918.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,PATHOLOGY SERVICES,BLOOD & PATHLINKS,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"798,614.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,GAS,SITE ESTATES & FACILITIES GRANTHAM,CORONA ENERGY,"34,553.80",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,PROPERTY LEASE,CORPORATE ESTATES & FACILITIES,NHS PROPERTY SERVICES LTD,"28,316.60",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,COURSE FEES,OPERATIONAL MANAGEMENT SUPPORT,PETERBOROUGH & STAMFORD HOSPITALS,"88,106.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,EXTERNAL CONTRACTS,EXTERNAL CONTRACTS PAN TRUST,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"215,258.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"208,871.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,FUEL - STEAM,SITE ESTATES & FACILITIES BOSTON,COFELY LTD,"144,120.88",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,RECRUITMENT  EXPENSES,NURSING MANAGEMENT SUPPORT,THE PLACEMENT GROUP (UK) LTD,"108,120.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,PATHOLOGY SERVICES,BLOOD & PATHLINKS,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"798,614.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,OIL,SITE ESTATES & FACILITIES GRANTHAM,CORONA ENERGY,"43,770.54",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,PROPERTY LEASE,SITE ESTATES & FACILITIES LOUTH,NHS PROPERTY SERVICES LTD,"106,833.33",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,MEDICAL LOCUMS,FINANCE,RIVERSIDE PROFESSIONALS LLP,"293,089.62",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,CPAP MACHINES,BOSTONIAN,THE SNORING DISORDERS CENTRE LTD,"49,707.84",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,WATER AND SEWERAGE,SITE ESTATES & FACILITIES BOSTON,ANGLIAN WATER,"25,640.29",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,LOSSES _ COMPENSATIONS,CORPORATE AFFAIRS,BROWNE JACOBSON,"26,500.00",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,EQUIPMENT >5K,CAPITAL PROGRAM,OLYMPUS KEYMED LTD,"41,734.01",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,EQUIPMENT >5K,CAPITAL PROGRAM,OLYMPUS KEYMED LTD,"99,239.92",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,EQUIPMENT >5K,CAPITAL PROGRAM,OLYMPUS KEYMED LTD,"30,794.59",Mar-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/03/2014,ENGIN AND MAINT EXT CONTRACTS,DIRECTOR OF ESTATES & FACILITIES,EAST KIRKBY ENGINEERING CO LTD,"27,888.88",Mar-14
