Type,Activity,Sub-Activity,Source Level Value,Source Level Units (Metric),Bandwith/Frequency Range (Hz),Major Amplitude/Main Energy/Peak Frequency (Hz),Vessel Length (m),Vessel Speed (Knots),Engine (Type/Size),Additional Information,Data Limitations/Constraints,Confidence (H/M/L),Original reference,Cited in
Anthropogenic,Dredging,Backhoe dredger,163,dB re 1µPa2m2,"20-20,000",35-45,,,,Excavation of material,Not peer-reviewed,M,"Nedwell, J. R., Parvin, S. J., Brooker, A. G. & Lambert, D. R. 2008. Modelling and measurement of underwater noise associated with the proposed Port of Southampton capital dredge and redevelopment of berths 201/202 and assessment of the disturbance to salmon. 05 December 2008. Subacoustech Report No. 805R0444. Subacoustech.","World Organisation of Dredging Associations (WODA) (2013) Technical Guidance on: Underwater Sound in Relation to Dredging
June 2013"
Anthropogenic,Dredging,Backhoe dredger,179,dB re 1µPa2m2,"3-20,000",315,,,,Removing fractured rock,Not peer-reviewed,M,"Reine, K. J., D. G. Clarke, and C. Dickerson. 2012. Characterization of underwater sounds produced by a hydraulic cutter head dredge fracturing limestone rock. DOER Technical Notes Collection ERDC TN-DOER-E34, U.S. Army Engineer Research and Development Centre, Vicksburg, Mississippi, USA","World Organisation of Dredging Associations (WODA) (2013) Technical Guidance on: Underwater Sound in Relation to Dredging
June 2013"
Anthropogenic,Dredging,Backhoe dredger,168-186,dB re 1µPa m (RMS),"30 ->20,000",100-500,,,,"Omnidirectional
Continuous",Not peer-reviewed,M,"Thomsen, F., McCully, S.R., Wood, D., White, P. and Page, F., 2009. A generic investigation into noise profiles of marine dredging in relation to the acoustic sensitivity of the marine fauna in UK waters: PHASE 1 Scoping and review of key issues, Aggregates Levy Sustainability Fund / Marine Environmental Protection Fund (ALSF/MEPF), Lowestoft, UK.","UK Marine Monitoring and Assessment Strategy Community (UKMMAS) (2010). Charting Progress 2 Feeder report: Clean and Safe Seas. (Eds. Law, R. and Maes, T.). Published by Department for Environment Food and Rural Affairs on behalf of UKMMAS. 366pp."
Anthropogenic,Dredging,Clamshell dredger,150-162,dB re 1µPa m (SPL),"10-1,000",,,,,,,H,"Miles et al 1987 cited in Richardson, W.J., Green Jr, C.R., Malme, C.I. & Thomson, D.H. (1995). Marine Mammals and Noise. Academic Press, New York","ABPmer, 2004. Underwater noise during maintenance dredging and the potential effects on the migration of Atlantic Salmon in Southampton Water. R.1108. ABP Southampton"
Anthropogenic,Dredging,Cutter Suction Dredger,175,dB re 1µPa2m2,,"<2,500",,,,"Fracturing rock.
The intensity of sounds varied
depending on the amount or hardness of the material removed.","No documented frequency information
Not peer-reviewed",L,"Reine, K. J., D. G. Clarke, and C. Dickerson. 2012. Characterization of underwater sounds produced by a hydraulic cutter head dredge fracturing limestone rock. DOER Technical Notes Collection ERDC TN-DOER-E34, U.S. Army Engineer Research and Development Centre, Vicksburg, Mississippi, USA","WODA, 2013. Techincal guidance on: Underwater sound in realtion to dredging. "
Anthropogenic,Dredging,Cutter Suction Dredger,160-180 ,dB re 1µPa m (SPL),10-1000,,,,,,Not peer-reviewed,M,"Malme, C.I., Miles, P.R., Miller, G.W., Richardson, W.J., Roseneau, D.G., Thomson, D.H. and Greene, C.R. 1989. Analysis and ranking of the acoustic disturbance potential of petroleum industry activities and other sources of noise in the environment of marine mammals in Alaska. Final Report No. 6945 to the US Minerals Management Service, Anchorage, AK. BBN Systems and Technologies Corp. [Available from http://www.mms.gov].
","ABPmer, 2004. Underwater noise during maintenance dredging and the potential effects on the migration of Atlantic Salmon in Southampton Water. R.1108. ABP Southampton"
Anthropogenic,Dredging,Cutter Suction Dredger,172-185,dB re 1µPa m (RMS),"30->20,000",100-500,,,,"Continuous 
Omnidirectional",Not peer-reviewed,M,"Thomsen F, McCully SR, Wood D, White P, Page F, 2009. A generic investigation into noise profiles of marine dredging in relation to the acoustic sensitivity of the marine fauna in UK waters: PHASE 1 Scoping and review of key issues, Aggregates Levy Sustainability Fund / Marine Environmental Protection Fund (ALSF/MEPF), Lowestoft, UK;
Robinson SP, Theobald PD, Hayman G, Wang LS, Lepper PA, Humphrey V, Mumford S (2011) – Measurement of underwater noise arising from marine aggregate dredging operations-MEPF report 09/P108, Marine Aggregate Levy Sustainability Fund",Central Dredging Association (CEDA) (2011) Underwater Sound in Relation to Dredging. CEDA Position Paper - 1 November 2011
Anthropogenic,Dredging,Suction dredger,160,dB re 1µPa m,,380,,,,,,H,"Evans, P.G.H. 1996. Human disturbance of cetaceans. Pp. 279-299. In: Exploitation of Mammals (eds. N. Dunstone and V. Taylor). Cambridge University Press, London.","Evans, PGH (2003) Shipping as a possible source of disturbance
to cetaceans in the ASCOBANS region. ASCOBANS
4th Meeting of the Parties Document MOP4/Doc. 17(S) Rev.1
Esbjerg, Denmark, 19-22 August 2003 Dist.: 1 August 2003"
Anthropogenic,Dredging,Trailer Suction Hopper Dredger,187,dB re 1µPa2m2,"30-63,000",40-500,,,,Sand extraction,Not peer-reviewed,M,"de Jong, C. A. F., Ainslie, M. A., Dreschler, J., Jansen, E., Heemskerk, E. & Groen, W. 2010. Underwater noise of Trailing Suction Hopper Dredgers at Maasvlakte 2: Analysis of source levels and background noise – TNO-DV 2010 C335.",World Organisation of Dredging Associations (WODA) (2013) Technical Guidance on: Underwater Sound in Relation to Dredging June 2013
Anthropogenic,Dredging,Trailer Suction Hopper Dredger,150-170,dB re 1µPa m (SPL),,,,,,UKD Bluefin,"A linear rather than a log function was used to derive the source level (thus underestimating actual source level)
No documented frequency information
Not peer-reviewed",L,"Nedwell, J., Turnpenny. A., Langworthy, J. and Edwards, B. 2003 Measurement of underwater noise during piling at the Red Funnel terminal, Southampton and observation of its affect on caged fish. Report to Redfunnel No. 558 R0207","ABPmer, 2004. Underwater noise during maintenance dredging and the potential effects on the migration of Atlantic Salmon in Southampton Water. R.1108. ABP Southampton"
