Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,01/03/2018,Officer ESC (O),Information Management Services,HR – PENSION COMPENSATION,1900537496,"30,738.21",Officer ESC (O),PO20 1EL,,,,
HMRC,HMRC,01/03/2018,Desktop Managed Serv,Information Management Services,FUJITSU SERVICES LTD,5100085105,"113,797.13",Desktop Managed Serv,W1U 3BW,,,,
HMRC,HMRC,01/03/2018,Desktop Managed Serv,Information Management Services,FUJITSU SERVICES LTD,5100085165,"31,632.63",Desktop Managed Serv,W1U 3BW,,,,
HMRC,HMRC,01/03/2018,Marketing Promotion,Corporate Communications,GfK UK Ltd,5100085205,"23,940.00",Marketing Promotion,E14 5LQ,,,,
HMRC,HMRC,01/03/2018,Contingnt Labr IT,Digital,EQUAL EXPERTS UK LTD,5100085220,"187,193.75",Contingnt Labr IT,WC1H 9BB,,,,
HMRC,HMRC,01/03/2018,Contingnt Labr IT,Information Management Services,EQUAL EXPERTS UK LTD,5100085220,"512,643.75",Contractor charges,WC1H 9BB,,,,
HMRC,HMRC,01/03/2018,External Database IS,Estates,TRUSTMARQUE SOLUTIONS LTD,5100085221,"29,136.00",External Database IS,YO32 9GZ,,,,
HMRC,HMRC,01/03/2018,Proprietry sys maint,Information Management Services,ATOS IT SERVICES UK LTD,5100085264,"274,800.70",Variable Charges for HMRC Engage,WV10 6UH,,,,
HMRC,HMRC,02/03/2018,Chairs,Change Portfolio,SENATOR INTERNATIONAL LTD,5100080664,"25,860.79",Chairs,BB5 5YE,,,,
HMRC,HMRC,02/03/2018,Desktop Managed Serv,Information Management Services,FUJITSU SERVICES LTD,5100085862,"107,848.82",Desktop Managed Serv,W1U 3BW,,,,
HMRC,HMRC,02/03/2018,Consultancy - Legal,Change Portfolio,SOL SERVICES LTD,5100085896,"245,792.84",Consultancy - Legal,MK1 1EX,,,,
HMRC,HMRC,05/03/2018,Conferences,HR,CALDER CONFERENCES LTD,1900537686,"26,080.79",Conferences,LS16 6RF,,,,
HMRC,HMRC,05/03/2018,IT consultancy,Information Management Services,EQUAL EXPERTS UK LTD,5100085911,"33,225.00",IT consultancy,WC1H 9BB,,,,
HMRC,HMRC,05/03/2018,Contingnt Labr IT,Change Portfolio,EQUAL EXPERTS UK LTD,5100085912,"316,643.75",Contingnt Labr IT,WC1H 9BB,,,,
HMRC,HMRC,05/03/2018,Min AW non-struc VAT,Estates,PLACE PARTNERSHIP LTD,5100085971,"-2,125.31",Minor New works correction at Worcester County Hall,WR5 1JR,,,,
HMRC,HMRC,05/03/2018,Min AW non-struc VAT,Estates,PLACE PARTNERSHIP LTD,5100085971,"27,722.90",Minor New works at Worcester County Hall,WR5 1JR,,,,
HMRC,HMRC,05/03/2018,Marketing Promotion,Corporate Communications,GfK UK Ltd,5100086069,24727.5,Marketing Promotion,E14 5LQ,,,,
HMRC,HMRC,05/03/2018,Contingnt Labr IT,Change Portfolio,BAE SYSTEMS APPLIED INTELLIGENCE,5100086288,59103.76,Contingnt Labr IT,GU2 7YP,,,,
HMRC,HMRC,05/03/2018,Document destruction,Estates,DATA SOLUTIONS 2016 LTD,5100086358,"55,130.10",Document destruction costs (January 2018),RH1 5DY,,,,
HMRC,HMRC,05/03/2018,Document destruction,Estates,DATA SOLUTIONS 2016 LTD,5100086359,"48,690.17",Document destruction costs (December 2017),RH1 5DY,,,,
HMRC,HMRC,05/03/2018,Temp clerical/admin,Commercial Directorate,BUYINGTEAM LTD t/a Proxima,5100086361,"43,631.50",Expenditure relates to the provision of services by the Commercial Delivery Team - 'BuyingTeam Ltd trading as Proxima' during the month of February 2018.,EC2V 6DN,,,,
HMRC,HMRC,05/03/2018,Samplng & Analytical,Fraud Investigation Service,LGC LTD,5100086374,"74,994.40",Samplng & Analytical,TW11 0LY,,,,
HMRC,HMRC,06/03/2018,Data Purchases,Risk & Intelligence,INFORMA UK LTD,5100085203,"90,104.32",Data Purchases - renewal of annual contracts for National Co-ordination Unit.,CO3 3LP,,,,
HMRC,HMRC,06/03/2018,Disposal Seized Gds,Fraud Investigation Service,ENVA NORTHERN IRELAND LTD,5100086377,"124,800.00",Disposal Seized Goods,BT30 6LJ,,,,
HMRC,HMRC,06/03/2018,Proprietry sys maint,Information Management Services,ATOS IT SERVICES UK LTD,5100086381,"32,234.60",Variable Charges for Print & PIN Services for March 18,WV10 6UH,,,,
HMRC,HMRC,06/03/2018,Diesel fuel,Fraud Investigation Service,ALLSTAR BUSINESS SOLUTIONS LTD,5100086405,"60,692.56",Vehicle Fleet Services,SN5 6PS,,,,
HMRC,HMRC,06/03/2018,Contingnt Labr IT,Digital,ATELIER7,5100086447,99206.35,Contingnt Labr IT,RH7 6EP,,,,
