X (Latitude),Y (Longitude),Name,Location,Transcription,Link to Image
-4.161144,50.363099,Admiral Sir T M Hardy (1769-1839),Durnford Street. To the right of the door at No.156.,"HERE / REPUTEDLY LIVED / ADMIRAL SIR T.M. HARDY / CART.. C.C.B.. BORN 1769 / CAPTAIN OF THE FLEET / AT TRAFALGAR 1805 / AND WITNESS TO NELSON'S / IMMORTAL DYING WORDS / ABOARD H.M.S. VICTORY / ""KISS ME HARDY"" / FIRST SEA LORD 1830-1834 / GOVERNOR / GREENWICH HOSPITAL / 1834 / DIED 1839 //",https://lh4.googleusercontent.com/proxy/kMEGE1btp5Pno1g1h45Ps5dTnCp2sn_X5JskmWFxwSqP0ZMMEm1dwSZONMIeEa7jB2rxTKAjPoEHuzx59ijG9mghaLXGnsD6WSaOkvq1fEOHTg
-4.133741,50.37078,Bretonside - French Raid (1403),"Mayflower House, Bretonside. On wall on corner of building, at junction with Bretonside and Hawkers Avenue.","THE NAME / ""BRITON SIDE"" / COMMEMORATES THE / INVASION OF PLYMOUHT / ON ST LAWRENCE DAY, 1403 / UNDER THE / SIEUR DU CHASTEL. / SIX HUNDRED HOUSES WERE / BURNT IN THIS VICINITY, BUT / THE TOWNSMEN FINALLY / REPULSED HE INVADERS / WITH GREAT LOSS.",https://lh4.googleusercontent.com/proxy/cGoqxKDQtrnUCzw-11SmB-Ikp7aInbPZm6bXuOZ8nvP0unlyb-DLPMjrJ7eQudo63paiAjO6l6LiGSfhtGFDtuyM6s_1PaPTJmlEuTMy0QaHdw
-4.154082,50.402445,"Chard, Lt. J R M (1847 - 1897) - Rorke's Drift","Kitto Sports Centre. Walk from car park, past entrance to centre (on left). Plaque high up on wall.",LT. J R M CHARD V.C. / ROYAL ENGINEERS / 21.12.1847 - 1.11.1897 / THIS PLAQUE COMMEMORATES / THE BIRTHPLACE OF/ LT. CHARD. / THE HERO OF THE DEFENCE / OF RORKE'S DRIFT BY / 104 MEN AGAINST THE / ONSLAUGHT OF 4000 / ZULU WARRIORS ON THE / 22ND JANUARY 1879 //,https://lh4.googleusercontent.com/proxy/ABMKRJBJsL24HgbiA_7ktkFlC6_k-fTCE_pFubig5nn0Ai7d5TG6Cucn3U20syDV9RtMPrtAf4MthURRAg5WMDuOcKVGEIXM2qATpuXfQmgvbA
-4.176567,50.412953,"Drake, Sir Francis - married at St. Budeaux Church","The Green, Crownhill Road. On left side of gate into Church.",ST BUDEAUX CHURCH/CONSTRUCTED / IN 1563 AND CONTAINING / RELICS FROM THE PREVIOUS / CHAPEL BUILT BEFORE 1066./ IN 1569 SIR FRANCIS DRAKE / HERE MARRIED MARY NEWMAN./ THE SITE OF TWO BATTLES DURING / THE CIVIL WAR WHEN THE CHURCH / WAS ALMOST DESTROYED./ RESTORED IN 1653 //,https://lh3.googleusercontent.com/proxy/A52MSRiKEhLbkLqNEs57EmFjTa_YmthUYmA7F1O8PyUDBhlz174Nis4AeTposTqTbn7lG4VpM8-aUeTuu4Fe4WSlqV3NGWzlAaKfPthTAfiktQ
-4.137575,50.385499,"Drake, Sir Francis (c.1540 - 1592)  - site of house",Hyde Park Road. High on wall of Hyde Park Primary School next to road.,ON THIS SITE / STOOD / THORNHILL / HOUSE / WHICH IN 1592 WAS THE / PROPERTY OF / EDMUND PARKER / AND IN THE OCCUPATION OF / SIR FRANCIS / DRAKE //,https://lh3.googleusercontent.com/proxy/1PNRStIrSZkcW-AqLOeMoRt_5H9GsimxVyYNtQKnqIhUOWeq_OGHjxRG2t48HwRTHWPHjKCQsCcxK4sCz3Nahnh6 https://lh3.googleusercontent.com/proxy/6-O0wip1b3AjsyxnUvplQ16kWtGBNs17F_-v24mlc7DSnRGVe-BaB1Ru71ZXLMwu7NphJTHtScuV7NfkmuLTgNUgnY1Ylkt1zq_m-xrsA2Jo1A
-4.141811,50.364386,Eddystone Light (by Douglass 1882),"Smeaton's Tower, Plymouth Hoe Promenade. On Smeaton's Tower, north facing.",EDDYSTONE LIGHT / THIS BRONZE / COMMEMORATES THE CENTENARY / OF THE REKINDLING OF THE / EDDYSTONE LIGHT ON 18-5-1882 / ON COMPLETION OF THE TOWER / BUILT BY JAMES DOUGLASS. / IT ALSO MARKS THE COMMISSIONING / ON 28-7-1982 OF AN UNMANNED / LIGHT IN THAT TOWER STANDING / 14 MILES SEAWARD OF THIS / PLACE ON THE NOTORIUS / EDDYSTONE REEF / IN SALUTEM OMNIUM.,https://lh6.googleusercontent.com/proxy/b5nYMxxfJpQqqLc-tsnuINDPLe4EitFddOaKA6rGO8p62FW_qw5hoBuEc6zzwudaoKm078DR0FXsG98PfHAEg9AqnHxxnk9gDyFRlbn6iu7uoQ
-4.175644,50.369086,Egyptian House (by Foulston 1823),"Ker Street, Devonport. On Egyptian House, to left of entrance.",EGYPTIAN / HOUSE / DESIGNED IN THE EGYPTIAN STYLE / FOLLOWING THE POPULARISATION OF / EGYPTIAN ARCHITECTURE AFTER THE / NAPOLEONIC CAMPAIGNS / ONE OF ONLY TWO EXAMPLES IN THE COUNTRY./ JOHN/ FOULSTON / 1823 //,https://lh6.googleusercontent.com/proxy/Ss9z3AvXvPc0xLNdNOW-blb8aUPf67ubE6-t6r4fqBXRHE0dw4BzpaIeA7X3shHmcIiyk_iDcaIQpBjikrV4PfycIA36QFedkifRgclwzUe27A
-4.16127,50.361503,Firestone Bay Artillery Tower,"Durnford Street. North face of Artillery Tower, overlooking Firestone Bay.","FIRESTONE BAY ARTILLERY TOWER / THIS SMALL BUILDING / FORMED PART OF A SYSTEM OF / COASTAL DEFENSES CONSTRUCTED / UPON ""DIVERS FRONTIERS / OF THE REALME"" / DURING THE REIGN OF / HENRY VIII. 1509 - 1547 / SIMILAR TOWERS SURVIVE AT DEVILS POINT AND FISHERS NOSE.",https://lh5.googleusercontent.com/proxy/136QfDAIUxVu6y8FM8TZteg9sKxgFWL1YMOYULNG4EWsCcNcfklqDu0txNLaO4y5iHmvuAfmqZmsxEVkHC-VhuSHrgAlNVLD0tO0uudU7eKSFA
-4.142795,50.370595,Frankfort or West Gate (site of),"Armada Way. Pearl Assurance Building, high up.",HERE / FORMALLY STOOD / THE FRANKFORT / OR / WEST GATE / OF THE EARLY 15TH CENTY / WALLED TOWN OF PLYMOUTH / FIRST REMOVED 1661 / SUBSEQUENTLY REBUILT / AND FINALLY REMOVED / 1783. //,https://lh3.googleusercontent.com/proxy/_AudTWIDDvjT7WofnMtbUV_H14FA_l4EDPPY9foyNk6FKObRlfTVsYE4E5176ApyTixiV7zSaodxj1EPSpPrED78UQ3TjxDPFf3pzfZz6aDC1A
-4.143867,50.367337,"Gibbons, Stanley (1840 - 1913) - pioneer stamp collector","Lockyer Street, The Hoe. High on wall of flats on right of street, before it becomes Osborne Place.","STANLEY GIBBONS / ON THIS SITE FORMERLY STOOD / NO. 8 LOCKYER STREET./ FROM 1872 HOME AND BUSINESS / PREMISES OF STANLEY GIBBONS, / PHILATELIST, BORN / PLYMOUTH 1840.",https://lh4.googleusercontent.com/proxy/o2bDxAQ9z6L0b3Hu-ExcMG2DNlkAVLpi78FwhBn7Sl-NtLYxvR9pLjZJWiZy-8VFDfdggIqMBFM1Jf652oXc9-JGOcXi0PMjP-V6Zv3yGsiOpg
