Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Derby City,01/03/2013,Independent Sector,Winter Pressures,DERBY CITY COUNCIL,11919012,850000
Department of Health,NHS Derby City,01/03/2013,Voluntary Sector,SLA-Treetops Hospice,TREETOPS HOSPICE TRUST,11918993,28122
Department of Health,NHS Derby City,04/03/2013,Services Received - NHSTs,CSO-Informatics SLAs,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,11925808,181748
Department of Health,NHS Derby City,04/03/2013,Healthcare Srv Rec PCTs,SLA-EMSCG-MI-Perinatal,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11904233,133330
Department of Health,NHS Derby City,04/03/2013,Healthcare Srv Rec PCTs,CAMHS-EMSCG-Tier 4,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11904235,81398.91
Department of Health,NHS Derby City,04/03/2013,Healthcare Srv Rec PCTs,SLA-EMSCG-MI-Low Secure,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11925797,428840
Department of Health,NHS Derby City,05/03/2013,Commercial Sector,DHU-Walk In Centre,DERBYSHIRE HEALTH UNITED LTD,11940287,108815.66
Department of Health,NHS Derby City,05/03/2013,Commercial Sector,Nuffield Hospital,NUFFIELD HEALTH,11940298,93123
Department of Health,NHS Derby City,07/03/2013,Hlthcre-Foundation Trsts,DAAT Pooled Treatment,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11950977,113346
Department of Health,NHS Derby City,07/03/2013,Hlthcre-Foundation Trsts,Alcohol Service-HALT/SCAM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11950978,39200
Department of Health,NHS Derby City,07/03/2013,Hlthcre-Foundation Trsts,SLA-DHC FT-Comm Hlth Serv,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11950979,675026
Department of Health,NHS Derby City,07/03/2013,Hlthcre-Foundation Trsts,SLA-DHC FT-L/D,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11950979,166345
Department of Health,NHS Derby City,07/03/2013,Hlthcre-Foundation Trsts,SLA-DHC FT-M/I,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,11950979,2453927
Department of Health,NHS Derby City,07/03/2013,Hcare Srv Rec NHS Trust,SLA-East Mids Amb Ser NT,EAST MIDLANDS AMBULANCE SERVICES NHS TRUST,11950983,593485
Department of Health,NHS Derby City,07/03/2013,Healthcare Srv Rec PCTs,SLA-EMSCG-MI-Low Secure,LEICESTERSHIRE COUNTY AND RUTLAND PRIMARY CARE TRUST,11945258,-37031
