Body,Body Name,Transaction No.,Invoice Ref.,Vendor name,Expense Code,Expense Type,Date,Amount
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460575,142702,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,04 November 2011,£117.64
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460579,144633,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,04 November 2011,£24.44
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460581,144661,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,04 November 2011,£9.40
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460584,144632,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,04 November 2011,£31.96
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460583,144633,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,04 November 2011,£74.94
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460582,144628,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,04 November 2011,£53.58
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460580,144610,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,04 November 2011,£40.42
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460585,144611,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,04 November 2011,£23.50
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460593,143292,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,04 November 2011,£74.94
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460592,143647,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,04 November 2011,£141.48
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460590,144631,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,04 November 2011,£3.76
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460588,143632,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,04 November 2011,£187.10
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,460587,144630,A&E FIRE EQUIPMENT LTD,C-H46200-1104,Fire. Syst.Serv-Council House repairs,04 November 2011,£15.04
