Department Family,Entity,Voucher Date,Expense Type,Expense Area,Supplier,Transaction Number,Tax Code,Amount,Vat Registration Number
NHS,NHS Hertfordshire,07/07/2011,Pest Control,Facilities Management,WHITEOAKS,10056051,R,12.38,466 4777 01
NHS,NHS Hertfordshire,07/07/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10056051,R,13.68,466 4777 01
NHS,NHS Hertfordshire,04/08/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10059495,R,13.68,466 4777 01
NHS,NHS Hertfordshire,07/07/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10056051,R,18.74,466 4777 01
NHS,NHS Hertfordshire,04/08/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10059495,R,18.74,466 4777 01
NHS,NHS Hertfordshire,07/07/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10056051,R,20.43,466 4777 01
NHS,NHS Hertfordshire,04/08/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10059495,R,20.43,466 4777 01
NHS,NHS Hertfordshire,04/08/2011,Pest Control,Facilities Management,WHITEOAKS,10059495,R,22.37,466 4777 01
NHS,NHS Hertfordshire,07/07/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10056051,R,286.54,466 4777 01
NHS,NHS Hertfordshire,04/08/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10059495,R,286.54,466 4777 01
NHS,NHS Hertfordshire,25/07/2011,CATS - Dermatology Watford,Primary Care Clinical Services (CATS),WEST HERTFORDSHIRE HOSPITALS N,10058363,0,298.45,
NHS,NHS Hertfordshire,07/07/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10056051,R,322.00,466 4777 01
NHS,NHS Hertfordshire,07/07/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10056051,R,322.00,466 4777 01
NHS,NHS Hertfordshire,04/08/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10059495,R,322.00,466 4777 01
NHS,NHS Hertfordshire,04/08/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10059495,R,322.00,466 4777 01
NHS,NHS Hertfordshire,07/07/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10056051,R,324.27,466 4777 01
NHS,NHS Hertfordshire,04/08/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10059495,R,324.27,466 4777 01
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,338.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,338.00,
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,338.00,
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,352.59,238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,352.59,238 0343 79
NHS,NHS Hertfordshire,14/07/2011,CATS - Eye Service (THE RED HOUSE),Primary Care Clinical Services (CATS),THE PRACTICE SERVICES LTD,10057167,0,367.00,927298975
NHS,NHS Hertfordshire,05/07/2011,CATS - Dermatology Watford,Primary Care Clinical Services (CATS),WEST HERTFORDSHIRE HOSPITALS N,10055602,0,373.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,404.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,404.00,
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,404.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,430.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,430.00,
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,430.00,
NHS,NHS Hertfordshire,26/07/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10058446,R,456.95,238 0343 79
NHS,NHS Hertfordshire,16/08/2011,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10061258,R,456.95,238 0343 79
NHS,NHS Hertfordshire,09/08/2011,CATS - Eye Service (THE RED HOUSE),Primary Care Clinical Services (CATS),THE PRACTICE SERVICES LTD,10060069,0,474.40,927298975
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,476.00,
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058822,0,476.00,
NHS,NHS Hertfordshire,04/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10059508,0,476.00,
NHS,NHS Hertfordshire,07/07/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10056051,R,502.40,466 4777 01
NHS,NHS Hertfordshire,04/08/2011,Contract Cleaning,Facilities Management,WHITEOAKS,10059495,R,502.40,466 4777 01
NHS,NHS Hertfordshire,01/08/2011,Business Rates,Property Management,HERTFORDSHIRE COMMUNITY NHS TRUST,10058821,0,522.00,
