Department,Merchant,Merchant Location,MCC,Mcc description,Date Posted,Original Amount,
GOVERNANCE,ARGOS LTD,"PENRITH,  CA11 7PG",5310,Discount Stores,11/05/2017,24.99,
GOVERNANCE,FACEBK  V3VZYCELN2,"650-543-7818, IRL UNKNOWN",7311,Advertising Services,01/06/2017,59.69,
GOVERNANCE,STK SHUTTERSTOCK.COM,"02070234958, GBR EC1M 4BH",7333,"Commercial Photography, Art, Graphics",26/05/2017,29,
GOVERNANCE,MAILCHIMP    MONTHLY,"MAILCHIMP.COM, GA 30308",7399,Business Services-Not Elsewhere Classified,15/05/2017,66.82,
COMMUNITIES,WWW.BROWNFIELDBREIFING,"INTERNET, GBR SY3 8RJ",2741,Miscellaneous Publishing and  Printing,15/05/2017,66,
GOVERNANCE,GUARDIAN NEWS & MEDIA,"MANCHESTER,  M1 3WR",2741,Miscellaneous Publishing and  Printing,29/05/2017,900,
COMMUNITIES,WWW.POSTURITE.CO.UK,"INTERNET, GBR BN26 6SZ",5021,Commercial Furniture,31/05/2017,76.74,
FINANCE,STATIONERY 4 LESS,"PENRITH CA11,  CA11 7BP",5111,"Stationary, Office Supplies, Printing and Writing",22/05/2017,3.98,
COMMUNITIES,CITY IRRIGATION LIMITE,"KESTON, GBR BR2 8HG",5251,Hardware Stores,24/05/2017,295.32,
FINANCE,B&M RETAIL LTD,"PENRITH,  CA11 7PG",5310,Discount Stores,29/05/2017,7.98,
FINANCE,B&M RETAIL LTD,"PENRITH,  CA11 7PG",5310,Discount Stores,03/05/2017,21.93,
COMMUNITIES,INSTOCK DISPOSABLES LT,"CARLISLE,  CA3 0HA",5811,Caterers,25/05/2017,211.15,
COMMUNITIES,JOSEPH COWPER,"PENRITH,  CA11 7AY",5912,"Drug Stores, Pharmacies",03/05/2017,6.99,
FINANCE,Amazon UK Marketplace,"800-279-6620, LUX L2338",5942,Book Stores,23/05/2017,2.44,
FINANCE,Amazon UK Marketplace,"800-279-6620, LUX L2338",5942,Book Stores,09/05/2017,3.47,
FINANCE,Amazon UK Marketplace,"800-279-6620, LUX L2338",5942,Book Stores,08/05/2017,3.74,
FINANCE,Amazon UK Marketplace,"800-279-6620, LUX L2338",5942,Book Stores,23/05/2017,5.39,
COMMUNITIES,Amazon UK Marketplace,"800-279-6620, LUX L2338",5942,Book Stores,11/05/2017,12.66,
COMMUNITIES,Amazon UK Marketplace,"800-279-6620, LUX L2338",5942,Book Stores,29/05/2017,14.98,
COMMUNITIES,Amazon UK Marketplace,"800-279-6620, LUX L2338",5942,Book Stores,08/05/2017,15.98,
COMMUNITIES,Amazon UK Marketplace,"800-279-6620, LUX L2338",5942,Book Stores,11/05/2017,84.64,
COMMUNITIES,AMAZON UK RETAIL AMAZO,"AMAZON.CO.UK, LUX 00000",5999,Miscellaneous and Specialty Retail Stores,22/05/2017,17.83,
COMMUNITIES,CENTRE TANK SERVICES,"SUTTON COLDFI,  B76 1AH",5999,Miscellaneous and Specialty Retail Stores,22/05/2017,27.6,
COMMUNITIES,AMAZON UK RETAIL AMAZO,"AMAZON.CO.UK, LUX 00000",5999,Miscellaneous and Specialty Retail Stores,01/06/2017,38.79,
COMMUNITIES,AMAZON.CO.UK,"AMAZON.CO.UK, LUX 00000",5999,Miscellaneous and Specialty Retail Stores,30/05/2017,254.3,
COMMUNITIES,BRAMPTON SKIP HIRE LTD,"CARLISLE, GBR CA6 4RW",7394,"Equipment Rental and Leasing Services, Tool Rental",29/05/2017,396,
COMMUNITIES,EB  CONNECTED LOCAL GO,"801-413-7200, IRL DUBLIN 8",7399,Business Services-Not Elsewhere Classified,01/06/2017,300,
COMMUNITIES,THE RAMP PEOPLE,"03331234111,  KT10 8BL",7399,Business Services-Not Elsewhere Classified,29/05/2017,319.2,
COMMUNITIES,WWW.STEEPEDGE.COM,"01663 750160,  CA7  8EU",7829,Motion Picture and Video Tape Production,17/05/2017,9.99,
COMMUNITIES,CIEH,"LNDON SE1 001,  SE1 8DJ",8699,Membership Organizations-Not Elsewhere Classified,10/05/2017,568,
GOVERNANCE,DISCLOSURE SCOT,"EDINBURGH, GBR G51 1DZ",9399,Government Services-Not Elsewhere Classified,29/05/2017,25,
FINANCE,PROVISON-COMM.COM,"01438 310 510,  CT5  3BJ",4812,Telecommunication Equipment Including Telephone Sa,01/06/2017,145.99,
FINANCE,TRADE COPIERS LTD,"PENRITH, GBR CA11 9BL",5044,"Office, Photographic, Photocopy, and Microfilm Equ",04/05/2017,82.66,
FINANCE,EDEN DISTRICT COUN,"PENRITH,  CA11 7QF",9222,Fines,29/05/2017,1.4,
COMMUNITIES,Amazon UK Marketplace,"800-279-6620, LUX L2338",5942,Book Stores,24/05/2017,34.98,
