 1 ORGANISATION NAME,2 PURPOSE OF SPEND,3 DIRECTORATE/ SERVICE RESPONSIBLE,4 START DATE,5 END DATE,6 AWARD AMOUNT (£),7 SUPPLIER/ BENFICIARY NAME,8 REGISTERED CHARITY NUMBER
ROCHDALE BOROUGH COUNCIL,"“CHALLENGING DIVISIVE EXTREMIST NARRATIVES THROUGH A PEER MENTOR AND LEADERSHIP PROGRAMME” – RBC FUNDING, APR-OCTOBER 2016      COST = £3800.00",NEIGHBOURHOODS,23/01/2017,31/03/2017,3800.00,ROCHDALE BANGLADESHI PARTNERSHIP PROJECT,
ROCHDALE BOROUGH COUNCIL,ADDITIONAL GRANT PAYMENT,NEIGHBOURHOODS,02/06/2016,11/06/2016,1886.51,SPOTLAND COMMUNITY CENTRE,1055809
ROCHDALE BOROUGH COUNCIL,ALLOCATED FROM 106 MONEY FOR JUNIOR PITCH AND GOAL POSTS,NEIGHBOURHOODS,01/02/2017,31/03/2017,17828.00,ROCHDALE ST CLEMENTS FOOTBALL CLUB,
ROCHDALE BOROUGH COUNCIL,ANNUAL GRANT,ECONOMY,01/04/2016,31/03/2017,6930.00,ROCHDALE BOROUGH SHOPMOBILITY,1047613
ROCHDALE BOROUGH COUNCIL,ANNUAL GRANT,ECONOMY,01/04/2016,31/03/2017,6930.00,ROCHDALE BOROUGH SHOPMOBILITY,1047613
ROCHDALE BOROUGH COUNCIL,ANNUAL GRANT,ECONOMY,01/04/2016,31/03/2017,6930.00,ROCHDALE BOROUGH SHOPMOBILITY,1047613
ROCHDALE BOROUGH COUNCIL,ANNUAL GRANT,ECONOMY,01/04/2016,31/03/2017,6930.00,ROCHDALE BOROUGH SHOPMOBILITY,1047613
ROCHDALE BOROUGH COUNCIL,ANNUAL GRANT PAYMENT TO ROCHDALE HOMELESSNESS FORUM- BRHAIN ADMINISTRATION COSTS (16-17),NEIGHBOURHOODS,01/04/2016,31/03/2017,2820.00,ROCHDALE HOMELESSNESS FORUM,
ROCHDALE BOROUGH COUNCIL,ANNUAL GRANT TO SUPPORT HEYWOOD PENSIONERS ASSOCIATION ACTIVITIES 2016/17,NEIGHBOURHOODS,01/04/2016,31/03/2017,1000.00,HEYWOOD PENSIONERS ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,ANNUAL GRANT TO SUPPORT ROCHDALE PENSIONERS ASSOCIATION ACTIVITIES,NEIGHBOURHOODS,01/04/2016,31/03/2017,1000.00,ROCHDALE PENSIONERS ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,CE/01/16 GRANT PAYMENT (IT`S A KNOCKOUT COMMUNITY CHALLENGE),NEIGHBOURHOODS,21/02/2017,28/02/2017,2000.00,VINTAGE WORX COMMUNITY DEVELOPMENT TRUST,
ROCHDALE BOROUGH COUNCIL,CE/03/16 GRANT PAYMENT (DEEPLISH CC COMMUNITY ENGAGEMENT EVENT),NEIGHBOURHOODS,05/07/2016,14/08/2016,400.00,DEEPLISH COMMUNITY CENTRE,1090588
ROCHDALE BOROUGH COUNCIL,CE/06/16 GRANT PAYMENT (7TH A ROCHDALE REVAMP),NEIGHBOURHOODS,21/12/2016,31/03/2017,2000.00,7TH ROCHDALE SCOUT GROUP,
ROCHDALE BOROUGH COUNCIL,CE/07/15 GRANT PAYMENT (DEEPLISH COMMUNITY NEWSLETTER),NEIGHBOURHOODS,01/04/2016,31/01/2017,900.00,DEEPLISH COMMUNITY CENTRE,1090588
ROCHDALE BOROUGH COUNCIL,CE/08/15 GRANT PAYMENT (POETRY FOR HUMANITY AND EXHIBITION),NEIGHBOURHOODS,01/04/2016,31/03/2017,1000.00,MULTICULTURAL RESOURCE CENTRE,1127743
ROCHDALE BOROUGH COUNCIL,CE/10/15 GRANT PAYMENT (PETRUS INCREDIBLE MEDICAL ALLOTMENT),NEIGHBOURHOODS,01/04/2016,31/03/2017,944.51,PETRUS,510904
ROCHDALE BOROUGH COUNCIL,CE/11/16 GRANT PAYMENT (COMMUNITY ENGAGEMENT & COHESION THROUGH SPORTS),NEIGHBOURHOODS,01/04/2016,31/03/2017,1500.00,PAKISTANI AND KASHMIRI COMMUNITY ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,CE/13/16 GRANT PAYMENT (POETRY EVENT),NEIGHBOURHOODS,01/04/2016,31/03/2017,500.00,MULTICULTURAL RESOURCE CENTRE,1127743
ROCHDALE BOROUGH COUNCIL,CE/14/15 GRANT PAYMENT (MY JOURNEY THROUGH ARTS),NEIGHBOURHOODS,01/04/2016,31/03/2017,2475.00,MULTICULTURAL ARTS AND MEDIA CENTRE,1037518
ROCHDALE BOROUGH COUNCIL,CE/17/16 GRANT PAYMENT (KASHMIR KIYA HAI (WHAT IS KASHMIRI)),NEIGHBOURHOODS,01/04/2016,31/03/2017,1500.00,ROCHDALE KASHMIRI ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,CG/03/16 GRANT PAYMENT (SCHOOL YARD VERTICAL GARDEN),NEIGHBOURHOODS,01/04/2016,31/03/2017,100.00,ST MARYS CE PRIMARY SCHOOL PTA,
ROCHDALE BOROUGH COUNCIL,CG/05/16 GRANT PAYMENT (RINSE & RECYCLE),NEIGHBOURHOODS,01/04/2016,31/03/2017,2200.00,PAKISTANI AND KASHMIRI COMMUNITY ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,CG/06/16 GRANT PAYMENT (ROCHDALE TOWNSHIP IN BLOOM 2016),NEIGHBOURHOODS,10/02/2017,22/02/2017,5000.00,N E E V A,
ROCHDALE BOROUGH COUNCIL,CG/07/15 GRANT PAYMENT (PETRUS INCREDIBLE MEDICAL ALLOTMENT),NEIGHBOURHOODS,01/04/2016,31/03/2017,2500.00,PETRUS,510904
ROCHDALE BOROUGH COUNCIL,CG/09/16 GRANT PAYMENT (DENEHUST PARK TREES AND GARDEN RESTORATION),NEIGHBOURHOODS,21/12/2016,31/03/2017,1203.00,FRIENDS OF DENEHURST PARK,
ROCHDALE BOROUGH COUNCIL,CONTRACT - 01/01/17-31/03/17,NEIGHBOURHOODS,01/04/2016,31/03/2017,36180.00,PETRUS,510904
ROCHDALE BOROUGH COUNCIL,CONTRACT - 01/04/16-30/06/16,NEIGHBOURHOODS,01/04/2016,31/03/2017,36180.00,PETRUS,510904
ROCHDALE BOROUGH COUNCIL,CONTRACT - 01/07/16-30/09/16,NEIGHBOURHOODS,01/04/2016,31/03/2017,36180.00,PETRUS,510904
ROCHDALE BOROUGH COUNCIL,CONTRACT - 01/10/16-31/12/16,NEIGHBOURHOODS,01/04/2016,31/10/2016,36180.00,PETRUS,510904
ROCHDALE BOROUGH COUNCIL,CW/35/13 GRANT PAYMENT (NORDEN OLD LIBRARY SECURITY GATE),NEIGHBOURHOODS,18/01/2017,31/03/2017,500.00,NORDEN COMMUNITY TRUST,1122737
ROCHDALE BOROUGH COUNCIL,ENHANCEMENT OF PROVISION OF EMERGENCY ACCOMMODATION SERVICES FOR PEOPLE EXCLUDED  FROM OTHER SERVICES AND AT RISK OF SLEEPING ROUGH. (£4500 PER QUARTER - 2016/17),NEIGHBOURHOODS,01/04/2016,31/03/2017,4500.00,THE SANCTUARY TRUST,1020295
ROCHDALE BOROUGH COUNCIL,ENHANCEMENT OF PROVISION OF EMERGENCY ACCOMMODATION SERVICES FOR PEOPLE EXCLUDED  FROM OTHER SERVICES AND AT RISK OF SLEEPING ROUGH. (£4500 PER QUARTER - 2016/17),NEIGHBOURHOODS,01/04/2016,31/03/2017,4500.00,THE SANCTUARY TRUST,1020295
ROCHDALE BOROUGH COUNCIL,ENHANCEMENT OF PROVISION OF EMERGENCY ACCOMMODATION SERVICES FOR PEOPLE EXCLUDED  FROM OTHER SERVICES AND AT RISK OF SLEEPING ROUGH. (£4500 PER QUARTER - 2016/17) Q3 & A4,NEIGHBOURHOODS,01/04/2016,31/03/2017,4500.00,THE SANCTUARY TRUST,1020295
ROCHDALE BOROUGH COUNCIL,ENHANCEMENT OF PROVISION OF EMERGENCY ACCOMMODATION SERVICES FOR PEOPLE EXCLUDED  FROM OTHER SERVICES AND AT RISK OF SLEEPING ROUGH. (£4500 PER QUARTER) Q4 (16-17),NEIGHBOURHOODS,01/04/2016,31/03/2017,4500.00,THE SANCTUARY TRUST,1020295
ROCHDALE BOROUGH COUNCIL,FREQUENT FLYERS FUNDING - HELP FOR SINGLE HOMELESS (FINAL PAYMENT),NEIGHBOURHOODS,01/04/2016,31/03/2017,10300.00,PETRUS,510904
ROCHDALE BOROUGH COUNCIL,FUNDING OF AN INDEPENDENT DOMESTIC VIOLENCE ADVISER,NEIGHBOURHOODS,01/04/2016,31/03/2017,10000.00,VICTIM SUPPORT & WITNESS SERVICE,298028
ROCHDALE BOROUGH COUNCIL,FUNDING OF AN INDEPENDENT DOMESTIC VIOLENCE ADVISER,NEIGHBOURHOODS,01/04/2016,31/03/2017,10000.00,VICTIM SUPPORT & WITNESS SERVICE,298028
ROCHDALE BOROUGH COUNCIL,FUNDING OF AN INDEPENDENT DOMESTIC VIOLENCE ADVISER,NEIGHBOURHOODS,01/04/2016,31/03/2017,10000.00,VICTIM SUPPORT & WITNESS SERVICE,298028
ROCHDALE BOROUGH COUNCIL,FUNDING OF AN INDEPENDENT DOMESTIC VIOLENCE ADVISER,NEIGHBOURHOODS,01/04/2016,31/03/2017,10000.00,VICTIM SUPPORT & WITNESS SERVICE,298028
ROCHDALE BOROUGH COUNCIL,"FUNDING TOWARDS THE RUNNING OF BACK O` TH MOSS COMMUNITY CENTRE, HEYWOOD (JANUARY 2017 TO MARCH 2017)",NEIGHBOURHOODS,01/04/2016,31/03/2017,10000.00,COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,
ROCHDALE BOROUGH COUNCIL,GRANT - BANGLADESH ASSOCIATION AND COMMUNITY PROJECT,NEIGHBOURHOODS,01/04/2016,31/03/2017,8375.00,BANGLADESH ASSOCIATION AND COMMUNITY PROJECT,1138142
ROCHDALE BOROUGH COUNCIL,GRANT - BANGLADESH ASSOCIATION AND COMMUNITY PROJECT,NEIGHBOURHOODS,01/04/2016,31/03/2017,8375.00,BANGLADESH ASSOCIATION AND COMMUNITY PROJECT,1138142
ROCHDALE BOROUGH COUNCIL,GRANT - BANGLADESH ASSOCIATION AND COMMUNITY PROJECT,NEIGHBOURHOODS,01/04/2016,31/03/2017,8375.00,BANGLADESH ASSOCIATION AND COMMUNITY PROJECT,1138142
ROCHDALE BOROUGH COUNCIL,GRANT - BANGLADESH ASSOCIATION AND COMMUNITY PROJECT,NEIGHBOURHOODS,01/04/2016,31/03/2017,8375.00,BANGLADESH ASSOCIATION AND COMMUNITY PROJECT,1138142
ROCHDALE BOROUGH COUNCIL,GRANT - BROOKSIDE COMMUNITY CENTRE,NEIGHBOURHOODS,01/01/2017,31/03/2017,900.00,BROOKSIDE COMMUNITY ASSOCIATION,
ROCHDALE BOROUGH COUNCIL,GRANT - BURNSIDE COMMUNITY CENTRE,NEIGHBOURHOODS,14/07/2016,14/07/2016,6550.00,BURNSIDE CENTRE ACCOUNT,1145309
ROCHDALE BOROUGH COUNCIL,GRANT - BURNSIDE COMMUNITY CENTRE,NEIGHBOURHOODS,01/04/2016,31/03/2017,6550.00,BURNSIDE CENTRE ACCOUNT,1145309
