Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum of Amount,Text,Postcode
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Zero Motorcycles Europe,2000005946,"6,000.00","""PICG Zero Motorcycles May 2017 #6,000""",1723HW
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Zero Motorcycles Europe,2000005946,"8,641.80","""PICG Zero Motorcycles April 2017 #8,641.80""",1723HW
Department for Transport,Department for Transport,03/07/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Zero Motorcycles Europe,2000005946,"9,000.00","""PICG Zero Motorcycles March 2017 #9,000""",1723HW
Department for Transport,Department for Transport,03/07/2017,Training,Maritime,UKIP Media & Events Ltd,2000005947,"1,623.19",#,RH4 1DF
Department for Transport,Department for Transport,03/07/2017,Property Consultancy,Maritime,FAITHFUL & GOULD LTD,2000005981,770.21,#,CF24 0AD
Department for Transport,Department for Transport,03/07/2017,Property Consultancy,Maritime,FAITHFUL & GOULD LTD,2000005981,"1,485.00",#,CF24 0AD
Department for Transport,Department for Transport,03/07/2017,Property Consultancy,Maritime,FAITHFUL & GOULD LTD,2000005981,"3,091.32",#,CF24 0AD
Department for Transport,Department for Transport,03/07/2017,Property Consultancy,Maritime,FAITHFUL & GOULD LTD,2000005981,"4,780.13",#,CF24 0AD
Department for Transport,Department for Transport,03/07/2017,Estate Management,Maritime,FAITHFUL & GOULD LTD,2000005981,"10,807.94",#,CF24 0AD
Department for Transport,Department for Transport,03/07/2017,Estate Management,Maritime,FAITHFUL & GOULD LTD,2000005981,"15,547.01",#,CF24 0AD
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,916.80,#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,Group Commercial Services,CAPITA BUSINESS SERVICES LTD,2000005982,"1,003.64",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"1,024.99",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"1,277.57",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"1,586.59",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"1,705.38",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"1,906.91",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"2,022.66",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"2,070.96",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,Aviation,CAPITA BUSINESS SERVICES LTD,2000005982,"2,642.16",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"2,672.16",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"2,852.21",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,Major Projects,CAPITA BUSINESS SERVICES LTD,2000005982,"3,773.66",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"3,823.86",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_RAIL - Network Services,CAPITA BUSINESS SERVICES LTD,2000005982,"3,900.00",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"3,901.44",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_RAIL - Network Services,CAPITA BUSINESS SERVICES LTD,2000005982,"4,035.96",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000005982,"4,315.78",#,DL1 9HN
Department for Transport,Department for Transport,03/07/2017,Agency Staff Costs,Group Human Resources,CAPITA BUSINESS SERVICES LTD,2000005982,"4,442.16",#,DL1 9HN
