Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount in Sterling
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Computer Hardware & Software,Capital,ISOFT,0000992271,50000.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0000997330,87935.28 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,M & S Equipment,Capital,CAREFUSION UK 306 LTD,0001001570,26640.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110421,M & S Equipment,Capital,CAREFUSION UK 306 LTD,0001001570,22.06 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,PAS Systems Maintenance,Corporate Services Other,ISOFT,0001001648,-100000.00
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Source Bioscience,Diagnostics & Clinical Support,SOURCE BIOSCIENCE UK LTD,0001002367,14169.60 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Source Bioscience,Diagnostics & Clinical Support,SOURCE BIOSCIENCE UK LTD,0001002367,13905.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,PAS Systems Maintenance,Corporate Services Other,ISOFT,0001002956,75882.75 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110404,Leased Car Expenses,Corporate Services Other,NORTHUMBRIA H'CARE NHS FOUNDATION TRUST,0001003385,49792.79 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Computer Hardware & Software,Capital,ON-COMMUNICATION LTD,0001003575,36000.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110428,Source Bioscience,Diagnostics & Clinical Support,SOURCE BIOSCIENCE UK LTD,0001003617,13905.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110428,Source Bioscience,Diagnostics & Clinical Support,SOURCE BIOSCIENCE UK LTD,0001003617,14169.60 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Pacemaker Singular/Dual Chambr,Medicine,MEDTRONIC LTD,0001003937,41580.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001004107,36195.31 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Leased Car Expenses,Corporate Services Other,NORTHUMBRIA H'CARE NHS FOUNDATION TRUST,0001004685,60954.43 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110407,Balance Sheet,North Manchester Pharmacy,GILEAD SCIENCES LTD,0001005005,42273.84 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Computer Hardware & Software,Capital,ANS GROUP,0001005498,56329.15 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Computer Hardware & Software,Capital,ISOFT,0001005539,35000.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Computer Hardware & Software,Capital,ISOFT,0001005539,10000.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110414,Computer Hardware & Software,Capital,ISOFT,0001005541,60000.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,SLA Central Mcr Immunology,Diagnostics & Clinical Support,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001005763,76210.62 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Leased Car Expenses,Corporate Services Other,NORTHUMBRIA H'CARE NHS FOUNDATION TRUST,0001005853,60660.35 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110414,Balance Sheet,North Manchester Pharmacy,GILEAD SCIENCES LTD,0001006502,42273.84 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Bld Contract Pennine Acute,Capital,PERFORMANCE ELECTRICAL LTD,0001007139,30937.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,FUJIFILM UK LTD,0001007182,4604.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,FUJIFILM UK LTD,0001007182,4604.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,FUJIFILM UK LTD,0001007182,1718.77 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,FUJIFILM UK LTD,0001007182,5339.27 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,FUJIFILM UK LTD,0001007182,1718.77 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,FUJIFILM UK LTD,0001007182,4604.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,FUJIFILM UK LTD,0001007182,43665.99 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110426,SLA Mcr Childrens Wil Genetics,Diagnostics & Clinical Support,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001007200,34125.29 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,FP10 Prescriptions,Diagnostics & Clinical Support,NHS BUSINESS SERVICES AUTHORITY,0001007448,7240.17 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,FP10 Prescriptions,Diagnostics & Clinical Support,NHS BUSINESS SERVICES AUTHORITY,0001007448,4531.97 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,FP10 Prescriptions,Diagnostics & Clinical Support,NHS BUSINESS SERVICES AUTHORITY,0001007448,28713.04 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,FP10 Prescriptions,Diagnostics & Clinical Support,NHS BUSINESS SERVICES AUTHORITY,0001007448,117.48 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110414,Messaging,Corporate Services Other,INDIGO 4 SYSTEMS,0001007481,32092.45 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Leased Car Expenses,Corporate Services Other,NORTHUMBRIA H'CARE NHS FOUNDATION TRUST,0001007527,37221.17 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110414,Pacemaker Singular/Dual Chambr,Medicine,MEDTRONIC LTD,0001007675,47280.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001007959,244259.44 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001008054,5000.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001008054,24000.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001008055,6000.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001008055,28800.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001008066,22402.38 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001008066,23769.75 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110404,Nurse Band 6,Corporate Services Other,THE CHRISTIE NHS FOUNDATION TRUST,0001008154,37098.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Computer Hardware & Software,Capital,ISOFT,0001008295,18900.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110405,Computer Hardware & Software,Capital,ISOFT,0001008295,69120.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Pharmacy Systems Maintenance,Corporate Services Other,ASCRIBE,0001008581,57757.00 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110411,Rent,Surgery,MANCHESTER P.C.T.PROVIDER,0001008842,33126.74 
Department of Health,The Pennine Acute Hospitals NHS Trust,20110418,SLA South Mcr Pathology Servs,Diagnostics & Clinical Support,UNI HOSP OF S MANCHESTER NHS FOUND TRUST,0001008878,4726.00 
