Department family,Entity,Date of payment,Expense area,Expense type,Supplier,"Transaction 
number",Amount in Sterling
Department of Health,Mersey Care NHS Trust,03/07/2014,Aintree Facilities,Rech In - Aint Estates,Aintree University Hospital Nhs F.T,19987,"31,831.53"
Department of Health,Mersey Care NHS Trust,03/07/2014,Aintree Facilities,Rech In - Aint Hotel Srvcs,Aintree University Hospital Nhs F.T,19987,"66,684.74"
Department of Health,Mersey Care NHS Trust,03/07/2014,Data & Voice Networks,Rech In - Aint Phone Srvcs,Aintree University Hospital Nhs F.T,19987,"2,569.57"
Department of Health,Mersey Care NHS Trust,03/07/2014,Pcp Acute Care,Rech In - Aint Diagnostics,Aintree University Hospital Nhs F.T,19987,"3,026.70"
Department of Health,Mersey Care NHS Trust,03/07/2014,Pcp Acute Care,Rech In - Aint Therapies,Aintree University Hospital Nhs F.T,19987,387.24
Department of Health,Mersey Care NHS Trust,03/07/2014,Primary Care,Visiting Cons - Other,Aintree University Hospital Nhs F.T,19987,"2,722.64"
Department of Health,Mersey Care NHS Trust,03/07/2014,Resus/Ect,Resuscitation Training,Aintree University Hospital Nhs F.T,19987,"3,509.98"
Department of Health,Mersey Care NHS Trust,03/07/2014,Estates,Mitie Contract Monthly Payment,Mitie Technical Facilities Management Ltd,545756,"60,335.05"
Department of Health,Mersey Care NHS Trust,03/07/2014,Estates,Mitie Contract Monthly Payment,Mitie Technical Facilities Management Ltd,545802,"147,619.33"
Department of Health,Mersey Care NHS Trust,09/07/2014,Finance Senior Team,Internal Audit Serv,Royal Liverpool & Broadgreen,20008,"60,077.00"
Department of Health,Mersey Care NHS Trust,09/07/2014,Finance Senior Team,Internal Audit Serv,Royal Liverpool & Broadgreen,20008,"32,926.00"
Department of Health,Mersey Care NHS Trust,15/07/2014,Sms Maghull Site Demolition,Building Works,Complete Demolition Limited,19476,"58,252.86"
Department of Health,Mersey Care NHS Trust,15/07/2014,Pcp Hesketh Centre Fire Escape,External Works,Ingham & Garner Ltd,19478,"34,187.88"
Department of Health,Mersey Care NHS Trust,15/07/2014,Aintree Junior Adult,Trainee Comm Med,St Helens & Knowsley Nhs Trust,19996,"300,000.00"
Department of Health,Mersey Care NHS Trust,15/07/2014,Crht Home Treatment,Electricity,Royal Liverpool & Broadgreen,20032,"11,187.57"
Department of Health,Mersey Care NHS Trust,15/07/2014,Crht Home Treatment,Gas,Royal Liverpool & Broadgreen,20032,"34,217.36"
Department of Health,Mersey Care NHS Trust,15/07/2014,Crht Home Treatment,Water - Metered,Royal Liverpool & Broadgreen,20032,"3,763.45"
Department of Health,Mersey Care NHS Trust,15/07/2014,Crht Home Treatment,Water - Other Chges,Royal Liverpool & Broadgreen,20032,"2,192.92"
Department of Health,Mersey Care NHS Trust,15/07/2014,Ashworth Energy,Electricity,Edf Energy 1 Limited,548144,"37,869.85"
Department of Health,Mersey Care NHS Trust,15/07/2014,Bal Sheet Control,Childcare Voucher Deductions,Edenred,548203,"23,383.32"
Department of Health,Mersey Care NHS Trust,15/07/2014,Bal Sheet Control,Childcare Voucher Deductions,Edenred,548203,"2,536.95"
