CPS outcomes by principal offence category Bedfordshire October 2010,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,93,67.40%,45,32.60%
C Sexual Offences,1,16.70%,5,83.30%
D Burglary,25,83.30%,5,16.70%
E Robbery,12,80.00%,3,20.00%
F Theft And Handling,115,90.60%,12,9.40%
G Fraud And Forgery,5,83.30%,1,16.70%
H Criminal Damage,30,90.90%,3,9.10%
I Drugs Offences,61,100.00%,0,0.00%
J Public Order Offences,49,84.50%,9,15.50%
K All Other Offences (excluding Motoring),43,81.10%,10,18.90%
L Motoring Offences,188,92.20%,16,7.80%
Admin Finalisations,0,0.00%,3,100.00%
TOTAL,622,84.70%,112,15.30%
