Merchant Category,Supplier Name,Service,Summary of Purpose of Expenditure,Date,Net Amount
Social Care Services,24 Hour Home Care,Adult Social Care,Care Payments,03/03/2017,965.20
Social Care Services,24 Hour Home Care,Adult Social Care,Care Payments,03/03/2017,"1,954.40"
Transport and Travel,A AND G Duncan - Taxis,Childrens & Educational Services,Leasing /Transport Hire,16/03/2017,"1,227.20"
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/03/2017,928.20
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/03/2017,816.00
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/03/2017,867.00
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/03/2017,418.20
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/03/2017,37.40
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/03/2017,938.40
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/03/2017,812.60
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/03/2017,846.60
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/03/2017,438.60
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/03/2017,37.40
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/03/2017,836.40
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/03/2017,816.00
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/03/2017,"1,023.40"
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/03/2017,428.40
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/03/2017,37.40
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/03/2017,897.60
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/03/2017,802.40
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/03/2017,"1,203.60"
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/03/2017,299.20
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/03/2017,-3.40
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/03/2017,-142.80
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,29/03/2017,"1,101.60"
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,29/03/2017,812.60
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,29/03/2017,941.80
