A3131,,,,,,,,,,Expenditure Over Threshold
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RUN AT 6/1/2015 11:52:57 AM,,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,8072290,"(28,159.15)",,HT000017068,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,8072291,"56,426.34",,HT000017069,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,8072291,"3,300.50",,HT000017069,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,7984244,"32,741.18",,8417043,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust-Prior Year,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,7984244,"14,549.31",,8417043,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,7945265,"173,197.79",,223851,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7928538,"59,462.00",,72092,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8092601,"108,722.00",,70915,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,7874753,"28,404.88",,I0141983,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,QUALITY PREMIUM PROGRAMME,BEDWELL MEDICAL CENTRE,7832211,"28,000.00",,4599,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,QUALITY PREMIUM PROGRAMME,BIRCHWOOD SURGERY,8086431,"31,552.76",,8688,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,7769776,"95,021.95",,38591,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,7771593,"112,578.70",,39612,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,8086145,"128,595.25",,39616,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,8086623,"117,992.53",,40703,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,8072297,"(27,445.70)",,HT000017075,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,8072298,"27,935.96",,HT000017076,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,8072298,"2,205.70",,HT000017076,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7772408,"854,197.05",,70014680,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,7928413,"28,607.33",,52746652,
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,7747370,"15,677,196.00",,4116092,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,7795101,"40,754.00",,4116204,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,7911094,"1,425,746.80",,831892,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,8008012,"33,917.00",,832068,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,Winter Resilience,GENERATING HEALTHCARE LTD,7945628,"27,091.25",,04WPGHC,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,7928373,"62,281.50",,X0134805,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,8097922,"(30,753.00)",,9008494,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust-Prior Year,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,7910510,"31,023.01",,28010862,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,7910968,"116,063.68",,28011740,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,7910980,"2,901,591.92",,28011739,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,8015382,"330,789.50",,28011741,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - OTHER,HERTFORDSHIRE COUNTY COUNCIL,7945062,"31,986.00",,1801695069,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Services From Local Authorities,NURSING DIRECTORATE,HERTFORDSHIRE COUNTY COUNCIL,7984231,"52,150.00",,1801700379,
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,HERTFORDSHIRE COUNTY COUNCIL,7756655,"326,000.00",,1801699457,
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,HERTFORDSHIRE COUNTY COUNCIL,7756655,"848,000.00",,1801699457,
Department of Health,NHS East & North Hertfordshire CCG,30/04/2015,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - ADULTS,HERTFORDSHIRE COUNTY COUNCIL,7756655,"4,424,000.00",,1801699457,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Othe Public Sector,PATIENT TRANSPORT,HERTFORDSHIRE COUNTY COUNCIL,7985472,"59,966.00",,1801713237,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Non Contract,NHS 111,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,8054314,"78,711.00",654950120,416527,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,NON RECURRENT PROGRAMMES,HERTS URGENT CARE,7856874,"127,337.00",,2700,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,OUT OF HOURS,HERTS URGENT CARE,7856892,"337,751.67",,2693,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,NHS 111,HERTS URGENT CARE,7911149,"95,527.80",,2697,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Furniture & Fittings,NON RECURRENT PROGRAMMES,HOG FURNISHING,7966710,"35,704.20",,61617,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,NCAS/OATS,HOLLY HOUSE HOSPITAL,8075160,"27,791.36",,CABENH0215,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,7795162,"92,822.00",654945990,H0117496,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Computer Maintenance,IM&T PROJECTS,ITS DIGITAL,8009625,"321,964.19",,9079,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Computer Hardware Purch,PRIMARY CARE IT,ITS DIGITAL,8039606,"40,705.38",,8682,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,KING GEORGE SURGERY,8072317,346.15,,HT000017095,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,KING GEORGE SURGERY,8072317,"33,205.61",,HT000017095,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,LONDON NORTH WEST HEALTHCARE NHS TRUST,7910799,"71,316.00",654463720,A0005080,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,LUTON & DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,7910804,"129,960.42",,52961827,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Voluntary Sector,PALLIATIVE CARE,MARIE CURIE CANCER CARE,7910833,"45,000.00",,1724,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,MARIE STOPES INTERNATIONAL,8015387,"57,636.00",,MS150798,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,MEDICAL SERVICES LTD,7928292,"169,478.59",123355441,SIN014606,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Computer Software/License,STRATEGY & DEVELOPMENT,METHODS ANALYTICS LTD,8012013,"43,200.00",,SIN013826,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,MID ESSEX HOSPITALS SERVICES NHS TRUST,7911225,"131,662.00",,ME2000088528,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,7928058,"35,861.00",,IC0023119,
Department of Health,NHS East & North Hertfordshire CCG,31/05/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,7928301,"297,623.00",,IC0023510,
