Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Number,Sum of Amount,GL Code,
,,,,,,,,,
Department of Health,Black Country Partnership NHS Foundation Trust,01-11-2013,ADD-07-BDG-PENN HOSPITAL,Buildings Excluding Dwellings-,RICHARD BURROWS BUILDERS,0030016461,29556.87,9ABSPHA21895,
Department of Health,Black Country Partnership NHS Foundation Trust,27-11-2013,AP DRUGS,Supplies & Services-Clinical:,THE ROYAL WOLVERHAMPTON HOSPITAL,0010000548,37427.55,W70102N58099,
Department of Health,Black Country Partnership NHS Foundation Trust,15-11-2013,AP DRUGS,Supplies & Services-Clinical:,THE DUDLEY GROUP OF HOSPITALS,0010000511,38495.93,2T8005N58099,
Department of Health,Black Country Partnership NHS Foundation Trust,18-11-2013,FACILITIES MANAGEMENT SERVICES,Premises & fixed plant,NORLAND MANAGED SERVICES LIMTED,0030016307,40685.42,7A0481N40799,
Department of Health,Black Country Partnership NHS Foundation Trust,18-11-2013,FACILITIES MANAGEMENT SERVICES,Premises & fixed plant,NORLAND MANAGED SERVICES LIMTED,0030018205,40685.42,7A0481N40799,
Department of Health,Black Country Partnership NHS Foundation Trust,01-11-2013,ADD-01-BDG-EDWARD ST MAIN HOSP,Buildings Excluding Dwellings-,SWIFT BUILDING SERVICES LTD,0030015644,44100.00,9ABSESA20195,
Department of Health,Black Country Partnership NHS Foundation Trust,08-11-2013,DRUG & ALCOHOL,Supplies & Services-Clinical:,NHS BUSINESS SERVICES AUTHORITY,0010000516,47709.98,W50117N58599,
Department of Health,Black Country Partnership NHS Foundation Trust,08-11-2013,Recharges - RWHT IT,Establishment,THE ROYAL WOLVERHAMPTON HOSPITAL,0010000338,52802.01,6D3075N98799,
Department of Health,Black Country Partnership NHS Foundation Trust,01-11-2013,RYHURST - MANAGEMENT,Premises & fixed plant,BLACK COUNTRY PPP HEALTH SERVICE,0040002240,83946.62,7A8076N85299,
Department of Health,Black Country Partnership NHS Foundation Trust,12-11-2013,ADD-01-BDG-EDWARD ST MAIN HOSP,Buildings Excluding Dwellings-,INTERGRATED HEALTH PROJECTS,0030017318,97095.05,9ABSESA20195,
,,,,,,,512504.85,,
