Merchant Category,Supplier Name,Service,Summary of Purpose of Expenditure,Date,Net Amount
Childcare Provision,0-2-5 NURSERY,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,22/02/2017,12204.95
Security / Safety,1st Alarm Security,Capital Expenditure,Repairs and Maintenance,02/02/2017,1787
Social Care Services,24 Hour Home Care,Adult Social Care,Care Payments,07/02/2017,1031.4
Social Care Services,24 Hour Home Care,Adult Social Care,Care Payments,02/02/2017,2130.47
Transport and Travel,A AND G Duncan - Taxis,Childrens & Educational Services,Leasing /Transport Hire,07/02/2017,1604.8
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/02/2017,897.6
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/02/2017,805.8
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/02/2017,1152.6
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/02/2017,377.4
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/02/2017,37.4
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/02/2017,904.4
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/02/2017,822.8
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/02/2017,863.6
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/02/2017,404.6
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,01/02/2017,37.4
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/02/2017,921.4
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/02/2017,836.4
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/02/2017,897.6
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/02/2017,340
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/02/2017,37.4
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/02/2017,921.4
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/02/2017,822.8
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/02/2017,856.8
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/02/2017,404.6
Social Care Services,A BUCKLEY LTD - INDEPENDENT CARE,Adult Social Care,Care Payments,15/02/2017,37.4
Property Repairs and Maintenance,A Smith - Painter and decorator,Adult Social Care,Repairs and Maintenance,01/02/2017,960
Property Repairs and Maintenance,A Smith - Painter and decorator,Adult Social Care,Repairs and Maintenance,01/02/2017,1890
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,01/02/2017,7976.4
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,01/02/2017,4460.8
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,01/02/2017,74.8
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,01/02/2017,20.4
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,01/02/2017,7826.8
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,01/02/2017,4392.8
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,01/02/2017,88.4
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,01/02/2017,20.4
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,15/02/2017,7544.6
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,15/02/2017,3787.6
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,15/02/2017,91.8
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,15/02/2017,20.4
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,15/02/2017,7643.2
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,15/02/2017,3787.6
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,15/02/2017,64.6
Social Care Services,Abacus Homecare,Adult Social Care,Care Payments,15/02/2017,20.4
Office Equipment,ABC DIGITAL SOLUTIONS LTD,Childrens & Educational Services,Information and Communications Technology,10/02/2017,1267.84
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,01/02/2017,690.2
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,01/02/2017,571.2
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,01/02/2017,618.8
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,01/02/2017,707.2
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,15/02/2017,618.8
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,15/02/2017,802.4
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,15/02/2017,612
Social Care Services,A-Best Nursing and Care Ltd,Adult Social Care,Care Payments,15/02/2017,775.2
Mobility Equipment / Supplies,Ability Aware Limited,Adult Social Care,Furniture and Equipment,21/02/2017,556.05
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Agency Staff,10/02/2017,1750
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Agency Staff,13/02/2017,1250
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Information and Communications Technology,13/02/2017,1050
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Information and Communications Technology,20/02/2017,1750
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Information and Communications Technology,20/02/2017,1250
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Information and Communications Technology,24/02/2017,1750
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Information and Communications Technology,28/02/2017,1250
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Information and Communications Technology,28/02/2017,1400
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Agency Staff,28/02/2017,1750
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Agency Staff,14/02/2017,6650
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Agency Staff,15/02/2017,3150
Financial Services,ABN AMRO Commercial Finance,Central Support Costs,Agency Staff,15/02/2017,6650
Social Care Services,Abney Court Care Home,Adult Social Care,Care Payments,20/02/2017,-2217
Social Care Services,Abney Court Care Home,Adult Social Care,Care Payments,20/02/2017,3540
Social Care Services,About Me Care and Support Ltd,Adult Social Care,Care Payments,28/02/2017,754.69
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/02/2017,455.6
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/02/2017,204
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/02/2017,163.2
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/02/2017,149.6
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/02/2017,537.2
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/02/2017,4052.8
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/02/2017,1863.2
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/02/2017,472.6
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/02/2017,190.4
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/02/2017,163.2
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/02/2017,176.8
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/02/2017,506.6
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/02/2017,4025.6
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,01/02/2017,1662.6
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,15/02/2017,455.6
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,15/02/2017,197.2
Social Care Services,Absolute Care and Support (UK) Ltd,Adult Social Care,Care Payments,15/02/2017,163.2
