,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,53,80.3%,13,19.7%,"8,331",75.0%,"2,775",25.0%,788,74.2%,274,25.8%,"1,677",85.5%,285,14.5%,682,83.2%,138,16.8%,"10,258",90.8%,"1,034",9.2%,728,83.0%,149,17.0%,"2,373",84.4%,439,15.6%,"4,667",94.6%,269,5.4%,"4,234",84.7%,762,15.3%,"2,760",84.4%,512,15.6%,"12,377",89.4%,"1,463",10.6%,805,100.0%
Avon and Somerset,1,100.0%,0,0.0%,237,76.9%,71,23.1%,27,73.0%,10,27.0%,40,87.0%,6,13.0%,11,91.7%,1,8.3%,311,93.4%,22,6.6%,21,84.0%,4,16.0%,54,81.8%,12,18.2%,142,98.6%,2,1.4%,108,87.8%,15,12.2%,46,85.2%,8,14.8%,241,85.5%,41,14.5%,24,100.0%
Bedfordshire,1,100.0%,0,0.0%,64,74.4%,22,25.6%,5,62.5%,3,37.5%,10,76.9%,3,23.1%,14,87.5%,2,12.5%,102,89.5%,12,10.5%,8,80.0%,2,20.0%,29,90.6%,3,9.4%,27,96.4%,1,3.6%,19,55.9%,15,44.1%,32,74.4%,11,25.6%,189,94.5%,11,5.5%,10,100.0%
Cambridgeshire,0,0.0%,1,100.0%,120,81.1%,28,18.9%,5,50.0%,5,50.0%,20,87.0%,3,13.0%,8,88.9%,1,11.1%,114,90.5%,12,9.5%,12,100.0%,0,0.0%,18,85.7%,3,14.3%,43,100.0%,0,0.0%,32,88.9%,4,11.1%,17,94.4%,1,5.6%,106,83.5%,21,16.5%,6,100.0%
Cheshire,0,-,0,-,129,83.2%,26,16.8%,8,88.9%,1,11.1%,22,91.7%,2,8.3%,14,93.3%,1,6.7%,194,94.6%,11,5.4%,16,100.0%,0,0.0%,52,91.2%,5,8.8%,70,94.6%,4,5.4%,70,97.2%,2,2.8%,27,90.0%,3,10.0%,266,92.0%,23,8.0%,10,100.0%
Cleveland,2,66.7%,1,33.3%,100,70.9%,41,29.1%,17,77.3%,5,22.7%,23,85.2%,4,14.8%,6,100.0%,0,0.0%,280,88.6%,36,11.4%,7,77.8%,2,22.2%,35,81.4%,8,18.6%,52,96.3%,2,3.7%,105,79.5%,27,20.5%,16,84.2%,3,15.8%,89,87.3%,13,12.7%,1,100.0%
Cumbria,0,-,0,-,87,83.7%,17,16.3%,5,71.4%,2,28.6%,13,92.9%,1,7.1%,3,75.0%,1,25.0%,118,100.0%,0,0.0%,8,88.9%,1,11.1%,32,97.0%,1,3.0%,51,100.0%,0,0.0%,37,80.4%,9,19.6%,38,95.0%,2,5.0%,86,91.5%,8,8.5%,2,100.0%
Derbyshire,0,-,0,-,146,76.8%,44,23.2%,7,87.5%,1,12.5%,12,92.3%,1,7.7%,6,100.0%,0,0.0%,174,87.0%,26,13.0%,10,83.3%,2,16.7%,47,94.0%,3,6.0%,70,94.6%,4,5.4%,62,89.9%,7,10.1%,32,76.2%,10,23.8%,103,91.2%,10,8.8%,5,100.0%
Devon and Cornwall,1,50.0%,1,50.0%,158,78.2%,44,21.8%,17,85.0%,3,15.0%,32,88.9%,4,11.1%,8,88.9%,1,11.1%,150,92.6%,12,7.4%,21,80.8%,5,19.2%,43,95.6%,2,4.4%,77,90.6%,8,9.4%,61,73.5%,22,26.5%,58,82.9%,12,17.1%,438,93.0%,33,7.0%,1,100.0%
Dorset,1,100.0%,0,0.0%,67,66.3%,34,33.7%,0,0.0%,4,100.0%,18,85.7%,3,14.3%,1,50.0%,1,50.0%,84,86.6%,13,13.4%,4,80.0%,1,20.0%,19,76.0%,6,24.0%,37,94.9%,2,5.1%,42,89.4%,5,10.6%,25,89.3%,3,10.7%,76,88.4%,10,11.6%,14,100.0%
Durham,0,-,0,-,106,80.3%,26,19.7%,16,88.9%,2,11.1%,20,76.9%,6,23.1%,2,50.0%,2,50.0%,155,93.4%,11,6.6%,5,100.0%,0,0.0%,52,73.2%,19,26.8%,29,90.6%,3,9.4%,50,82.0%,11,18.0%,10,58.8%,7,41.2%,75,90.4%,8,9.6%,1,100.0%
Dyfed Powys,0,-,0,-,75,79.8%,19,20.2%,1,25.0%,3,75.0%,12,92.3%,1,7.7%,0,0,0,0,64,94.1%,4,5.9%,4,100.0%,0,0.0%,25,92.6%,2,7.4%,70,93.3%,5,6.7%,59,92.2%,5,7.8%,32,86.5%,5,13.5%,357,93.7%,24,6.3%,4,100.0%
Essex,0,-,0,-,268,81.0%,63,19.0%,15,78.9%,4,21.1%,52,86.7%,8,13.3%,9,100.0%,0,0.0%,316,91.9%,28,8.1%,26,78.8%,7,21.2%,84,85.7%,14,14.3%,79,95.2%,4,4.8%,99,95.2%,5,4.8%,53,93.0%,4,7.0%,201,92.2%,17,7.8%,28,100.0%
Gloucestershire,0,-,0,-,51,79.7%,13,20.3%,6,100.0%,0,0.0%,10,76.9%,3,23.1%,1,50.0%,1,50.0%,95,96.0%,4,4.0%,7,100.0%,0,0.0%,19,76.0%,6,24.0%,34,97.1%,1,2.9%,32,78.0%,9,22.0%,11,73.3%,4,26.7%,137,94.5%,8,5.5%,4,100.0%
GreaterManchester,0,-,0,-,515,81.2%,119,18.8%,49,66.2%,25,33.8%,116,86.6%,18,13.4%,43,89.6%,5,10.4%,515,93.0%,39,7.0%,38,90.5%,4,9.5%,153,89.5%,18,10.5%,242,93.4%,17,6.6%,261,89.4%,31,10.6%,145,96.0%,6,4.0%,"1,184",95.5%,56,4.5%,47,100.0%
Gwent,0,0.0%,1,100.0%,77,74.8%,26,25.2%,6,60.0%,4,40.0%,30,96.8%,1,3.2%,3,75.0%,1,25.0%,116,95.9%,5,4.1%,0,0.0%,1,100.0%,25,83.3%,5,16.7%,37,100.0%,0,0.0%,51,86.4%,8,13.6%,13,76.5%,4,23.5%,63,82.9%,13,17.1%,5,100.0%
Hampshire,1,100.0%,0,0.0%,258,73.3%,94,26.7%,24,63.2%,14,36.8%,34,66.7%,17,33.3%,16,84.2%,3,15.8%,308,89.8%,35,10.2%,19,73.1%,7,26.9%,70,83.3%,14,16.7%,145,92.4%,12,7.6%,99,88.4%,13,11.6%,80,71.4%,32,28.6%,196,88.3%,26,11.7%,26,100.0%
Hertfordshire,1,100.0%,0,0.0%,134,74.9%,45,25.1%,21,80.8%,5,19.2%,25,89.3%,3,10.7%,4,100.0%,0,0.0%,188,82.8%,39,17.2%,17,77.3%,5,22.7%,43,84.3%,8,15.7%,98,93.3%,7,6.7%,46,74.2%,16,25.8%,23,79.3%,6,20.7%,267,93.4%,19,6.6%,10,100.0%
Humberside,2,100.0%,0,0.0%,188,81.4%,43,18.6%,19,86.4%,3,13.6%,26,86.7%,4,13.3%,2,100.0%,0,0.0%,246,93.2%,18,6.8%,12,92.3%,1,7.7%,47,92.2%,4,7.8%,59,95.2%,3,4.8%,101,91.0%,10,9.0%,36,87.8%,5,12.2%,251,92.3%,21,7.7%,19,100.0%
